RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,Age,Sex
3.690000057,2.700000048,3,31,423,43,383,936,0,Female
4.550000191,3.5,8,43,517,105,417,945,0,Male
3.789999962,2.789999962,6,35,423,98,419,937,1,Female
4.670000076,3.619999886,13,49,518,165,451,946,1,Male
4.96999979,3.900000095,15,59,414,187,488,916,10,Female
6.309999943,5.150000095,22,75,507,209,490,925,10,Male
5.139999866,4.059999943,16,62,412,192,494,913,11,Female
6.550000191,5.369999886,22,78,505,205,494,922,11,Male
5.329999924,4.230000019,17,65,411,197,499,909,12,Female
6.789999962,5.599999905,23,82,503,202,498,918,12,Male
5.510000229,4.400000095,18,69,409,202,504,906,13,Female
7.050000191,5.840000153,23,87,501,200,502,915,13,Male
5.699999809,4.579999924,20,72,408,207,509,902,14,Female
7.309999943,6.079999924,24,91,499,200,507,911,14,Male
5.889999866,4.760000229,21,76,406,212,515,898,15,Female
7.559999943,6.320000172,25,96,497,201,512,907,15,Male
6.110000134,4.960000038,22,81,404,219,520,894,16,Female
7.809999943,6.550000191,27,102,495,207,520,904,16,Male
6.320000172,5.159999847,24,85,402,225,526,890,17,Female
8.069999695,6.789999962,29,108,493,215,528,900,17,Male
3.890000105,2.890000105,7,37,423,114,429,936,2,Female
4.809999943,3.75,14,51,517,180,456,944,2,Male
4,2.99000001,8,39,422,128,438,934,3,Female
4.960000038,3.890000105,16,53,516,192,460,942,3,Male
4.119999886,3.099999905,9,42,421,140,447,932,4,Female
5.119999886,4.039999962,17,56,515,202,465,940,4,Male
4.25,3.220000029,10,44,420,152,455,929,5,Female
5.289999962,4.199999809,19,58,514,211,469,938,5,Male
4.369999886,3.339999914,11,47,419,161,463,927,6,Female
5.46999979,4.360000134,20,61,513,214,474,936,6,Male
4.510000229,3.470000029,12,50,418,169,470,925,7,Female
5.659999847,4.539999962,20,64,511,215,478,933,7,Male
4.650000095,3.599999905,13,53,417,176,476,922,8,Female
5.860000134,4.730000019,21,68,510,214,482,931,8,Male
4.809999943,3.75,14,55,415,182,483,919,9,Female
6.079999924,4.929999828,22,71,508,212,486,928,9,Male
