MPOLICY,SOURCE_POLICY,VALIDATION_STATUS,INTEREST_RATE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,BACKED_OUT_BALANCE,CHECK1_ABS_DIFF,CHECK2_ABS_DIFF,COHORT,CUT
9010331768C,9010331768,EXACT,5.0000,3331.46,175.34,3506.80,3331.46,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010380049C,9010380049,EXACT,5.0000,5034.98,265.00,5299.98,5034.98,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010380627C,9010380627,EXACT,5.0000,149.77,7.88,157.65,149.77,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010396186C,9010396186,EXACT,5.0000,7935.95,417.68,8353.63,7935.95,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010402105C,9010402105,EXACT,5.0000,13282.62,699.09,13981.71,13282.62,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010404600C,9010404600,EXACT,5.0000,17049.16,897.32,17946.48,17049.16,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010422722C,9010422722,EXACT,5.0000,7844.69,412.88,8257.57,7844.69,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010434092C,9010434092,EXACT,5.0000,3506.31,184.54,3690.85,3506.31,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010435671C,9010435671,EXACT,5.0000,12697.49,668.29,13365.78,12697.49,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010435672C,9010435672,EXACT,5.0000,1928.43,101.50,2029.93,1928.43,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010437232C,9010437232,EXACT,5.0000,14858.17,782.01,15640.18,14858.17,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010438556C,9010438556,EXACT,5.0000,1160.82,61.10,1221.92,1160.82,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010439277C,9010439277,EXACT,5.0000,992.01,52.21,1044.22,992.01,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010440000C,9010440000,EXACT,5.0000,1654.72,87.09,1741.81,1654.72,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010449417C,9010449417,EXACT,5.0000,8950.56,471.08,9421.64,8950.56,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010449498C,9010449498,EXACT,5.0000,85.58,4.50,90.08,85.58,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
9010461210C,9010461210,EXACT,5.0000,583.04,30.69,613.73,583.04,0.00,0.00,ISSUE104_VALIDATED_ADVANCE_PILOT,20260731
