POL,LIFETIME,OPTION,MPOLICY,GAP,REASON
9018712F,8.04,,  9018712FC,8.04,UNMAPPED_OPTION_BLANK
9010392138,6814.92,4,9010392138C,-1338.57,NEGATIVE_OR_ZERO_GAP
9010404857,3241.1,6,9010404857C,3241.1,UNMAPPED_OPTION_6
9010439128,4519.86,6,9010439128C,2918.84,UNMAPPED_OPTION_6
9010439435,3638.28,6,9010439435C,2682.9,UNMAPPED_OPTION_6
9010451453,4191.45,6,9010451453C,2599.5,UNMAPPED_OPTION_6
9010458525,1866.46,6,9010458525C,1245.63,UNMAPPED_OPTION_6
9010462759,3497.2,6,9010462759C,3497.2,UNMAPPED_OPTION_6
9010473866,4757.84,4,9010473866C,-964.31,NEGATIVE_OR_ZERO_GAP
9010512061,1645.15,4,9010512061C,-227.72,NEGATIVE_OR_ZERO_GAP
9010549966,329.09,6,9010549966C,329.09,UNMAPPED_OPTION_6
901122D991,17.82,,901122D991C,17.82,UNMAPPED_OPTION_BLANK
901142D978,103.11,,901142D978C,103.11,UNMAPPED_OPTION_BLANK
901185D536,34.99,,901185D536C,34.99,UNMAPPED_OPTION_BLANK
