MPOLICY,MDEPOSIT,MDEPINT,MINTDATE_NOW,MINTDATE_CORRECT,MINTYTD_NOW,MINTYTD_CORRECT,ACCRUED_NOW,ACCRUED_AFTER
9010148272C,1159.75,4.00,20270401,20251231,0.00,0.00,-31.77,26.18
9010148856C,1201.44,4.00,20260801,20251231,0.00,0.00,-0.92,27.12
9010149834C,896.04,4.00,20180401,20180302,0.00,0.00,298.22,301.17
9010150740C,1664.37,4.00,20230901,20230509,0.00,0.00,192.98,213.95
9010154425C,1100.42,4.00,20201201,20201201,0.00,0.00,248.66,248.66
9010157076C,1203.11,4.00,20270201,20260201,0.00,3.60,-25.18,22.94
9010158001C,1180.85,4.00,20260701,20260301,0.00,6.61,3.11,18.89
9010161748C,2893.67,4.00,20260701,20260501,0.00,32.58,7.61,26.95
9010331157C,9033.17,4.00,20190417,20190315,0.00,0.00,2629.27,2661.94
9010335038C,6635.00,4.00,20180609,20180422,0.00,0.00,2158.10,2193.00
9010346921C,1994.91,4.00,20261118,20251231,0.00,0.00,-25.36,45.04
9010378830C,9888.08,4.00,20260724,20251231,0.00,0.00,1.08,223.23
9010380808C,9220.33,4.00,20261201,20251231,0.00,0.00,-130.35,208.15
9010382426C,4020.04,4.00,20260712,20260112,0.00,4.30,5.73,85.47
9010403789C,7780.13,4.00,20260701,20251231,0.00,0.00,20.46,175.64
9010405802C,11672.07,4.00,20241228,20251231,0.00,0.00,734.22,263.50
9010407023C,9987.10,4.00,20260708,20260208,0.00,35.89,18.61,182.78
9010411727C,7212.52,4.00,20160209,20190315,0.00,0.00,3018.59,2125.42
9010413745C,5635.62,4.00,20180913,20180622,0.00,0.00,1773.75,1825.01
9010435671C,17237.02,4.00,20260707,20251231,0.00,0.00,34.00,389.13
9010435672C,1911.89,4.00,20161207,20251231,0.00,0.00,736.89,43.16
9010435673C,1301.97,4.00,20260718,20260118,0.00,2.16,1.00,26.82
9010445275C,1767.87,4.00,20200926,20200810,0.00,0.00,412.28,421.38
9010450906C,5424.81,4.00,20260701,20260401,0.00,46.33,14.27,68.37
9010451453C,353.29,4.00,20260715,20260515,0.00,1.94,0.39,2.75
9010452575C,4580.67,4.00,20260724,20260524,0.00,61.75,0.50,31.12
9010455617C,3948.31,4.00,20210211,20210107,0.00,0.00,861.06,876.20
9010457623C,1.53,4.00,20260724,20251231,0.00,0.00,0.00,0.03
9010458525C,529.93,4.00,20260615,20251231,0.00,0.00,2.32,11.96
9010460323C,1974.49,4.00,20260709,20260109,0.00,1.67,3.46,42.63
9010460406C,772.29,4.00,20270108,20260108,0.00,0.58,-14.13,16.76
9010463537C,1080.39,4.00,20270501,20260501,0.00,12.25,-33.15,10.06
9010467061C,4222.33,4.00,20250916,20250916,0.00,0.00,144.37,144.37
9010469430C,5817.29,4.00,20210709,20210130,0.00,0.00,1174.30,1276.30
9010469666C,7566.61,4.00,20260706,20260106,0.00,4.28,15.76,165.84
9010471933C,3823.10,4.00,20191101,20191011,0.00,0.00,1029.83,1038.63
9010481459C,6093.50,4.00,20260723,20251231,0.00,0.00,1.34,137.56
9010492604C,4650.49,4.00,20261221,20260621,0.00,74.78,-75.94,17.33
9010494229C,608.16,4.00,20210723,20210611,0.00,0.00,121.83,124.63
9010495113C,3404.65,4.00,20260810,20251231,0.00,0.00,-5.97,76.86
9010497768C,263.20,4.00,20231015,20231215,0.00,0.00,29.25,27.49
9010498617C,3151.02,4.00,20230218,20230115,0.00,0.00,432.68,444.42
9010503391C,4788.64,4.00,20260928,20260128,0.00,12.62,-34.11,93.41
9010507004C,3193.36,4.00,20261010,20260410,0.00,29.96,-26.95,37.10
9010507005C,1240.38,4.00,20261010,20260410,0.00,11.64,-10.47,14.41
9010511203C,5213.61,4.00,20260720,20251231,0.00,0.00,2.86,117.70
9010513848C,11089.82,4.00,20260721,20251231,0.00,0.00,4.86,250.36
9010513849C,5749.01,4.00,20260721,20251231,0.00,0.00,2.52,129.79
9010514051C,4048.89,4.00,20241124,20241117,0.00,0.00,269.78,272.88
9010520451C,1475.58,4.00,20260620,20251231,0.00,0.00,5.66,33.31
9010521160C,1870.49,4.00,20230206,20230107,0.00,0.00,259.31,265.46
9010523097C,7217.65,4.00,20270205,20260205,0.00,24.45,-154.24,134.47
9010527336C,651.46,4.00,20260704,20260404,0.00,5.75,1.50,8.00
9010542288C,10427.22,4.00,20261112,20251231,0.00,0.00,-125.70,235.40
9010544183C,1900.26,4.00,20261214,20251231,0.00,0.00,-29.57,42.90
9010555714C,2603.45,4.00,20260726,20260626,0.00,43.07,-0.29,8.27
9010653595C,1023.69,4.00,20221018,20221006,0.00,0.00,154.37,155.71
9010653596C,1015.93,4.00,20221006,20221006,0.00,0.00,154.53,154.53
9010728947C,1875.38,4.00,20260704,20251231,0.00,0.00,4.32,42.34
