Policy Form,UW1,UW2,UW3,UW4,Current codes,Client codes,Match,QL Plan,Coverage
L10 LP95,PR - Preferred,SM - Smoker,ST - Standard,,PR|SM|ST,PR|SM|BL,PARTIAL,1L1095,L10 LP95
670 GL85-8,00 - Not Applicable,,,,00,ST,NO,170858,670 GL85-8
L01 10Y LT,PR - Preferred,SM - Smoker,,,PR|SM,ST|PR,PARTIAL,5L0110,L01 10Y LT
L14,NS - Non-Smoker,,,,NS,NT|ST|PQ|PR,NO,1L14SC,L14
SAL ML,00 - Not Applicable,,,,00,ST,NO,1SALML,SAL ML
667 ART,PR - Preferred,SM - Smoker,,,PR|SM,ST|PR,PARTIAL,5667AT,667 ART
670 GL85-M,00 - Not Applicable,,,,00,ST,NO,17085M,670 GL85-M
L10 OLD,PR - Preferred,SM - Smoker,ST - Standard,,PR|SM|ST,PR|SM|BL,PARTIAL,1L10OD,L10 PRE97
L10 SR OLD,PR - Preferred,SM - Smoker,ST - Standard,,PR|SM|ST,BL,NO,1L10SO,L10 SR OLD
L10 LP95SR,PR - Preferred,SM - Smoker,ST - Standard,,PR|SM|ST,BL,NO,1L10SR,L10 LP95SR
960 OL,00 - Not Applicable,,,,00,ST,NO,1960OL,960 OL
960 PO,00 - Not Applicable,,,,00,ST,NO,1960PO,960 PO
L17,SM - Smoker,,,,SM,ST,NO,1L17SP,L17 BASE
L05,PR - Preferred,SM - Smoker,,,PR|SM,ST|PR,PARTIAL,5L0510,L05 10Y LT
960 LP65,00 - Not Applicable,,,,00,ST,NO,196065,960 LP65
621 END85,00 - Not Applicable,,,,00,ST,NO,221END,621 END85
L07 5Y LT,PR - Preferred,SM - Smoker,,,PR|SM,ST|PR,PARTIAL,5L075Y,L07 5Y LT
10827 CSI5,00 - Not Applicable,,,,00,ST,NO,17CSI5,10827 CSI5
SAL OL,00 - Not Applicable,,,,00,ST,NO,1SALOL,SAL OL
L15,SM - Smoker,,,,SM,ST,NO,1L15GD,L15
10827 CSI7,00 - Not Applicable,,,,00,ST,NO,17CSI7,10827 CSI7
619 DT,00 - Not Applicable,,,,00,ST,NO,7619DT,619 DT
991 PWL,00 - Not Applicable,,,,00,ST,NO,1991PL,991 PWL
666 WL,00 - Not Applicable,,,,00,ST,NO,1666WL,666 WL
10827 CSI3,00 - Not Applicable,,,,00,ST,NO,17CSI3,10827 CSI3
622 END85,00 - Not Applicable,,,,00,ST,NO,222END,622 END85
665 STME95,00 - Not Applicable,,,,00,ST,NO,2665ST,665 STME95
980 END65,00 - Not Applicable,,,,00,ST,NO,280END,980 END65
L16,SM - Smoker,,,,SM,ST,NO,1L16GD,L16
619 SPS PU,00 - Not Applicable,,,,00,ST,NO,,619 SPS PU
647 FLP,00 - Not Applicable,,,,00,ST,NO,7647FP,647 FLP
670 GL858,00 - Not Applicable,,,,00,ST,NO,170588,670 GL8588
960 LP85-M,00 - Not Applicable,,,,00,ST,NO,196085,960 LP85-M
L01 10Y MA,SM - Smoker,,,,SM,ST|PR,NO,5L01MA,L01 10Y MA
659 CEN II,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1659C2,659 CEN II
658 CEN I,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1658C1,658 CEN I
659 CEN SR,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1659CR,659 CEN SR
668 SPWL,PR - Preferred,SM - Smoker,,,PR|SM,ST,NO,1668SP,668 SPWL
658 CEN SD,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1658CS,658 CEN SD
659 CEN SD,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1659CS,659 CEN SD
659 SR GD,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST|PR,PARTIAL,1659SR,659 SR GD
679 CEN SD,PR - Preferred,SM - Smoker,NS - Non-Smoker,,PR|SM|NS,ST,NO,1679CS,679 CEN SD
