mpolicy,event_role,effective_date,amount,debit_account,credit_account,debit_code,credit_code,date_reversed,rule_reason,policy_category,derived_amount
9010367438C,INCLUDED_ECO_CANDIDATE,20211110,1489.79,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4469.37
9010367438C,INCLUDED_ECO_CANDIDATE,20211110,1489.79,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4469.37
9010367438C,INCLUDED_ECO_CANDIDATE,20211110,1489.79,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4469.37
9010378710C,INCLUDED_ECO_CANDIDATE,20210210,6715.85,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6715.85
9010395382C,INCLUDED_ECO_CANDIDATE,20240528,4012.31,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4012.31
9010395879C,LOOP_REISSUE_DATE_MARKER,20230308,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010395879C,LOOP_REISSUE_DATE_MARKER,20230321,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010403922C,INCLUDED_ECO_CANDIDATE,20240412,9666.78,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9666.78
9010404857C,INCLUDED_ECO_CANDIDATE,20180118,6292.7,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6292.70
9010406795C,INCLUDED_ECO_CANDIDATE,20180706,8750.51,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8750.51
9010410714C,INCLUDED_ECO_CANDIDATE,20190611,6140.25,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6140.25
9010417200C,INCLUDED_ECO_CANDIDATE,20200521,3283.18,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3283.18
9010425720C,INCLUDED_ECO_CANDIDATE,20201105,1918.99,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,1918.99
9010430086C,INCLUDED_ECO_CANDIDATE,20200112,6481.27,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6481.27
9010442552C,INCLUDED_ECO_CANDIDATE,20240517,4716.41,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4716.41
9010449559C,INCLUDED_ECO_CANDIDATE,20190126,7316.82,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,7316.82
9010457291C,INCLUDED_ECO_CANDIDATE,20211126,8829.12,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8829.12
9010463420C,INCLUDED_ECO_CANDIDATE,20180117,3599.65,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3599.65
9010464869C,INCLUDED_ECO_CANDIDATE,20200415,4716.62,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4716.62
9010464870C,INCLUDED_ECO_CANDIDATE,20240121,739.93,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2959.70
9010464870C,INCLUDED_ECO_CANDIDATE,20240121,739.93,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2959.70
9010464870C,INCLUDED_ECO_CANDIDATE,20240121,739.92,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2959.70
9010464870C,INCLUDED_ECO_CANDIDATE,20240121,739.92,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2959.70
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.87,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010476803C,INCLUDED_ECO_CANDIDATE,20180107,809.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4859.27
9010477512C,INCLUDED_ECO_CANDIDATE,20201122,3673.19,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11019.57
9010477512C,INCLUDED_ECO_CANDIDATE,20201122,3673.19,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11019.57
9010477512C,INCLUDED_ECO_CANDIDATE,20201122,3673.19,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11019.57
9010477513C,INCLUDED_ECO_CANDIDATE,20200430,12260.03,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,12260.03
9010478285C,INCLUDED_ECO_CANDIDATE,20200405,8066.76,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8066.76
9010486919C,INCLUDED_ECO_CANDIDATE,20250602,1363.61,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,1363.61
9010486964C,INCLUDED_ECO_CANDIDATE,20220313,5636.74,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5636.74
9010488274C,INCLUDED_ECO_CANDIDATE,20180422,11489.42,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11489.42
9010491000C,INCLUDED_ECO_CANDIDATE,20200223,5033.43,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5033.43
9010498153C,INCLUDED_ECO_CANDIDATE,20240405,4068.1,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8136.19
9010498153C,INCLUDED_ECO_CANDIDATE,20240405,4068.09,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8136.19
9010505549C,INCLUDED_ECO_CANDIDATE,20221202,5730.58,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5730.58
9010521651C,INCLUDED_ECO_CANDIDATE,20230502,10150.54,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10150.54
9010550564C,INCLUDED_ECO_CANDIDATE,20190920,13974.98,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,13974.98
9010607249C,INCLUDED_ECO_CANDIDATE,20221102,3224.27,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9672.81
9010607249C,INCLUDED_ECO_CANDIDATE,20221102,3224.27,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9672.81
