policy_raw,mpolicy,cso_total_paid,cso_plan_code,cso_last_pd_date,pactg_present_yn,death_header_present_yn,notes,option3_ready_when
9010367438,9010367438C,4469.37,167001,2022-01-11 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010378710,9010378710C,6715.85,166300,2021-04-19 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010381483,9010381483C,9702.0,167002,2017-01-27 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010383050,9010383050C,4408.4,167002,2017-03-21 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010394282,9010394282C,1238.74,167002,2017-04-05 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010394783,9010394783C,12777.92,167001,2017-09-06 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010395382,9010395382C,4012.31,167001,2024-06-17 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010395879,9010395879C,4916.26,167002,2023-03-21 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010398651,9010398651C,7949.87,167001,2017-05-05 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010398717,9010398717C,6383.0,167002,2017-10-11 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010401553,9010401553C,4674.18,167002,2022-03-08 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010403922,9010403922C,9666.78,167001,2024-05-08 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010404857,9010404857C,6292.7,167001,2018-03-07 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010406247,9010406247C,7695.77,167001,2017-08-15 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010406605,9010406605C,3422.57,166300,2017-03-20 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010406795,9010406795C,8750.51,167002,2018-07-27 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010410714,9010410714C,6140.25,167001,2019-07-02 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010415376,9010415376C,4962.81,167002,2017-09-01 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010417200,9010417200C,3283.18,167001,2020-06-17 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010418208,9010418208C,1676.99,167001,2017-04-10 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010421832,9010421832C,16109.44,166300,2017-10-16 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010422105,9010422105C,10593.48,167001,2017-11-10 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010425720,9010425720C,1918.99,167001,2020-11-25 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010430016,9010430016C,10358.79,167001,2018-11-01 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010430086,9010430086C,6481.27,167002,2020-02-27 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010431973,9010431973C,5384.54,167002,2017-03-27 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010433397,9010433397C,6481.26,167002,2017-11-10 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010436956,9010436956C,8100.0,167002,2017-09-11 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010437271,9010437271C,9366.71,167001,2017-01-20 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010441571,9010441571C,5218.23,167002,2017-12-14 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010442303,9010442303C,5292.98,167001,2017-06-27 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
9010442552,9010442552C,4716.41,167001,2024-07-31 00:00:00,N,N,ERIC_SUPPLY_GAP_awaiting_source_history,Provide PACTG history + death claim presence; then same Option-3 rules apply
