mpolicy,policy_digits,evidence_class,prior_hold_flag,cso_total_paid,current_death_mpaid,current_payee_sum,option3_status,rule_reasons,corrected_mpaid,corrected_payee_sum,corrected_payee_n,loop_dates_excluded,needs_payee_identity,overlay_note
9010385491C,9010385491,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,6000.23,17999.39,17999.39,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,6000.23,6000.23,1,20210707,N,payee_subset_n=1
9010391359C,9010391359,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,1260.06,0.0,0.0,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,1260.06,1260.06,1,,Y,pactg_promote date=20211119 lineage=PACTG_OPEN_2032_TO_1058
9010411499C,9010411499,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,10466.96,20934.25,20934.25,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,10466.96,10466.96,1,20210930,N,payee_subset_n=1
9010428771C,9010428771,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5023.62,10023.62,10023.62,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5023.62,5023.62,1,20200423,N,payee_subset_n=1
9010500769C,9010500769,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5023.14,10023.14,10023.14,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5023.14,5023.14,1,,N,payee_subset_n=1
9010745640C,9010745640,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5030.88,15076.12,15076.12,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5030.88,5030.88,1,20231009,N,payee_subset_n=1
9010764834C,9010764834,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,10577.42,31563.46,31563.46,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,10577.42,10577.42,1,20180612,N,payee_subset_n=1
9010778262C,9010778262,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,9919.72,29636.8,29636.8,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,9919.72,9919.72,3,20190604,N,payee_subset_n=3
9010778841C,9010778841,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,11162.77,33488.31,33488.31,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,11162.77,11162.77,1,,N,payee_subset_n=1
9010786152C,9010786152,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,7935.67,0.0,1086.0,HOLD,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|HOLD_NO_CSO_MATCHING_SUBSET,,,0,20220621,N,no_payee_subset_sums_to_cso remaining_sum=1086.00
9010832681C,9010832681,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,10929.7,32651.5,33704.3,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,10929.70,10929.70,1,20220401,N,payee_subset_n=1
9010841471C,9010841471,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,7315.24,14630.48,14630.48,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,7315.24,7315.24,1,20200221,N,payee_subset_n=1
9010894951C,9010894951,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,14442.87,28885.74,28885.74,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,14442.87,14442.87,1,20230427,N,payee_subset_n=1
9010896924C,9010896924,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,12321.35,24642.7,24642.7,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,12321.35,12321.35,2,,N,payee_subset_n=2
