policy,billing_reason,lp_units,lp_vpu,qla_munit,qla_mdb,n_0561_unrev,sum_0561,unit_impact_0561,counterfactual_qla_units,output_munit_equals_lp,isrr_exact_matches,isrr_rows,vanish_flag
9010713707,VB,25.0,1000.0,25.0,25000.0,9,1156.5,1.1565,23.8435,True,9,9,T
9010715467,VB,50.0,1000.0,50.0,50000.0,9,10161.0,10.161,39.839,True,9,9,T
9010716973,VB,25.0,1000.0,25.0,25000.0,9,2367.0,2.367,22.633,True,9,9,T
9010716974,VB,25.0,1000.0,25.0,25000.0,3,740.25,0.74025,24.25975,True,3,3,T
9010717034,VB,30.0,1000.0,30.0,30000.0,9,2881.8,2.8818,27.1182,True,9,9,T
9010717447,VB,100.0,1000.0,100.0,100000.0,4,4968.0,4.968,95.032,True,4,4,T
9010718276,VB,100.0,1000.0,100.0,100000.0,9,14706.0,14.706,85.294,True,9,9,T
9010718277,VB,50.0,1000.0,50.0,50000.0,9,5269.5,5.2695,44.7305,True,9,9,T
9010718495,VB,25.0,1000.0,25.0,25000.0,3,3287.25,3.28725,21.71275,True,3,3,T
9010719553,VB,25.0,1000.0,25.0,25000.0,9,1212.75,1.21275,23.78725,True,9,9,T
9010719815,VB,25.0,1000.0,25.0,25000.0,8,1974.0,1.974,23.026,True,8,8,T
9010720759,VB,25.0,1000.0,25.0,25000.0,9,2513.25,2.51325,22.48675,True,9,9,T
9010722345,VB,40.0,1000.0,40.0,40000.0,0,0,0.0,40.0,True,0,0,T
9010722734,VB,100.0,1000.0,100.0,100000.0,8,7296.0,7.296,92.704,True,8,8,T
9010723386,VB,100.0,1000.0,100.0,100000.0,8,6016.0,6.016,93.984,True,8,8,T
9010723387,VB,100.0,1000.0,100.0,100000.0,8,4072.0,4.072,95.928,True,8,8,T
9010723388,VB,100.0,1000.0,100.0,100000.0,5,3842.65,3.84265,96.15735,True,5,5,T
9010723523,VB,25.0,1000.0,25.0,25000.0,8,1778.0,1.778,23.222,True,8,8,T
9010723524,VB,50.0,1000.0,50.0,50000.0,8,4136.0,4.136,45.864,True,8,8,T
9010724403,VB,100.0,1000.0,100.0,100000.0,4,4736.0,4.736,95.264,True,4,4,T
9010724510,VB,50.0,1000.0,50.0,50000.0,8,5068.0,5.068,44.932,True,8,8,T
9010726922,VB,25.0,1000.0,25.0,25000.0,8,1078.0,1.078,23.922,True,8,8,T
9010728696,VB,25.0,1000.0,25.0,25000.0,6,789.0,0.789,24.211,True,6,6,T
9010729500,VB,25.0,1000.0,25.0,25000.0,8,1448.0,1.448,23.552,True,8,8,T
9010729999,VB,25.0,1000.0,25.0,25000.0,8,2990.0,2.99,22.01,True,8,8,T
9010731608,VB,25.0,1000.0,25.0,25000.0,4,1084.0,1.084,23.916,True,4,4,T
9010732270,VB,25.0,1000.0,25.0,25000.0,4,503.0,0.503,24.497,True,4,4,T
9010732276,VB,25.0,1000.0,25.0,25000.0,4,601.0,0.601,24.399,True,4,4,T
9010732278,VB,25.0,1000.0,25.0,25000.0,6,1519.5,1.5195,23.4805,True,6,6,T
9010732280,VB,25.0,1000.0,25.0,25000.0,8,1974.0,1.974,23.026,True,8,8,T
9010735585,VB,25.0,1000.0,25.0,25000.0,0,0,0.0,25.0,True,0,0,T
9010735611,VB,30.0,1000.0,30.0,30000.0,0,0,0.0,30.0,True,0,0,T
9010736736,VB,25.0,1000.0,25.0,25000.0,6,808.5,0.8085,24.1915,True,6,6,T
