POL,MPOLICY,ISWL,PREMIUMS_PAID,PU_PREMIUMS_PAID,SU_PREMIUMS_PAID,SL_PREMIUMS_PAID,LP_TOTAL,HIST,ADJ,HAS_HIST,STATUS
9010143726,010143726C,False,3098.7,0.0,172.5,0.0,3271.2,422.55,2848.65,True,LOAD_CANDIDATE
9010148272,010148272C,False,1204.98,0.0,70.5,0.0,1275.48,165.15,1110.33,True,LOAD_CANDIDATE
9010148856,010148856C,False,1249.88,0.0,67.49,0.0,1317.3700000000001,163.38,1153.99,True,LOAD_CANDIDATE
9010149295,010149295C,False,971.87,0.0,0.0,0.0,971.87,0.0,971.87,False,LOAD_CANDIDATE
9010149834,010149834C,False,1235.78,0.0,72.24,0.0,1308.02,5.46,1302.56,True,LOAD_CANDIDATE
9010150031,010150031C,False,541.68,0.0,0.0,0.0,541.68,0.0,541.68,False,LOAD_CANDIDATE
9010150740,010150740C,False,1877.98,0.0,96.75,0.0,1974.73,151.45,1823.28,True,LOAD_CANDIDATE
9010150910,010150910C,False,1162.3,106.99,66.0,0.0,1335.29,39.4,1295.89,True,LOAD_CANDIDATE
9010154425,010154425C,False,1423.08,0.0,0.0,0.0,1423.08,70.35,1352.73,True,LOAD_CANDIDATE
9010157076,010157076C,False,1249.95,0.0,67.5,0.0,1317.45,173.07,1144.38,True,LOAD_CANDIDATE
9010158001,010158001C,False,1304.68,0.0,77.28,0.0,1381.96,172.38,1209.58,True,LOAD_CANDIDATE
9010161748,010161748C,False,3180.1,0.0,191.76,0.0,3371.8599999999997,421.26,2950.6,True,LOAD_CANDIDATE
9010165095,010165095C,False,1210.94,0.0,0.0,0.0,1210.94,0.0,1210.94,False,LOAD_CANDIDATE
9010171334,010171334C,False,636.4,0.0,0.0,0.0,636.4,0.0,636.4,False,LOAD_CANDIDATE
9010185592,010185592C,False,614.8,0.0,0.0,0.0,614.8,0.0,614.8,False,LOAD_CANDIDATE
9010235370,010235370C,False,2101.12,938.88,0.0,0.0,3040.0,112.56,2927.44,True,LOAD_CANDIDATE
9010264207,010264207C,False,7275.27,4088.41,0.0,0.0,11363.68,1034.96,10328.72,True,LOAD_CANDIDATE
9010300689,010300689C,False,8736.09,0.0,877.51,0.0,9613.6,0.0,9613.6,False,LOAD_CANDIDATE
9010310404,010310404C,False,12470.9,4569.15,0.0,0.0,17040.05,1846.2,15193.85,True,LOAD_CANDIDATE
9010331157,010331157C,False,8811.72,0.0,732.32,0.0,9544.039999999999,221.4,9322.64,True,LOAD_CANDIDATE
9010331768,010331768C,False,10261.68,7209.3,0.0,0.0,17470.98,1395.2,16075.78,True,LOAD_CANDIDATE
9010335038,010335038C,False,7081.97,0.0,0.0,0.0,7081.97,36.38,7045.59,True,LOAD_CANDIDATE
9010335095,010335095C,False,2015.0,432.16,0.0,0.0,2447.16,77.1,2370.06,True,LOAD_CANDIDATE
9010346921,010346921C,False,2061.12,0.0,0.0,0.0,2061.12,289.28,1771.84,True,LOAD_CANDIDATE
9010348734,010348734C,False,2839.68,0.0,0.0,0.0,2839.68,421.26,2418.42,True,LOAD_CANDIDATE
9010350577,010350577C,False,4617.18,2637.9,0.0,0.0,7255.08,694.62,6560.46,True,LOAD_CANDIDATE
9010360289,010360289C,False,3355.0,2168.99,0.0,0.0,5523.99,495.0,5028.99,True,LOAD_CANDIDATE
9010360290,010360290C,False,3355.0,2070.5,0.0,0.0,5425.5,495.0,4930.5,True,LOAD_CANDIDATE
9010363098,010363098C,False,5463.6,3112.95,82.08,0.0,8658.63,495.9,8162.73,True,LOAD_CANDIDATE
9010367131,010367131C,False,3494.4,2125.23,0.0,0.0,5619.63,530.4,5089.23,True,LOAD_CANDIDATE
9010367132,010367132C,False,3494.4,2146.46,0.0,0.0,5640.860000000001,530.4,5110.46,True,LOAD_CANDIDATE
9010367133,010367133C,False,3494.4,2192.34,0.0,0.0,5686.74,530.4,5156.34,True,LOAD_CANDIDATE
9010367438,010367438C,False,5159.99,2270.39,0.0,0.0,7430.379999999999,0.0,7430.38,False,LOAD_CANDIDATE
9010367704,010367704C,False,3360.0,2198.19,0.0,0.0,5558.1900000000005,510.0,5048.19,True,LOAD_CANDIDATE
9010367705,010367705C,False,3300.0,2055.25,0.0,0.0,5355.25,450.0,4905.25,True,LOAD_CANDIDATE
9010368703,010368703C,False,6060.0,3951.45,0.0,0.0,10011.45,370.0,9641.45,True,LOAD_CANDIDATE
9010371171,010371171C,False,6490.0,4423.38,0.0,0.0,10913.380000000001,800.0,10113.38,True,LOAD_CANDIDATE
9010371356,010371356C,False,3350.0,2209.64,0.0,0.0,5559.639999999999,510.0,5049.64,True,LOAD_CANDIDATE
9010373918,010373918C,False,9774.77,0.0,0.0,0.0,9774.77,350.0,9424.77,True,LOAD_CANDIDATE
9010374099,010374099C,False,2892.03,0.0,0.0,0.0,2892.03,0.0,2892.03,False,LOAD_CANDIDATE
9010374779,010374779C,False,5760.0,3075.55,0.0,0.0,8835.55,90.0,8745.55,True,LOAD_CANDIDATE
9010374837,010374837C,False,3345.0,2214.35,0.0,0.0,5559.35,510.0,5049.35,True,LOAD_CANDIDATE
9010374838,010374838C,False,3345.0,2236.29,0.0,0.0,5581.29,510.0,5071.29,True,LOAD_CANDIDATE
9010376522,010376522C,False,4875.6,2953.7,0.0,0.0,7829.3,286.79999999999995,7542.5,True,LOAD_CANDIDATE
9010376529,010376529C,False,2920.0,1423.84,0.0,0.0,4343.84,90.0,4253.84,True,LOAD_CANDIDATE
9010376540,010376540C,False,4920.0,1999.37,0.0,0.0,6919.37,0.0,6919.37,False,LOAD_CANDIDATE
9010377918,010377918C,False,15715.09,0.0,0.0,0.0,15715.09,0.0,15715.09,False,LOAD_CANDIDATE
9010378485,010378485C,False,9535.41,0.0,0.0,0.0,9535.41,0.0,9535.41,False,LOAD_CANDIDATE
9010378710,010378710C,False,4772.16,1081.45,0.0,0.0,5853.61,0.0,5853.61,False,LOAD_CANDIDATE
9010378829,010378829C,False,4838.4,1353.15,0.0,0.0,6191.549999999999,0.0,6191.55,False,LOAD_CANDIDATE
