K,MEMOKEY,source_rows,pnote_segments,pense_segments,merged_len
010785099C,010785099C,207,1,206,22039
010866396C,010866396C,152,2,150,21327
010803417C,010803417C,150,1,149,21280
010887927C,010887927C,197,2,195,20859
010817483C,010817483C,186,1,185,20349
010887929C,010887929C,183,1,182,19246
011179153C,011179153C,177,3,174,18872
011203371C,011203371C,162,2,160,17154
011215080C,011215080C,160,1,159,16753
011216498C,011216498C,151,3,148,16017
011251166C,011251166C,151,1,150,15974
011249831C,011249831C,141,3,138,15656
010855945C,010855945C,104,2,102,15432
010917599C,010917599C,104,1,103,15387
010858435C,010858435C,101,4,97,15348
011249830C,011249830C,138,3,135,15309
011184753C,011184753C,144,3,141,15196
010761639C,010761639C,72,6,66,14232
010510671C,010510671C,127,2,125,14107
011189851C,011189851C,117,2,115,14035
010917600C,010917600C,95,4,91,13999
011105008C,011105008C,124,1,123,13642
011196445C,011196445C,125,3,122,13319
010586005C,010586005C,124,2,122,13188
011130547C,011130547C,121,0,121,13017
