metric,value
current_total_rows,29279.0
current_unique_memokey,4380.0
current_duplicate_memokey_groups,3466.0
current_max_rows_per_memokey,207.0
current_pnote_only_policies,976.0
current_pense_only_policies,1079.0
current_both_pnote_pense_policies,2325.0
simulated_total_rows,4380.0
simulated_unique_memokey,4380.0
simulated_duplicate_memokey_groups,0.0
simulated_min_merged_len,49.0
simulated_avg_merged_len,977.68
simulated_median_merged_len,496.0
simulated_p95_merged_len,3027.0
simulated_max_merged_len,22039.0
simulated_total_memotext_chars,4282254.0
separator_overhead_chars,124495.0
current_total_memotext_chars,4157759.0
current_dbt_bytes,14990916.0
estimated_merged_dbt_bytes_512_blocks,8767488.0
memokey_width_violations,0.0
policies_over_10k_chars,35.0
policies_over_50k_chars,0.0
policies_over_100k_chars,0.0
