POLICY_NUMBER,QLA_POLICY_NUMBER,BENEFIT_SEQ,PLAN,FACE_AMOUNT,PREMIUM,SL_TABLE_CODE,SUPPRESSION_REASON
9010373918,010373918C,3,670 GL85-M,11557.00,.00,45,Issue #27
9010391359,010391359C,3,980 END65,2000.00,.46,04,Issue #27
9010392763,010392763C,3,670 GL85-M,4188.00,.00,45,Issue #27
9010395382,010395382C,3,670 GL85-M,10511.00,.00,45,Issue #27
9010397318,010397318C,3,670 GL85-M,7304.00,.00,45,Issue #27
9010398471,010398471C,3,670 GL85-M,9130.00,.00,45,Issue #27
9010405858,010405858C,3,670 GL85-M,5402.00,.00,61,Issue #27
9010410566,010410566C,3,670 GL85-8,3308.00,.00,32,Issue #27
9010411920,010411920C,3,0822 960PO,10000.00,.00,00,Issue #27
9010425845,010425845C,2,670 GL85-M,7545.00,.00,45,Issue #27
9010435466,010435466C,3,670 GL85-8,3043.00,.00,32,Issue #27
9010438942,010438942C,3,670 GL85-M,3580.00,.00,61,Issue #27
9010439527,010439527C,2,670 GL85-8,4831.00,.00,08,Issue #27
9010440631,010440631C,3,670 GL85-8,6616.00,.00,32,Issue #27
9010445091,010445091C,3,670 GL85-M,6007.00,.00,45,Issue #27
9010448806,010448806C,3,670 GL85-8,5778.00,.00,32,Issue #27
9010449050,010449050C,3,670 GL85-M,4831.00,.00,16,Issue #27
9010451453,010451453C,3,670 GL85-M,11272.00,.00,45,Issue #27
9010458190,010458190C,3,670 GL85-M,5778.00,.00,29,Issue #27
9010459050,010459050C,3,670 GL85-M,2243.00,.00,29,Issue #27
9010459814,010459814C,3,670 GL85-8,6211.00,.00,08,Issue #27
9010464265,010464265C,3,670 GL85-8,4394.00,.00,32,Issue #27
9010464870,010464870C,3,670 GL85-8,3727.00,.00,82,Issue #27
9010466978,010466978C,3,670 GL85-8,8009.00,.00,32,Issue #27
9010469666,010469666C,2,960 OL,10000.00,2.18,01,Issue #27
9010495122,010495122C,3,670 GL85-M,8225.00,.00,45,Issue #27
9010497264,010497264C,3,0822 960,5000.00,.00,00,Issue #27
9010497264,010497264C,4,960 OL,5000.00,2.19,03,Issue #27
9010505481,010505481C,3,670 GL85-M,12337.84,.00,45,Issue #27
9010511795,010511795C,3,670 GL85-8,5036.59,.00,32,Issue #27
9010521160,010521160C,2,960 OL,2000.00,1.02,02,Issue #27
9010549966,010549966C,3,665 STME95,1500.00,3.17,01,Issue #27
9010556634,010556634C,2,670 GL85-8,3868.64,.00,82,Issue #27
9010760306,010760306C,2,659 CEN II,0.00,.00,03,Issue #27
9010770580,010770580C,2,659 CEN SR,0.00,18.91,03,Issue #27
9010771662,010771662C,2,659 CEN SR,0.00,.00,03,Issue #27
9010773109,010773109C,3,659 CEN II,0.00,.00,04,Issue #27
9010782078,010782078C,2,659 CEN II,0.00,8.05,02,Issue #27
9010784732,010784732C,2,658 CEN I,0.00,.00,03,Issue #27
9010786878,010786878C,2,659 CEN SR,0.00,.00,03,Issue #27
9010796912,010796912C,2,659 CEN II,0.00,.00,,Issue #27
9010799083,010799083C,2,667 ART,25000.00,86.77,00,Issue #27
9010801734,010801734C,2,659 CEN SR,0.00,.00,03,Issue #27
9010803776,010803776C,2,659 CEN II,25000.00,.00,,Issue #27
9010808257,010808257C,2,659 CEN II,0.00,.00,04,Issue #27
9010819774,010819774C,2,659 CEN II,0.00,.00,03,Issue #27
9010886099,010886099C,2,667 ART,100000.00,655.49,00,Issue #27
9010921853,010921853C,2,667 ART,25000.00,127.47,00,Issue #27
9010987095,010987095C,3,1576 659,25000.00,1.22,00,Issue #27
9011072405,011072405C,2,L01 10Y LT,25000.00,56.86,00,Issue #27
9011097343,011097343C,2,L10 SR OLD,5000.00,21.70,08,Issue #27
9011104570,011104570C,2,L10 SR OLD,5000.00,68.33,04,Issue #27
9011110270,011110270C,2,658 CEN I,0.00,.00,02,Issue #27
9011110271,011110271C,2,658 CEN I,0.00,.00,02,Issue #27
9011112743,011112743C,2,L10 SR OLD,5000.00,44.40,03,Issue #27
9011175626,011175626C,2,L10 SR OLD,10000.00,34.15,02,Issue #27
9011182954,011182954C,2,L10 SR OLD,5000.00,4.39,02,Issue #27
9011183505,011183505C,2,L10 SR OLD,5000.00,16.04,02,Issue #27
9011185537,011185537C,2,L01 10Y LT,25000.00,10.91,00,Issue #27
9011187006,011187006C,2,L10 SR OLD,10000.00,11.79,02,Issue #27
9011190146,011190146C,4,L10 PRE97,40000.00,8.23,02,Issue #27
9011193243,011193243C,2,L10 SR OLD,5000.00,9.26,03,Issue #27
9011201237,011201237C,2,L01 10Y LT,25000.00,26.26,00,Issue #27
9011201621,011201621C,2,L01 10Y LT,25000.00,223.70,00,Issue #27
9011203457,011203457C,2,L10 LP95,15000.00,4.10,02,Issue #27
9011208333,011208333C,2,L10 LP95,25000.00,6.37,04,Issue #27
9011208334,011208334C,3,L10 LP95,50000.00,6.83,02,Issue #27
9011208787,011208787C,2,L10 LP95,50000.00,14.00,01,Issue #27
