lifepro_coverage_id,catalog_ql_plan_code_compat,authoritative_ql_plan_code,catalog_mapping_status
0823 960CH,0823 960CH,960CWP,CROSSWALK_DIVERGENT
0824 P DIS,0824 P DIS,94PDIS,CROSSWALK_DIVERGENT
10827 MN5K,10827 MN5K,1CSIMN,CROSSWALK_DIVERGENT
1578 SPSPU,1578 SPSPU,578STR,CROSSWALK_DIVERGENT
1579 GPO,1579 GPO,9GPO79,CROSSWALK_DIVERGENT
1596 667,1596 667,967ADB,CROSSWALK_DIVERGENT
619 CH PU,619 CH PU,719CTR,CROSSWALK_DIVERGENT
621 PUA,621 PUA,121PUA,CROSSWALK_DIVERGENT
630 JEB,630 JEB,130JEB,CROSSWALK_DIVERGENT
646 ART,646 ART,5646AT,CROSSWALK_DIVERGENT
667 ART CR,667 ART CR,57ATCR,CROSSWALK_DIVERGENT
669 SR GD,669 SR GD,1669SR,CROSSWALK_DIVERGENT
686S 30MRG,686S 30MRG,7686S3,CROSSWALK_DIVERGENT
687J 30MRG,687J 30MRG,7687J3,CROSSWALK_DIVERGENT
690 DT 65,690 DT 65,7690DT,CROSSWALK_DIVERGENT
8034 30MRG,8034 30MRG,934SWP,CROSSWALK_DIVERGENT
8034 J30MT,8034 J30MT,934JWP,CROSSWALK_DIVERGENT
8043CTR WP,8043CTR WP,943CWP,CROSSWALK_DIVERGENT
8046 JPO,8046 JPO,9JPO46,CROSSWALK_DIVERGENT
961 ME65,961 ME65,2961ME,CROSSWALK_DIVERGENT
961 PUA,961 PUA,261PUA,CROSSWALK_DIVERGENT
970 JEB,970 JEB,1970JB,CROSSWALK_DIVERGENT
970 PUA,970 PUA,1970PA,CROSSWALK_DIVERGENT
DISCHO2475,9DIS25,9DIS24,CROSSWALK_DIVERGENT
DISCHO247B,DISCHO247B,9DS24B,CROSSWALK_DIVERGENT
DISCHO247C,9DIS25,9DS24C,CROSSWALK_DIVERGENT
DISCHO29,DISCHO29,9DIS29,CROSSWALK_DIVERGENT
L01 10Y MA,L01 10Y MA,5L01MA,CROSSWALK_DIVERGENT
L10 PRE97,L10 PRE97,1L10OD,CROSSWALK_DIVERGENT
L10 PREUNI,L10 PREUNI,1L10PR,CROSSWALK_DIVERGENT
L10 SPSWP,L10 SPSWP,910SWP,CROSSWALK_DIVERGENT
L10 WP SRN,L10 WP SRN,910RWP,CROSSWALK_DIVERGENT
WP 646,WP 646,9WP646,CROSSWALK_DIVERGENT
