policy_number,mpolicy,mplan,mplan_source,effective_date,date_added,trans_amount,mseq,record_sequence
9010713707,010713707C,1659C2,PLAN_CODE,20180419,20180419,128.50,1,0
9010713707,010713707C,1659C2,PLAN_CODE,20190419,20190418,128.50,2,0
9010713707,010713707C,1659C2,PLAN_CODE,20200419,20200420,128.50,3,0
9010713707,010713707C,1659C2,PLAN_CODE,20210419,20210419,128.50,4,0
9010713707,010713707C,1659C2,PLAN_CODE,20220419,20220419,128.50,5,0
9010713707,010713707C,1659C2,PLAN_CODE,20230419,20230419,128.50,6,0
9010713707,010713707C,1659C2,PLAN_CODE,20240419,20240419,128.50,7,0
9010713707,010713707C,1659C2,PLAN_CODE,20250419,20250421,128.50,8,0
9010713707,010713707C,1659C2,PLAN_CODE,20260419,20260420,128.50,9,0
9010715467,010715467C,1659C2,PLAN_CODE,20180514,20180514,1129.00,1,0
9010715467,010715467C,1659C2,PLAN_CODE,20190514,20190514,1129.00,2,0
9010715467,010715467C,1659C2,PLAN_CODE,20200514,20200514,1129.00,3,0
9010715467,010715467C,1659C2,PLAN_CODE,20210514,20210514,1129.00,4,0
9010715467,010715467C,1659C2,PLAN_CODE,20220514,20220516,1129.00,5,0
9010715467,010715467C,1659C2,PLAN_CODE,20230514,20230515,1129.00,6,0
9010715467,010715467C,1659C2,PLAN_CODE,20240514,20240514,1129.00,7,0
9010715467,010715467C,1659C2,PLAN_CODE,20250514,20250514,1129.00,8,0
9010715467,010715467C,1659C2,PLAN_CODE,20260514,20260514,1129.00,9,0
9010716973,010716973C,1659C2,PLAN_CODE,20180510,20180510,263.00,1,0
9010716973,010716973C,1659C2,PLAN_CODE,20190510,20190510,263.00,2,0
9010716973,010716973C,1659C2,PLAN_CODE,20200510,20200511,263.00,3,0
9010716973,010716973C,1659C2,PLAN_CODE,20210510,20210510,263.00,4,0
9010716973,010716973C,1659C2,PLAN_CODE,20220510,20220510,263.00,5,0
9010716973,010716973C,1659C2,PLAN_CODE,20230510,20230510,263.00,6,0
9010716973,010716973C,1659C2,PLAN_CODE,20240510,20240510,263.00,7,0
9010716973,010716973C,1659C2,PLAN_CODE,20250510,20250512,263.00,8,0
9010716973,010716973C,1659C2,PLAN_CODE,20260510,20260511,263.00,9,0
9010716974,010716974C,1659C2,PLAN_CODE,20180510,20180510,246.75,1,0
9010716974,010716974C,1659C2,PLAN_CODE,20190510,20190510,246.75,2,0
9010716974,010716974C,1659C2,PLAN_CODE,20200510,20200511,246.75,3,0
9010717034,010717034C,1659C2,PLAN_CODE,20180511,20180511,320.20,1,0
