mpolicy,mseq,effective_date,date_added,record_sequence,claimnum,payee_source
010713707C,10,20180419,20180419,0,PS-010713707-010,OWNR
010713707C,11,20190419,20190418,0,PS-010713707-011,OWNR
010713707C,12,20200419,20200420,0,PS-010713707-012,OWNR
010713707C,13,20210419,20210419,0,PS-010713707-013,OWNR
010713707C,14,20220419,20220419,0,PS-010713707-014,OWNR
010713707C,15,20230419,20230419,0,PS-010713707-015,OWNR
010713707C,16,20240419,20240419,0,PS-010713707-016,OWNR
010713707C,17,20250419,20250421,0,PS-010713707-017,OWNR
010713707C,18,20260419,20260420,0,PS-010713707-018,OWNR
010715467C,10,20180514,20180514,0,PS-010715467-010,OWNR
010715467C,11,20190514,20190514,0,PS-010715467-011,OWNR
010715467C,12,20200514,20200514,0,PS-010715467-012,OWNR
010715467C,13,20210514,20210514,0,PS-010715467-013,OWNR
010715467C,14,20220514,20220516,0,PS-010715467-014,OWNR
010715467C,15,20230514,20230515,0,PS-010715467-015,OWNR
010715467C,16,20240514,20240514,0,PS-010715467-016,OWNR
010715467C,17,20250514,20250514,0,PS-010715467-017,OWNR
010715467C,18,20260514,20260514,0,PS-010715467-018,OWNR
010716973C,10,20180510,20180510,0,PS-010716973-010,OWNR
010716973C,11,20190510,20190510,0,PS-010716973-011,OWNR
010716973C,12,20200510,20200511,0,PS-010716973-012,OWNR
010716973C,13,20210510,20210510,0,PS-010716973-013,OWNR
010716973C,14,20220510,20220510,0,PS-010716973-014,OWNR
010716973C,15,20230510,20230510,0,PS-010716973-015,OWNR
010716973C,16,20240510,20240510,0,PS-010716973-016,OWNR
010716973C,17,20250510,20250512,0,PS-010716973-017,OWNR
010716973C,18,20260510,20260511,0,PS-010716973-018,OWNR
010716974C,4,20180510,20180510,0,PS-010716974-004,OWNR
010716974C,5,20190510,20190510,0,PS-010716974-005,OWNR
010716974C,6,20200510,20200511,0,PS-010716974-006,OWNR
010717034C,10,20180511,20180511,0,PS-010717034-010,OWNR
010717034C,11,20190511,20190513,0,PS-010717034-011,OWNR
010717034C,12,20200511,20200511,0,PS-010717034-012,OWNR
