policy_number,mplan,msurrdate,msurramt,benefit_seq,miswl,match_status,pfndr_policy_rows,pfndr_unique_valuation_dates,pfndr_dup_rows_at_miswl
9010713707,1659C2,20180419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20190419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20200419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20210419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20220419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20230419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20240419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20250419,128.5,2,20260519,MATCHED,1,1,1
9010713707,1659C2,20260419,128.5,2,20260519,MATCHED,1,1,1
9010715467,1659C2,20180514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20190514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20200514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20210514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20220514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20230514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20240514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20250514,1129.0,2,20260514,MATCHED,1,1,1
9010715467,1659C2,20260514,1129.0,2,20260514,MATCHED,1,1,1
9010716973,1659C2,20180510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20190510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20200510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20210510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20220510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20230510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20240510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20250510,263.0,2,20260510,MATCHED,1,1,1
9010716973,1659C2,20260510,263.0,2,20260510,MATCHED,1,1,1
9010716974,1659C2,20180510,246.75,2,20200702,MATCHED,1,1,1
9010716974,1659C2,20190510,246.75,2,20200702,MATCHED,1,1,1
9010716974,1659C2,20200510,246.75,2,20200702,MATCHED,1,1,1
9010717034,1659C2,20180511,320.2,2,20260511,MATCHED,1,1,1
9010717034,1659C2,20190511,320.2,2,20260511,MATCHED,1,1,1
