policy_number,mplan,effective_date,reason
9010716974,1659C2,20200702,full_surrender_560_excluded
9010716974,1659C2,20200702,full_surrender_560_excluded
9010728696,1659C2,20240129,full_surrender_560_excluded
9010728696,1659C2,20240129,full_surrender_560_excluded
9010732278,1659C2,20231023,full_surrender_560_excluded
9010732278,1659C2,20231023,full_surrender_560_excluded
9010743638,1659CR,20250408,full_surrender_560_excluded
9010743638,1659CR,20250408,full_surrender_560_excluded
9010746005,1659CR,20230103,full_surrender_560_excluded
9010746005,1659CR,20230103,full_surrender_560_excluded
9010746424,1659CR,20200413,full_surrender_560_excluded
9010746424,1659CR,20200413,full_surrender_560_excluded
9010747186,1659C2,20230227,full_surrender_560_excluded
9010747186,1659C2,20230227,full_surrender_560_excluded
9010749042,1659C2,20200225,full_surrender_560_excluded
9010749042,1659C2,20200225,full_surrender_560_excluded
9010750755,1659C2,20230619,full_surrender_560_excluded
9010750755,1659C2,20230619,full_surrender_560_excluded
9010754898,1659C2,20240802,full_surrender_560_excluded
9010754898,1659C2,20240802,full_surrender_560_excluded
9010756938,1659C2,20240416,full_surrender_560_excluded
9010756938,1659C2,20240416,full_surrender_560_excluded
9010761870,1659C2,20200915,full_surrender_560_excluded
9010761870,1659C2,20200915,full_surrender_560_excluded
9010764385,1659CR,20210628,full_surrender_560_excluded
9010764385,1659CR,20210628,full_surrender_560_excluded
9010770865,1659CR,20230616,full_surrender_560_excluded
9010770865,1659CR,20230616,full_surrender_560_excluded
9010772898,1659C2,20250414,full_surrender_560_excluded
9010772898,1659C2,20250414,full_surrender_560_excluded
9010773107,1659CR,20240905,full_surrender_560_excluded
9010773107,1659CR,20240905,full_surrender_560_excluded
9010773856,1659CR,20191223,full_surrender_560_excluded
9010773856,1659CR,20191223,full_surrender_560_excluded
9010776027,1659C2,20201215,full_surrender_560_excluded
9010776027,1659C2,20201215,full_surrender_560_excluded
9010776450,1659C2,20250401,full_surrender_560_excluded
9010776450,1659C2,20250401,full_surrender_560_excluded
9010779074,1659CR,20220413,full_surrender_560_excluded
9010779074,1659CR,20220413,full_surrender_560_excluded
9010780131,1659CR,20180703,full_surrender_560_excluded
9010780131,1659CR,20180703,full_surrender_560_excluded
9010781713,1659C2,20210614,full_surrender_560_excluded
9010781713,1659C2,20210614,full_surrender_560_excluded
9010786324,1659CR,20190226,full_surrender_560_excluded
9010786324,1659CR,20190226,full_surrender_560_excluded
9010787762,1659C2,20250707,full_surrender_560_excluded
9010787762,1659C2,20250707,full_surrender_560_excluded
9010793582,1659C2,20230818,full_surrender_560_excluded
9010793582,1659C2,20230818,full_surrender_560_excluded
9010794112,1659C2,20220414,full_surrender_560_excluded
9010794112,1659C2,20220414,full_surrender_560_excluded
9010794116,1659C2,20240625,full_surrender_560_excluded
9010794116,1659C2,20240625,full_surrender_560_excluded
9010795564,1659C2,20250320,full_surrender_560_excluded
9010795564,1659C2,20250320,full_surrender_560_excluded
9010795609,1659C2,20180618,full_surrender_560_excluded
9010795609,1659C2,20180618,full_surrender_560_excluded
9010798462,1659CR,20180918,full_surrender_560_excluded
9010798462,1659CR,20180918,full_surrender_560_excluded
9010803044,1659C2,20230731,full_surrender_560_excluded
9010803044,1659C2,20230731,full_surrender_560_excluded
9010803682,1659CR,20201013,full_surrender_560_excluded
9010803682,1659CR,20201013,full_surrender_560_excluded
9010804854,1659C2,20231227,full_surrender_560_excluded
