MPOLICY,LPOL,PLAN_CODE,ACCUM_DIVIDENDS,ACC,MDEPOSIT,MDEPINT,MINTYTD,MINTDATE,DIVIDEND,NON_FORFEITURE,GAP
010435671C,9010435671,960 PO,       17237.02,17237.02,0.00,4.00,0.00,,3       ,1             ,17237.02
010405802C,9010405802,670 GL85-M,       11672.07,11672.07,0.00,4.00,0.00,,3       ,4             ,11672.07
010513848C,9010513848,960 PO,       11089.82,11089.82,0.00,4.00,0.00,,3       ,1             ,11089.82
010542288C,9010542288,960 PO,       10427.22,10427.22,0.00,4.00,0.00,,3       ,1             ,10427.22
010407023C,9010407023,960 PO,        9987.10,9987.1,0.00,4.00,0.00,,3       ,1             ,9987.1
010378830C,9010378830,960 PO,        9888.08,9888.08,0.00,4.00,0.00,,3       ,1             ,9888.08
010380808C,9010380808,960 PO,        9220.33,9220.33,0.00,4.00,0.00,,3       ,1             ,9220.33
010331157C,9010331157,960 LP85-M,        9033.17,9033.17,0.00,4.00,0.00,,3       ,1             ,9033.17
010403789C,9010403789,670 GL85-M,        7780.13,7780.13,0.00,4.00,0.00,,3       ,4             ,7780.13
010469666C,9010469666,960 OL,        7566.61,7566.61,0.00,4.00,0.00,,3       ,2             ,7566.61
010523097C,9010523097,960 OL,        7217.65,7217.65,0.00,4.00,0.00,,3       ,1             ,7217.65
010411727C,9010411727,960 LP65,        7212.52,7212.52,0.00,4.00,0.00,,3       ,1             ,7212.52
010335038C,9010335038,960 LP85-M,        6635.00,6635.0,0.00,4.00,0.00,,3       ,1             ,6635.0
010481459C,9010481459,960 OL,        6093.50,6093.5,0.00,4.00,0.00,,3       ,1             ,6093.5
010469430C,9010469430,960 OL,        5817.29,5817.29,0.00,4.00,0.00,,3       ,1             ,5817.29
010513849C,9010513849,960 OL,        5749.01,5749.01,0.00,4.00,0.00,,3       ,1             ,5749.01
010413745C,9010413745,960 PO,        5635.62,5635.62,0.00,4.00,0.00,,3       ,1             ,5635.62
010450906C,9010450906,960 OL,        5424.81,5424.81,0.00,4.00,0.00,,3       ,1             ,5424.81
010511203C,9010511203,665 STME95,        5213.61,5213.61,0.00,4.00,0.00,,3       ,1             ,5213.61
010503391C,9010503391,960 OL,        4788.64,4788.64,0.00,4.00,0.00,,3       ,4             ,4788.64
010452575C,9010452575,960 OL,        4580.67,4580.67,0.00,4.00,0.00,,3       ,1             ,4580.67
010492604C,9010492604,960 OL,        4493.23,4493.23,0.00,4.00,0.00,,3       ,1             ,4493.23
010467061C,9010467061,960 OL,        4222.33,4222.33,0.00,4.00,0.00,,3       ,1             ,4222.33
010514051C,9010514051,960 OL,        4048.89,4048.89,0.00,4.00,0.00,,3       ,1             ,4048.89
010382426C,9010382426,960 PO,        4020.04,4020.04,0.00,4.00,0.00,,3       ,4             ,4020.04
010455617C,9010455617,960 OL,        3948.31,3948.31,0.00,4.00,0.00,,3       ,4             ,3948.31
010471933C,9010471933,960 OL,        3823.10,3823.1,0.00,4.00,0.00,,3       ,1             ,3823.1
010495113C,9010495113,960 OL,        3404.65,3404.65,0.00,4.00,0.00,,3       ,1             ,3404.65
010507004C,9010507004,960 OL,        3193.36,3193.36,0.00,4.00,0.00,,3       ,1             ,3193.36
010498617C,9010498617,960 OL,        3151.02,3151.02,0.00,4.00,0.00,,3       ,1             ,3151.02
010161748C,9010161748,621 END85,        2893.67,2893.67,0.00,4.00,0.00,,3       ,4             ,2893.67
010555714C,9010555714,960 OL,        2515.41,2515.41,0.00,4.00,0.00,,3       ,1             ,2515.41
010346921C,9010346921,980 END65,        1994.91,1994.91,0.00,4.00,0.00,,3       ,1             ,1994.91
010460323C,9010460323,960 OL,        1974.49,1974.49,0.00,4.00,0.00,,3       ,1             ,1974.49
010435672C,9010435672,960 LP65,        1911.89,1911.89,0.00,4.00,0.00,,3       ,1             ,1911.89
010544183C,9010544183,960 OL,        1900.26,1900.26,0.00,4.00,0.00,,3       ,1             ,1900.26
010728947C,9010728947,960 OL,        1875.38,1875.38,0.00,4.00,0.00,,3       ,1             ,1875.38
010521160C,9010521160,960 OL,        1870.49,1870.49,0.00,4.00,0.00,,3       ,2             ,1870.49
010445275C,9010445275,960 OL,        1767.87,1767.87,0.00,4.00,0.00,,3       ,1             ,1767.87
010150740C,9010150740,621 END85,        1664.37,1664.37,0.00,4.00,0.00,,3       ,4             ,1664.37
010520451C,9010520451,960 OL,        1475.58,1475.58,0.00,4.00,0.00,,3       ,1             ,1475.58
010435673C,9010435673,960 LP65,        1301.97,1301.97,0.00,4.00,0.00,,3       ,1             ,1301.97
010507005C,9010507005,960 OL,        1240.38,1240.38,0.00,4.00,0.00,,3       ,1             ,1240.38
010157076C,9010157076,621 END85,        1203.11,1203.11,0.00,4.00,0.00,,3       ,4             ,1203.11
010148856C,9010148856,621 END85,        1201.44,1201.44,0.00,4.00,0.00,,3       ,4             ,1201.44
010158001C,9010158001,621 END85,        1180.85,1180.85,0.00,4.00,0.00,,3       ,4             ,1180.85
010148272C,9010148272,621 END85,        1159.75,1159.75,0.00,4.00,0.00,,3       ,4             ,1159.75
010154425C,9010154425,621 END85,        1100.42,1100.42,0.00,4.00,0.00,,3       ,4             ,1100.42
010463537C,9010463537,960 OL,        1080.39,1080.39,0.00,4.00,0.00,,3       ,1             ,1080.39
010653595C,9010653595,960 OL,        1023.69,1023.69,0.00,4.00,0.00,,3       ,1             ,1023.69
010653596C,9010653596,960 OL,        1015.93,1015.93,0.00,4.00,0.00,,3       ,1             ,1015.93
010149834C,9010149834,621 END85,         896.04,896.04,0.00,4.00,0.00,,3       ,4             ,896.04
010460406C,9010460406,960 OL,         772.29,772.29,0.00,4.00,0.00,,3       ,1             ,772.29
010527336C,9010527336,960 OL,         651.46,651.46,0.00,4.00,0.00,,3       ,1             ,651.46
010494229C,9010494229,960 OL,         608.16,608.16,0.00,4.00,0.00,,3       ,1             ,608.16
010458525C,9010458525,670 GL85-8,         529.93,529.93,0.00,4.00,0.00,,6       ,4             ,529.93
010451453C,9010451453,670 GL85-M,         353.29,353.29,0.00,4.00,0.00,,6       ,5             ,353.29
010497768C,9010497768,670 GL85-8,         263.20,263.2,0.00,4.00,0.00,,3       ,4             ,263.2
010457623C,9010457623,960 OL,           1.53,1.53,0.00,4.00,0.00,,3       ,1             ,1.53
