sex,issue_age,uwclass,band,qla_duration_index,source_value,plan_17085M,plan_170858,values_match
F,0,00,01,6,0.0,0.0,0.0,PASS
F,0,00,01,7,6.04,6.04,6.04,PASS
F,0,00,01,8,12.66,12.66,12.66,PASS
F,0,00,01,9,19.49,19.49,19.49,PASS
F,0,00,01,10,26.53,26.53,26.53,PASS
F,0,00,01,11,33.77,33.77,33.77,PASS
F,0,00,01,12,41.19,41.19,41.19,PASS
F,0,00,01,13,48.8,48.8,48.8,PASS
F,0,00,01,14,56.58,56.58,56.58,PASS
F,0,00,01,15,64.55,64.55,64.55,PASS
F,0,00,01,16,72.68,72.68,72.68,PASS
F,0,00,01,17,80.98,80.98,80.98,PASS
F,0,00,01,18,89.45,89.45,89.45,PASS
F,0,00,01,19,98.07,98.07,98.07,PASS
F,0,00,01,20,106.86,106.86,106.86,PASS
F,0,00,01,21,115.81,115.81,115.81,PASS
F,0,00,01,22,123.34,123.34,123.34,PASS
F,0,00,01,23,131.0,131.0,131.0,PASS
F,0,00,01,24,138.83,138.83,138.83,PASS
F,0,00,01,25,146.82,146.82,146.82,PASS
F,0,00,01,26,154.99,154.99,154.99,PASS
F,0,00,01,27,163.36,163.36,163.36,PASS
F,0,00,01,28,171.93,171.93,171.93,PASS
F,0,00,01,29,180.71,180.71,180.71,PASS
F,0,00,01,30,189.71,189.71,189.71,PASS
F,0,00,01,31,198.93,198.93,198.93,PASS
F,0,00,01,32,208.38,208.38,208.38,PASS
F,0,00,01,33,218.05,218.05,218.05,PASS
F,0,00,01,34,227.94,227.94,227.94,PASS
F,0,00,01,35,238.07,238.07,238.07,PASS
F,0,00,01,36,248.42,248.42,248.42,PASS
F,0,00,01,37,259.01,259.01,259.01,PASS
F,0,00,01,38,269.84,269.84,269.84,PASS
F,0,00,01,39,280.91,280.91,280.91,PASS
F,0,00,01,40,292.21,292.21,292.21,PASS
F,0,00,01,41,303.72,303.72,303.72,PASS
F,0,00,01,42,315.45,315.45,315.45,PASS
F,0,00,01,43,327.36,327.36,327.36,PASS
F,0,00,01,44,339.44,339.44,339.44,PASS
F,0,00,01,45,351.69,351.69,351.69,PASS
F,0,00,01,46,364.09,364.09,364.09,PASS
F,0,00,01,47,376.64,376.64,376.64,PASS
F,0,00,01,48,389.33,389.33,389.33,PASS
F,0,00,01,49,402.18,402.18,402.18,PASS
F,0,00,01,50,415.15,415.15,415.15,PASS
F,0,00,01,51,428.24,428.24,428.24,PASS
F,0,00,01,52,441.45,441.45,441.45,PASS
F,0,00,01,53,454.74,454.74,454.74,PASS
F,0,00,01,54,468.12,468.12,468.12,PASS
F,0,00,01,55,481.55,481.55,481.55,PASS
M,26,00,01,2,0.0,0.0,0.0,PASS
M,26,00,01,3,8.42,8.42,8.42,PASS
M,26,00,01,4,21.54,21.54,21.54,PASS
M,26,00,01,5,34.97,34.97,34.97,PASS
M,26,00,01,6,48.71,48.71,48.71,PASS
M,26,00,01,7,62.76,62.76,62.76,PASS
M,26,00,01,8,77.14,77.14,77.14,PASS
M,26,00,01,9,91.83,91.83,91.83,PASS
M,26,00,01,10,106.83,106.83,106.83,PASS
M,26,00,01,11,122.13,122.13,122.13,PASS
M,26,00,01,12,137.72,137.72,137.72,PASS
M,26,00,01,13,153.56,153.56,153.56,PASS
M,26,00,01,14,169.65,169.65,169.65,PASS
M,26,00,01,15,185.96,185.96,185.96,PASS
M,26,00,01,16,202.49,202.49,202.49,PASS
M,26,00,01,17,219.25,219.25,219.25,PASS
M,26,00,01,18,236.22,236.22,236.22,PASS
M,26,00,01,19,253.4,253.4,253.4,PASS
M,26,00,01,20,270.78,270.78,270.78,PASS
M,26,00,01,21,287.18,287.18,287.18,PASS
M,26,00,01,22,303.73,303.73,303.73,PASS
M,26,00,01,23,320.39,320.39,320.39,PASS
M,26,00,01,24,337.16,337.16,337.16,PASS
M,26,00,01,25,354.0,354.0,354.0,PASS
M,26,00,01,26,370.92,370.92,370.92,PASS
M,26,00,01,27,387.89,387.89,387.89,PASS
M,26,00,01,28,404.9,404.9,404.9,PASS
M,26,00,01,29,421.93,421.93,421.93,PASS
M,26,00,01,30,438.98,438.98,438.98,PASS
M,26,00,01,31,456.02,456.02,456.02,PASS
M,26,00,01,32,473.03,473.03,473.03,PASS
M,26,00,01,33,489.97,489.97,489.97,PASS
M,26,00,01,34,506.85,506.85,506.85,PASS
M,26,00,01,35,523.63,523.63,523.63,PASS
M,26,00,01,36,540.29,540.29,540.29,PASS
M,26,00,01,37,556.81,556.81,556.81,PASS
M,26,00,01,38,573.19,573.19,573.19,PASS
M,26,00,01,39,589.38,589.38,589.38,PASS
M,26,00,01,40,605.38,605.38,605.38,PASS
M,26,00,01,41,621.15,621.15,621.15,PASS
M,26,00,01,42,636.65,636.65,636.65,PASS
M,26,00,01,43,651.85,651.85,651.85,PASS
M,26,00,01,44,666.74,666.74,666.74,PASS
M,26,00,01,45,681.34,681.34,681.34,PASS
M,26,00,01,46,695.68,695.68,695.68,PASS
M,26,00,01,47,709.85,709.85,709.85,PASS
M,26,00,01,48,723.93,723.93,723.93,PASS
M,26,00,01,49,737.97,737.97,737.97,PASS
M,26,00,01,50,752.02,752.02,752.02,PASS
M,26,00,01,51,766.09,766.09,766.09,PASS
