plan,rate_owner_coverage,sex,issue_age,uwclass,band,point,source_duration,source_value,qla_duration_index,attained_age,qla_cntl,qla_column,qla_grid_value,emitted_csv_value,result
1L10SO,L10 PRE97,F,0,PR,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
1L10SO,L10 PRE97,F,0,PR,01,mid_duration,47,271.0,52,52,05,CV2,271.0,271.00,PASS
1L10SO,L10 PRE97,F,0,PR,01,age100_endpoint,93,1000.0,98,98,09,CV8,1000.0,1000.00,PASS
17085M,670 GL85-8,F,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
17085M,670 GL85-8,F,0,00,01,mid_duration,48,454.74,53,53,05,CV3,454.74,454.74,PASS
17085M,670 GL85-8,F,0,00,01,age100_endpoint,95,975.61,100,100,10,CV0,975.61,975.61,PASS
1668SP,659 CEN II,F,0,SM,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
1668SP,659 CEN II,F,0,SM,01,mid_duration,48,292.0,53,53,05,CV3,292.0,292.00,PASS
1668SP,659 CEN II,F,0,SM,01,age100_endpoint,95,1000.0,100,100,10,CV0,1000.0,1000.00,PASS
1L10SR,L10 LP95,F,0,PR,01,first_nonzero,1,12.0,7,7,00,CV7,12.0,12.00,PASS
1L10SR,L10 LP95,F,0,PR,01,mid_duration,48,216.0,54,54,05,CV4,216.0,216.00,PASS
1L10SR,L10 LP95,F,0,PR,01,age100_endpoint,94,897.0,100,100,10,CV0,897.0,897.00,PASS
1SALMI,SAL OL,M,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
1SALMI,SAL OL,M,0,00,01,mid_duration,48,397.0,53,53,05,CV3,397.0,397.00,PASS
1SALMI,SAL OL,M,0,00,01,age100_endpoint,95,923.0,100,100,10,CV0,923.0,923.00,PASS
1SALML,SAL OL,M,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
1SALML,SAL OL,M,0,00,01,mid_duration,48,397.0,53,53,05,CV3,397.0,397.00,PASS
1SALML,SAL OL,M,0,00,01,age100_endpoint,95,923.0,100,100,10,CV0,923.0,923.00,PASS
1666AI,666 WL,M,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
1666AI,666 WL,M,0,00,01,mid_duration,48,462.0,53,53,05,CV3,462.0,462.00,PASS
1666AI,666 WL,M,0,00,01,age100_endpoint,95,959.0,100,100,10,CV0,959.0,959.00,PASS
280PUA,980 END65,F,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
280PUA,980 END65,F,0,00,01,mid_duration,32,334.69,37,37,03,CV7,334.69,334.69,PASS
280PUA,980 END65,F,0,00,01,age100_endpoint,63,1000.0,68,68,06,CV8,1000.0,1000.00,PASS
265PUA,665 STME95,M,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
265PUA,665 STME95,M,0,00,01,mid_duration,44,3664.88,49,49,04,CV9,3664.88,3664.88,PASS
265PUA,665 STME95,M,0,00,01,age100_endpoint,87,9378.0,92,92,09,CV2,9378.0,9378.00,PASS
261PUA,961 ME65,F,0,00,01,first_nonzero,1,0.0,6,6,00,CV6,0.0,.00,PASS
261PUA,961 ME65,F,0,00,01,mid_duration,31,257.6,36,36,03,CV6,257.6,257.60,PASS
261PUA,961 ME65,F,0,00,01,age100_endpoint,60,811.69,65,65,06,CV5,811.69,811.69,PASS
