PLAN,lifepro_coverage,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,MORT,ETIMORT,NFOINT,INTMETHCV
1666AI,897 666,M,00,01,0000,00,19000101,,,,
1668SP,668 SPWL,F,SM,01,0000,00,19000101,B4,,G,0
1668SP,668 SPWL,M,SM,01,0000,00,19000101,A4,,G,0
17085M,670 GL85-M,F,00,01,0000,00,19000101,P1,R1,,0
17085M,670 GL85-M,M,00,01,0000,00,19000101,O1,Q1,,0
1L10SO,L10 SR OLD,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,L10 SR OLD,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SO,L10 SR OLD,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SO,L10 SR OLD,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,L10 SR OLD,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SO,L10 SR OLD,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,L10 LP95SR,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,L10 LP95SR,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SR,L10 LP95SR,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,L10 LP95SR,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,L10 LP95SR,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SR,L10 LP95SR,M,ST,01,0000,00,19000101,A1,C1,C,0
1SALMI,SAL MULTPL,M,00,01,0000,00,19000101,,,,
1SALML,SAL ML,M,00,01,0000,00,19000101,O1,,4,0
261PUA,961 PUA,F,00,01,0000,00,19000101,,,,
261PUA,961 PUA,M,00,01,0000,00,19000101,,,,
265PUA,665 PUA,M,00,01,0000,00,19000101,,,,
280PUA,980 PUA,F,00,01,0000,00,19000101,,,,
280PUA,980 PUA,M,00,01,0000,00,19000101,,,,
