PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
1668SP,00,00,,,,,,,.00,1.00,3.00,6.00,F,SM,01,0000,00,19000101
1668SP,00,01,8.00,11.00,14.00,17.00,21.00,24.00,27.00,31.00,35.00,38.00,F,SM,01,0000,00,19000101
1668SP,00,02,42.00,46.00,51.00,55.00,60.00,64.00,69.00,75.00,80.00,86.00,F,SM,01,0000,00,19000101
1668SP,00,03,91.00,97.00,104.00,110.00,117.00,124.00,131.00,139.00,147.00,155.00,F,SM,01,0000,00,19000101
1668SP,00,04,163.00,171.00,180.00,189.00,198.00,207.00,217.00,227.00,237.00,247.00,F,SM,01,0000,00,19000101
1668SP,00,05,258.00,269.00,281.00,292.00,304.00,316.00,329.00,342.00,355.00,368.00,F,SM,01,0000,00,19000101
1668SP,00,06,382.00,397.00,412.00,427.00,442.00,458.00,474.00,489.00,506.00,522.00,F,SM,01,0000,00,19000101
1668SP,00,07,539.00,556.00,574.00,591.00,608.00,625.00,642.00,658.00,675.00,691.00,F,SM,01,0000,00,19000101
1668SP,00,08,707.00,722.00,738.00,752.00,766.00,780.00,793.00,805.00,817.00,828.00,F,SM,01,0000,00,19000101
1668SP,00,09,840.00,851.00,862.00,874.00,887.00,900.00,914.00,929.00,943.00,954.00,F,SM,01,0000,00,19000101
1668SP,00,10,1000.00,,,,,,,,,,F,SM,01,0000,00,19000101
1668SP,00,00,,,,,,,.00,3.00,6.00,10.00,M,SM,01,0000,00,19000101
1668SP,00,01,13.00,17.00,21.00,25.00,29.00,33.00,37.00,41.00,45.00,49.00,M,SM,01,0000,00,19000101
1668SP,00,02,53.00,58.00,62.00,67.00,72.00,78.00,84.00,90.00,96.00,103.00,M,SM,01,0000,00,19000101
1668SP,00,03,110.00,117.00,124.00,132.00,140.00,149.00,158.00,167.00,176.00,186.00,M,SM,01,0000,00,19000101
1668SP,00,04,195.00,206.00,216.00,227.00,238.00,249.00,261.00,273.00,285.00,297.00,M,SM,01,0000,00,19000101
1668SP,00,05,310.00,323.00,336.00,350.00,364.00,378.00,392.00,406.00,421.00,436.00,M,SM,01,0000,00,19000101
1668SP,00,06,451.00,466.00,481.00,497.00,512.00,528.00,543.00,558.00,574.00,589.00,M,SM,01,0000,00,19000101
1668SP,00,07,605.00,620.00,635.00,650.00,665.00,679.00,693.00,706.00,719.00,732.00,M,SM,01,0000,00,19000101
1668SP,00,08,744.00,757.00,769.00,780.00,791.00,801.00,811.00,820.00,829.00,838.00,M,SM,01,0000,00,19000101
1668SP,00,09,847.00,856.00,866.00,876.00,887.00,900.00,914.00,928.00,942.00,954.00,M,SM,01,0000,00,19000101
1668SP,00,10,1000.00,,,,,,,,,,M,SM,01,0000,00,19000101
1668SP,01,00,,,,.00,2.00,5.00,8.00,11.00,14.00,17.00,F,SM,01,0000,00,19000101
1668SP,01,01,20.00,23.00,27.00,30.00,34.00,38.00,42.00,46.00,50.00,54.00,F,SM,01,0000,00,19000101
1668SP,01,02,59.00,64.00,69.00,74.00,79.00,85.00,91.00,97.00,103.00,110.00,F,SM,01,0000,00,19000101
1668SP,01,03,116.00,123.00,131.00,138.00,146.00,154.00,162.00,171.00,179.00,188.00,F,SM,01,0000,00,19000101
1668SP,01,04,197.00,207.00,216.00,226.00,236.00,247.00,258.00,269.00,280.00,292.00,F,SM,01,0000,00,19000101
