PLAN,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,MORT,ETIMORT,NFOINT,INTMETHCV
130JEB,M,00,01,0000,00,19000101,,,,
1658C1,F,PR,01,0000,00,19000101,A1,C1,A,0
1658C1,F,SM,01,0000,00,19000101,B4,D4,A,0
1658C1,M,PR,01,0000,00,19000101,A1,C1,A,0
1658C1,M,SM,01,0000,00,19000101,A4,C4,A,0
1658CS,F,SM,01,0000,00,19000101,B4,D4,A,0
1658CS,M,SM,01,0000,00,19000101,A4,C4,A,0
1659C2,F,SM,01,0000,00,19000101,B4,D4,A,0
1659C2,M,SM,01,0000,00,19000101,A4,C4,A,0
1659CR,F,SM,01,0000,00,19000101,B4,D4,A,0
1659CR,M,SM,01,0000,00,19000101,A4,C4,A,0
1659CS,F,SM,01,0000,00,19000101,B4,D4,A,0
1659CS,M,SM,01,0000,00,19000101,A4,C4,A,0
1659SR,F,SM,01,0000,00,19000101,B4,D4,A,0
1659SR,M,SM,01,0000,00,19000101,A4,C4,A,0
1666AI,M,00,01,0000,00,19000101,,,,
1666WL,M,00,01,0000,00,19000101,O1,Q1,,0
1668SP,F,SM,01,0000,00,19000101,B4,,G,0
1668SP,M,SM,01,0000,00,19000101,A4,,G,0
1669SR,F,SM,01,0000,00,19000101,B4,D4,A,0
1669SR,M,SM,01,0000,00,19000101,A4,C4,A,0
1679CS,M,SM,01,0000,00,19000101,A4,C4,A,0
170588,F,00,01,0000,00,19000101,P1,R1,,0
170588,M,00,01,0000,00,19000101,O1,Q1,,0
170858,F,00,01,0000,00,19000101,P1,R1,,0
170858,M,00,01,0000,00,19000101,O1,Q1,,0
17085M,F,00,01,0000,00,19000101,P1,R1,,0
17085M,M,00,01,0000,00,19000101,O1,Q1,,0
17CSI3,F,00,01,0000,00,19000101,B1,D1,F,0
17CSI3,M,00,01,0000,00,19000101,A1,C1,F,0
17CSI5,F,00,01,0000,00,19000101,B1,D1,F,0
17CSI5,M,00,01,0000,00,19000101,A1,C1,F,0
17CSI7,F,00,01,0000,00,19000101,B1,D1,F,0
17CSI7,M,00,01,0000,00,19000101,A1,C1,F,0
196065,M,00,01,0000,00,19000101,O1,Q1,,0
1960OL,M,00,01,0000,00,19000101,O1,Q1,,0
1960PO,F,00,01,0000,00,19000101,P1,R1,,0
1960PO,M,00,01,0000,00,19000101,O1,Q1,,0
1970JB,M,00,01,0000,00,19000101,O1,Q1,,0
1991PL,F,00,01,0000,00,19000101,P1,R1,,0
1991PL,M,00,01,0000,00,19000101,O1,Q1,,0
1CSIMN,F,00,01,0000,00,19000101,B1,D1,F,0
1CSIMN,M,00,01,0000,00,19000101,A1,C1,F,0
1L1095,F,PR,01,0000,00,19000101,A1,C1,C,0
1L1095,F,SM,01,0000,00,19000101,B4,D4,C,0
1L1095,F,ST,01,0000,00,19000101,A1,C1,C,0
1L1095,M,PR,01,0000,00,19000101,A1,C1,C,0
1L1095,M,SM,01,0000,00,19000101,A4,C4,C,0
1L1095,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10OD,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10OD,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10OD,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10OD,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10OD,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10OD,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10PR,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10PR,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10PR,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10SO,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SO,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SO,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SO,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SR,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SR,M,ST,01,0000,00,19000101,A1,C1,C,0
1L14SC,F,NS,01,0000,00,19000101,B3,D3,C,0
1L14SC,M,NS,01,0000,00,19000101,A3,C3,C,0
1L15GD,F,SM,01,0000,00,19000101,B4,,C,0
1L15GD,M,SM,01,0000,00,19000101,A4,,C,0
1L16GD,F,SM,01,0000,00,19000101,B4,,C,0
1L16GD,M,SM,01,0000,00,19000101,A4,,C,0
1SALMI,M,00,01,0000,00,19000101,,,,
1SALML,M,00,01,0000,00,19000101,O1,,4,0
1SALOL,M,00,01,0000,00,19000101,O1,,4,0
221END,M,00,01,0000,00,19000101,N1,,2,0
222END,M,00,01,0000,00,19000101,N1,,2,0
261PUA,F,00,01,0000,00,19000101,,,,
261PUA,M,00,01,0000,00,19000101,,,,
265PUA,M,00,01,0000,00,19000101,,,,
2665ST,M,00,01,0000,00,19000101,O1,Q1,,0
280END,F,00,01,0000,00,19000101,P1,R1,,0
280END,M,00,01,0000,00,19000101,O1,Q1,,0
280PUA,F,00,01,0000,00,19000101,,,,
280PUA,M,00,01,0000,00,19000101,,,,
2961ME,F,00,01,0000,00,19000101,P1,R1,,0
2961ME,M,00,01,0000,00,19000101,O1,Q1,,0
560STR,M,00,01,0000,00,19000101,,,,
578STR,M,SM,01,0000,00,19000101,,,,
A96DAR,M,00,01,0000,00,19000101,,,,
