PLAN,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,MORT,ETIMORT,NFOINT,INTMETHCV
1666AI,M,00,01,0000,00,19000101,,,,
1668SP,F,SM,01,0000,00,19000101,B4,,G,0
1668SP,M,SM,01,0000,00,19000101,A4,,G,0
17085M,F,00,01,0000,00,19000101,P1,R1,,0
17085M,M,00,01,0000,00,19000101,O1,Q1,,0
1L10SO,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SO,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SO,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SO,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SO,M,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,F,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,F,SM,01,0000,00,19000101,B4,D4,C,0
1L10SR,F,ST,01,0000,00,19000101,A1,C1,C,0
1L10SR,M,PR,01,0000,00,19000101,A1,C1,C,0
1L10SR,M,SM,01,0000,00,19000101,A4,C4,C,0
1L10SR,M,ST,01,0000,00,19000101,A1,C1,C,0
1SALMI,M,00,01,0000,00,19000101,,,,
1SALML,M,00,01,0000,00,19000101,O1,,4,0
261PUA,F,00,01,0000,00,19000101,,,,
261PUA,M,00,01,0000,00,19000101,,,,
265PUA,M,00,01,0000,00,19000101,,,,
280PUA,F,00,01,0000,00,19000101,,,,
280PUA,M,00,01,0000,00,19000101,,,,
