PLAN,GDCODE,GDDESCR
130JEB,F,FEMALE
130JEB,M,MALE
1658C1,F,FEMALE
1658C1,M,MALE
1658CS,F,FEMALE
1658CS,M,MALE
1659C2,F,FEMALE
1659C2,M,MALE
1659CR,F,FEMALE
1659CR,M,MALE
1659CS,F,FEMALE
1659CS,M,MALE
1659SR,F,FEMALE
1659SR,M,MALE
1666AI,M,MALE
1666WL,F,FEMALE
1666WL,M,MALE
1668SP,F,FEMALE
1668SP,M,MALE
1669SR,F,FEMALE
1669SR,M,MALE
1679CS,F,FEMALE
1679CS,M,MALE
170588,F,FEMALE
170588,M,MALE
170858,F,FEMALE
170858,M,MALE
17085M,F,FEMALE
17085M,M,MALE
17CSI3,F,FEMALE
17CSI3,M,MALE
17CSI5,F,FEMALE
17CSI5,M,MALE
17CSI7,F,FEMALE
17CSI7,M,MALE
17MJPO,F,FEMALE
17MJPO,M,MALE
196065,F,FEMALE
196065,M,MALE
1960OL,F,FEMALE
1960OL,M,MALE
1960PO,F,FEMALE
1960PO,M,MALE
1970JB,F,FEMALE
1970JB,M,MALE
1991PL,F,FEMALE
1991PL,M,MALE
1CSIMN,F,FEMALE
1CSIMN,M,MALE
1L1095,F,FEMALE
1L1095,M,MALE
1L10OD,F,FEMALE
1L10OD,M,MALE
1L10PR,M,MALE
1L10SO,F,FEMALE
1L10SO,M,MALE
1L10SR,F,FEMALE
1L10SR,M,MALE
1L14SC,F,FEMALE
1L14SC,M,MALE
1L15GD,F,FEMALE
1L15GD,M,MALE
1L16GD,F,FEMALE
1L16GD,M,MALE
1SALMI,M,MALE
1SALML,M,MALE
1SALOL,F,FEMALE
1SALOL,M,MALE
221END,F,FEMALE
221END,M,MALE
222END,F,FEMALE
222END,M,MALE
261PUA,F,FEMALE
261PUA,M,MALE
265PUA,M,MALE
2665ST,F,FEMALE
2665ST,M,MALE
280END,F,FEMALE
280END,M,MALE
280PUA,F,FEMALE
280PUA,M,MALE
2961ME,F,FEMALE
2961ME,M,MALE
528CTR,M,MALE
542STR,M,MALE
543CTR,M,MALE
560STR,M,MALE
5646AT,F,FEMALE
5646AT,M,MALE
5667AT,M,MALE
578CTR,M,MALE
578STR,F,FEMALE
578STR,M,MALE
57ATCR,M,MALE
5CDT10,F,FEMALE
5CDT10,M,MALE
5L0110,F,FEMALE
5L0110,M,MALE
5L01MA,F,FEMALE
5L01MA,M,MALE
5L0510,F,FEMALE
5L0510,M,MALE
5L075Y,F,FEMALE
5L075Y,M,MALE
719CDT,M,MALE
719CTR,F,FEMALE
719CTR,M,MALE
719SDT,F,FEMALE
719SDT,M,MALE
7619DT,F,FEMALE
7619DT,M,MALE
7619PU,F,FEMALE
7619PU,M,MALE
7647FP,F,FEMALE
7647FP,M,MALE
7686S3,F,FEMALE
7686S3,M,MALE
7687J3,F,FEMALE
7687J3,J,JOINT
7687J3,M,MALE
7690DT,F,FEMALE
7690DT,M,MALE
778FTR,M,MALE
7SDT10,F,FEMALE
7SDT10,M,MALE
901ADB,M,MALE
9065WP,F,FEMALE
9065WP,M,MALE
9085WP,F,FEMALE
9085WP,M,MALE
90OLWP,F,FEMALE
90OLWP,M,MALE
90PDTH,M,MALE
910RWP,F,FEMALE
910RWP,M,MALE
910SWP,M,MALE
920ADB,M,MALE
934JWP,M,MALE
934SWP,F,FEMALE
934SWP,M,MALE
943CWP,M,MALE
9595WP,F,FEMALE
9595WP,M,MALE
960CWP,M,MALE
960GIO,M,MALE
960SWP,M,MALE
965ADB,M,MALE
9665WP,F,FEMALE
9665WP,M,MALE
967ADB,M,MALE
977ADB,M,MALE
980JPO,M,MALE
982JPO,M,MALE
9CDTWP,M,MALE
9CTRWP,M,MALE
9DIS20,M,MALE
9DIS24,M,MALE
9DIS25,M,MALE
9DIS29,M,MALE
9DIS70,M,MALE
9DIS80,M,MALE
9DIS90,M,MALE
9DS24B,M,MALE
9DS24C,M,MALE
9FTRWP,M,MALE
9GPO79,M,MALE
9JPO46,M,MALE
9L01WP,F,FEMALE
9L01WP,M,MALE
9L05WP,F,FEMALE
9L05WP,M,MALE
9L16PF,F,FEMALE
9L16PF,M,MALE
9OLDWP,F,FEMALE
9OLDWP,M,MALE
9POADB,M,MALE
9SLADB,M,MALE
9STRWP,M,MALE
9WP646,M,MALE
9WPL10,F,FEMALE
9WPL10,M,MALE
A60MIR,F,FEMALE
A60MIR,M,MALE
A96DAR,M,MALE
