PLAN,ISSCNTRY,CNTRYTXT,ISSUEST,STATETXT,MLOANINT,MLOANINTX
130JEB,0000,ALL (OTHER),00,ALL (OTHER),,
1658C1,0000,ALL (OTHER),00,ALL (OTHER),,
1658CS,0000,ALL (OTHER),00,ALL (OTHER),,
1659C2,0000,ALL (OTHER),00,ALL (OTHER),,
1659CR,0000,ALL (OTHER),00,ALL (OTHER),,
1659CS,0000,ALL (OTHER),00,ALL (OTHER),,
1659SR,0000,ALL (OTHER),00,ALL (OTHER),,
1666AI,0000,ALL (OTHER),00,ALL (OTHER),,
1666WL,0000,ALL (OTHER),00,ALL (OTHER),,
1668SP,0000,ALL (OTHER),00,ALL (OTHER),,
1669SR,0000,ALL (OTHER),00,ALL (OTHER),,
1679CS,0000,ALL (OTHER),00,ALL (OTHER),,
170588,0000,ALL (OTHER),00,ALL (OTHER),,
170858,0000,ALL (OTHER),00,ALL (OTHER),,
17085M,0000,ALL (OTHER),00,ALL (OTHER),,
17CSI3,0000,ALL (OTHER),00,ALL (OTHER),,
17CSI5,0000,ALL (OTHER),00,ALL (OTHER),,
17CSI7,0000,ALL (OTHER),00,ALL (OTHER),,
17MJPO,0000,ALL (OTHER),00,ALL (OTHER),,
196065,0000,ALL (OTHER),00,ALL (OTHER),,
1960OL,0000,ALL (OTHER),00,ALL (OTHER),,
1960PO,0000,ALL (OTHER),00,ALL (OTHER),,
1970JB,0000,ALL (OTHER),00,ALL (OTHER),,
1991PL,0000,ALL (OTHER),00,ALL (OTHER),,
1CSIMN,0000,ALL (OTHER),00,ALL (OTHER),,
1L1095,0000,ALL (OTHER),00,ALL (OTHER),,
1L10OD,0000,ALL (OTHER),00,ALL (OTHER),,
1L10PR,0000,ALL (OTHER),00,ALL (OTHER),,
1L10SO,0000,ALL (OTHER),00,ALL (OTHER),,
1L10SR,0000,ALL (OTHER),00,ALL (OTHER),,
1L14SC,0000,ALL (OTHER),00,ALL (OTHER),,
1L15GD,0000,ALL (OTHER),00,ALL (OTHER),,
1L16GD,0000,ALL (OTHER),00,ALL (OTHER),,
1SALMI,0000,ALL (OTHER),00,ALL (OTHER),,
1SALML,0000,ALL (OTHER),00,ALL (OTHER),,
1SALOL,0000,ALL (OTHER),00,ALL (OTHER),,
221END,0000,ALL (OTHER),00,ALL (OTHER),,
222END,0000,ALL (OTHER),00,ALL (OTHER),,
261PUA,0000,ALL (OTHER),00,ALL (OTHER),,
265PUA,0000,ALL (OTHER),00,ALL (OTHER),,
2665ST,0000,ALL (OTHER),00,ALL (OTHER),,
280END,0000,ALL (OTHER),00,ALL (OTHER),,
280PUA,0000,ALL (OTHER),00,ALL (OTHER),,
2961ME,0000,ALL (OTHER),00,ALL (OTHER),,
528CTR,0000,ALL (OTHER),00,ALL (OTHER),,
542STR,0000,ALL (OTHER),00,ALL (OTHER),,
543CTR,0000,ALL (OTHER),00,ALL (OTHER),,
560STR,0000,ALL (OTHER),00,ALL (OTHER),,
5646AT,0000,ALL (OTHER),00,ALL (OTHER),,
5667AT,0000,ALL (OTHER),00,ALL (OTHER),,
578CTR,0000,ALL (OTHER),00,ALL (OTHER),,
578STR,0000,ALL (OTHER),00,ALL (OTHER),,
57ATCR,0000,ALL (OTHER),00,ALL (OTHER),,
5CDT10,0000,ALL (OTHER),00,ALL (OTHER),,
5L0110,0000,ALL (OTHER),00,ALL (OTHER),,
5L01MA,0000,ALL (OTHER),00,ALL (OTHER),,
5L0510,0000,ALL (OTHER),00,ALL (OTHER),,
5L075Y,0000,ALL (OTHER),00,ALL (OTHER),,
719CDT,0000,ALL (OTHER),00,ALL (OTHER),,
719CTR,0000,ALL (OTHER),00,ALL (OTHER),,
719SDT,0000,ALL (OTHER),00,ALL (OTHER),,
7619DT,0000,ALL (OTHER),00,ALL (OTHER),,
7619PU,0000,ALL (OTHER),00,ALL (OTHER),,
7647FP,0000,ALL (OTHER),00,ALL (OTHER),,
7686S3,0000,ALL (OTHER),00,ALL (OTHER),,
7687J3,0000,ALL (OTHER),00,ALL (OTHER),,
7690DT,0000,ALL (OTHER),00,ALL (OTHER),,
778FTR,0000,ALL (OTHER),00,ALL (OTHER),,
7SDT10,0000,ALL (OTHER),00,ALL (OTHER),,
901ADB,0000,ALL (OTHER),00,ALL (OTHER),,
9065WP,0000,ALL (OTHER),00,ALL (OTHER),,
9085WP,0000,ALL (OTHER),00,ALL (OTHER),,
90OLWP,0000,ALL (OTHER),00,ALL (OTHER),,
90PDTH,0000,ALL (OTHER),00,ALL (OTHER),,
910RWP,0000,ALL (OTHER),00,ALL (OTHER),,
