coverage_id,type_code,pdage_rows,plan,resolvable
667 ART 95,RV,1864,UNRESOLVED,N
960 LP85-8,NP,1128,UNRESOLVED,N
960 LP85-8,RV,1128,UNRESOLVED,N
ADB 25 5,NP,1200,UNRESOLVED,N
ADB 25 5,RV,1200,UNRESOLVED,N
ADB 25 65,NP,1152,UNRESOLVED,N
ADB 25 65,RV,1152,UNRESOLVED,N
ADB 25 66,NP,864,UNRESOLVED,N
ADB 25 66,RV,864,UNRESOLVED,N
ADB 25 68,NP,2304,UNRESOLVED,N
ADB 25 68,RV,2304,UNRESOLVED,N
ADB 25 69,NP,2304,UNRESOLVED,N
ADB 25 69,RV,2304,UNRESOLVED,N
ADB 30 65,NP,3984,UNRESOLVED,N
ADB 30 65,RV,3961,UNRESOLVED,N
L01 10Y,NP,2544,UNRESOLVED,N
L01 10Y,RV,2544,UNRESOLVED,N
L05 10Y,NP,2544,UNRESOLVED,N
L05 10Y,RV,2544,UNRESOLVED,N
L07 5Y,NP,1908,UNRESOLVED,N
L07 5Y,RV,1908,UNRESOLVED,N
L10 LP9595,NP,6192,UNRESOLVED,N
L10 LP9595,RV,6192,UNRESOLVED,N
L10SR 95,NP,2064,UNRESOLVED,N
L10SR 95,RV,2064,UNRESOLVED,N
L17,NP,840,UNRESOLVED,N
L17,RV,840,UNRESOLVED,N
WP AA 20,NP,3936,UNRESOLVED,N
WP AA 20,RV,3936,UNRESOLVED,N
WP AD 02,NP,864,UNRESOLVED,N
WP AD 02,RV,864,UNRESOLVED,N
WP AD 24,NP,2448,UNRESOLVED,N
WP AD 24,RV,2448,UNRESOLVED,N
WPAD061 1,NP,984,UNRESOLVED,N
WPAD061 1,RV,984,UNRESOLVED,N
WPAD061 2,NP,1176,UNRESOLVED,N
WPAD061 2,RV,1164,UNRESOLVED,N
WPAD34 4,NP,3756,UNRESOLVED,N
WPAD34 4,RV,3690,UNRESOLVED,N
