COVERAGE_ID,TYPE_CODE,SEX,BAND,UWCLS,RECORD_SEQ,SEQ,VALUE_INFO,VALUE_FLOAT,AAGE_KEY0,COVERAGE_ID_NORM,SOURCE,SEGMENT_TYPE
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     1,        .1504100,                     0.0,0x3635382043454E2049205536463150303130303031,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     2,        .0672800,                     0.0,0x3635382043454E2049205536463150303130303032,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     3,        .0639600,                     0.0,0x3635382043454E2049205536463150303130303033,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     4,        .0623100,                     0.0,0x3635382043454E2049205536463150303130303034,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     5,        .0609900,                     0.0,0x3635382043454E2049205536463150303130303035,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     6,        .0596100,                     0.0,0x3635382043454E2049205536463150303130303036,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     7,        .0604800,                     0.0,0x3635382043454E2049205536463150303130303037,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     8,        .0629800,                     0.0,0x3635382043454E2049205536463150303130303038,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,     9,        .0594400,                     0.0,0x3635382043454E2049205536463150303130303039,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,    10,        .0547500,                     0.0,0x3635382043454E2049205536463150303130303130,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,    11,        .0550000,                     0.0,0x3635382043454E2049205536463150303130303131,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,    12,        .0558300,                     0.0,0x3635382043454E2049205536463150303130303132,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
658 CEN I  ,U6       ,F  ,1   ,P    ,         1,    13,        .0566700,                     0.0,0x3635382043454E2049205536463150303130303133,658 CEN I,PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,U6_Current_COI
