PLAN,AGE,CNTL,QX0,QX1,QX2,QX3,QX4,QX5,QX6,QX7,QX8,QX9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,SOURCE,SEGMENT_TYPE
1658CS,01,00,.15,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,02,00,.07,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,03,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,04,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,05,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,06,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,07,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,08,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,09,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,10,00,.05,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,11,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,12,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,13,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,14,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,15,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
1658CS,16,00,.06,,,,,,,,,,F,PR,01,0000,00,19000101,QLA_Migration/Output/rates/QuikCoi.csv,U6_Current_COI_Emitted
