MPOLICY,PN,POLICY_BILL_DAY,PAID_TO_DATE,BILLED_TO_DATE,MBILLDAY_before,MBILLDAY_after,MSTATUS,MISSDT,MPAIDTO
010143726C,9010143726,              0,    20270501,      20270501,0,1,22,19610501,20270501
010148272C,9010148272,              0,    20270401,      20270401,0,1,22,19610801,20270401
010148856C,9010148856,              0,    20260801,      20260801,0,1,22,19610801,20260801
010149295C,9010149295,              0,    19921201,      19921201,0,1,44,19610901,19921201
010165095C,9010165095,              0,    19881201,      20260801,0,1,45,19620701,19881201
010171334C,9010171334,              0,    19821019,      20261019,0,19,41,19621019,19821019
010331768C,9010331768,              0,    20260724,      20260724,0,24,22,19690724,20260724
010346921C,9010346921,              0,    20261118,      20261118,0,18,22,19691118,20261118
010367131C,9010367131,              0,    20260801,      20260801,0,1,22,19700801,20260801
010367132C,9010367132,              0,    20260801,      20260801,0,1,22,19700801,20260801
010367133C,9010367133,              0,    20260801,      20260801,0,1,22,19700801,20260801
010374099C,9010374099,              0,    20090921,      20091221,0,21,44,19700921,20090921
010380049C,9010380049,              0,    20261113,      20261113,0,13,22,19701113,20261113
010380627C,9010380627,              0,    20260825,      20260825,0,25,22,19701125,20260825
010381516C,9010381516,              0,    19810401,      20260801,0,1,45,19710101,19810401
010382448C,9010382448,              0,    20010801,      20010801,0,1,44,19710201,20010801
010388767C,9010388767,              0,    20261001,      20261001,0,1,22,19710401,20261001
010390251C,9010390251,              0,    19930414,      19930414,0,14,44,19710414,19930414
010391355C,9010391355,              0,    20091201,      20100601,0,1,44,19710601,20091201
010391876C,9010391876,              0,    20090901,      20091201,0,1,44,19710601,20090901
010391878C,9010391878,              0,    20100701,      20100701,0,1,44,19710601,20100701
010392930C,9010392930,              0,    20040701,      20050701,0,1,44,19710601,20040701
010393142C,9010393142,              0,    20270701,      20270701,0,1,22,19710701,20270701
010393143C,9010393143,              0,    20270701,      20270701,0,1,22,19710701,20270701
010393899C,9010393899,              0,    20260601,      20260801,0,1,22,19710701,20260601
010394353C,9010394353,              0,    20270101,      20270101,0,1,22,19710701,20270101
010395098C,9010395098,              0,    20080801,      20090201,0,1,44,19710801,20080801
010396186C,9010396186,              0,    20260901,      20260901,0,1,22,19710901,20260901
010397528C,9010397528,              0,    20260901,      20260901,0,1,22,19710901,20260901
010398471C,9010398471,              0,    20261001,      20261001,0,1,22,19711001,20261001
010398475C,9010398475,              0,    20261001,      20261001,0,1,22,19711001,20261001
010401087C,9010401087,              0,    20261101,      20261101,0,1,22,19711101,20261101
010401565C,9010401565,              0,    20111101,      20121101,0,1,44,19711101,20111101
010402899C,9010402899,              0,    20100301,      20100601,0,1,44,19711201,20100301
010403109C,9010403109,              0,    20260901,      20260901,0,1,22,19711201,20260901
010403872C,9010403872,              0,    20130601,      20131201,0,1,44,19711201,20130601
010403916C,9010403916,              0,    19821101,      20260801,0,1,45,19711201,19821101
010404602C,9010404602,              0,    20140901,      20141201,0,1,44,19711201,20140901
010407237C,9010407237,              0,    19950201,      20260801,0,1,45,19720201,19950201
010407534C,9010407534,              0,    20270201,      20270201,0,1,22,19720201,20270201
010412641C,9010412641,              0,    20270401,      20270401,0,1,22,19720401,20270401
010417838C,9010417838,              0,    20260801,      20260801,0,1,22,19720501,20260801
010422221C,9010422221,              0,    20270501,      20270501,0,1,22,19720601,20270501
010423540C,9010423540,              0,    20270701,      20270701,0,1,22,19720701,20270701
010424185C,9010424185,              0,    20090501,      20090801,0,1,44,19720701,20090501
010425941C,9010425941,              0,    20260613,      20261213,0,13,22,19720613,20260613
010427442C,9010427442,              0,    19830101,      20260801,0,1,45,19720801,19830101
