bucket,type_code,coverage_id,rt_rows,paa_rows,rt_age_min,rt_age_max,rt_dur_min,rt_dur_max,paa_seq_count,note
RT_ONLY_EXACT_COV,CV,10827 CSI3,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,10827 CSI5,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,10827 CSI7,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,10827 MN5K,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,1578 SPSPU,1006,0,18,59,1,39,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,621 END85,2165,0,15,60,1,69,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,622 END85,3656,0,0,85,1,85,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,630 JEB,885,0,0,14,1,66,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,658 CEN I,18124,0,0,75,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,658 CEN SD,9113,0,0,75,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,659 CEN II,9678,0,0,85,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,659 CEN SD,9288,0,0,75,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,659 CEN SR,9678,0,0,85,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,659 SR GD,9700,0,0,85,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,665 STME95,3479,0,0,50,1,88,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,666 WL,4895,0,0,85,1,97,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,669 SR GD,2340,0,50,85,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,670 GL85-8,9121,0,0,70,1,97,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,670 GL8588,7346,0,0,70,1,85,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,679 CEN SD,4350,0,0,65,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,826,930,0,16,49,1,40,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
