coverage_id,type_code,paagerat_exact_cov_type,source_tag,note
10827 CSI3,CV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI3,DB,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI3,NP,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI3,RV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI5,CV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI5,DB,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI5,NP,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI5,RV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI7,CV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI7,DB,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI7,NP,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 CSI7,RV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 MN5K,CV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 MN5K,DB,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 MN5K,NP,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
10827 MN5K,RV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
1578 FTR,NP,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
1578 FTR,RV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
1578 SPSPU,CV,N,RATE_TABLE_SECONDARY_CANDIDATE,Rate_Table has rows; exact COVERAGE_ID+TYPE absent from PAAGERAT
