MPOLICY,PHASE1_MPHSTAT,FIRST_ACTIVE_LATER,CURRENT_MSTATUS,WOULD_CHANGE,PHASES
018252C,54,22,54,Y,1:54;2:22
018253AC,54,22,54,Y,1:54;2:22;3:22
018253BC,54,22,54,Y,1:54;2:22;3:22
018253C,54,22,54,Y,1:54;2:22;3:22;4:22
018499CC,54,22,54,Y,1:54;2:22
018645BC,54,22,54,Y,1:54;2:22;3:22
018737AC,54,22,54,Y,1:54;2:22
018737BC,54,22,54,Y,1:54;2:22
01FG8033CC,54,22,54,Y,1:54;2:22
01FG8217AC,54,22,54,Y,1:54;2:22
01FG8217BC,54,22,54,Y,1:54;2:22
01FG8217CC,54,22,54,Y,1:54;2:22
01FG8217DC,54,22,54,Y,1:54;2:22
01FG8563C,54,22,54,Y,1:54;2:56;3:22;4:22;5:22
01FG8801C,54,22,54,Y,1:54;2:22;3:22;4:56
01ML4012AC,54,22,54,Y,1:54;2:22
01ML4054C,54,22,54,Y,1:54;2:22
01ML4107C,54,22,54,Y,1:54;2:22
01ML8007C,54,22,54,Y,1:54;2:22
01ML8143C,54,22,54,Y,1:54;2:22
01ML8225C,54,22,54,Y,1:54;2:22
01ML8246C,54,22,54,Y,1:54;2:22;3:22
01ML8267C,54,22,54,Y,1:54;2:22
01ML8303C,54,22,54,Y,1:54;2:22
01ML8307C,54,22,54,Y,1:54;2:22
01ML8464C,54,22,54,Y,1:54;2:22
01ML8493C,54,22,54,Y,1:54;2:22
01ML8501C,54,22,54,Y,1:54;2:22
01ML8515C,54,22,54,Y,1:54;2:22
01ML8535C,54,22,54,Y,1:54;2:22
01ML8556C,54,22,54,Y,1:54;2:22
01ML8565C,54,22,54,Y,1:54;2:22
01ML8584C,54,22,54,Y,1:54;2:22
01ML8678C,54,22,54,Y,1:54;2:22
01ML8772C,54,22,54,Y,1:54;2:22
