QLA,CLASS,BEFORE_LEN,AFTER_LEN,DELTA_LEN,GAINED_BAUERLY_PATTERN,BEFORE_HAS_PNOTE,AFTER_HAS_PNOTE
010901832C,MEMOTEXT_CHANGED,2475,11192,8717,False,True,True
011089397C,MEMOTEXT_CHANGED,7802,14873,7071,False,True,True
010858435C,MEMOTEXT_CHANGED,15450,21228,5778,False,True,True
011189170C,MEMOTEXT_CHANGED,881,6372,5491,False,True,True
010985184C,MEMOTEXT_CHANGED,920,6090,5170,False,True,True
010858434C,MEMOTEXT_CHANGED,12828,17536,4708,False,True,True
010762558C,MEMOTEXT_CHANGED,1492,5119,3627,False,True,True
010803993C,MEMOTEXT_CHANGED,1656,5068,3412,False,True,True
011094544C,MEMOTEXT_CHANGED,865,3945,3080,False,True,True
010394662C,MEMOTEXT_CHANGED,1469,4233,2764,False,True,True
011248017C,MEMOTEXT_CHANGED,1014,3395,2381,False,True,True
011207733C,MEMOTEXT_CHANGED,1335,3570,2235,False,True,True
010398591C,MEMOTEXT_CHANGED,1076,3250,2174,False,True,True
011064372C,MEMOTEXT_CHANGED,1196,3352,2156,False,True,True
010402014C,MEMOTEXT_CHANGED,1054,3166,2112,False,True,True
010901657C,MEMOTEXT_CHANGED,6592,8681,2089,False,True,True
011159295C,MEMOTEXT_CHANGED,401,2414,2013,False,True,True
011152698C,MEMOTEXT_CHANGED,7232,9232,2000,False,True,True
010835891C,MEMOTEXT_CHANGED,735,2588,1853,False,True,True
010735781C,MEMOTEXT_CHANGED,1405,3181,1776,False,True,True
011200012C,MEMOTEXT_CHANGED,683,2392,1709,False,True,True
011195144C,MEMOTEXT_CHANGED,2260,3931,1671,False,True,True
011184467C,MEMOTEXT_CHANGED,4808,6417,1609,False,True,True
011075203C,MEMOTEXT_CHANGED,566,2174,1608,False,True,True
010875065C,MEMOTEXT_CHANGED,794,2365,1571,False,True,True
011210720C,MEMOTEXT_CHANGED,117,1649,1532,False,False,True
011083028C,MEMOTEXT_CHANGED,3743,5257,1514,False,True,True
011261439C,MEMOTEXT_CHANGED,1360,2871,1511,False,True,True
010735611C,MEMOTEXT_CHANGED,1250,2651,1401,False,True,True
010927989C,MEMOTEXT_CHANGED,1473,2870,1397,False,True,True
010750812C,MEMOTEXT_CHANGED,7081,8472,1391,False,True,True
011203311C,MEMOTEXT_CHANGED,153,1524,1371,False,True,True
010850533C,MEMOTEXT_CHANGED,314,1674,1360,False,False,True
011046268C,MEMOTEXT_CHANGED,2594,3925,1331,False,True,True
010458663C,MEMOTEXT_CHANGED,1227,2546,1319,False,True,True
011210089C,MEMOTEXT_CHANGED,300,1603,1303,False,False,True
010988454C,MEMOTEXT_CHANGED,2412,3667,1255,False,True,True
010928495C,MEMOTEXT_CHANGED,9691,10936,1245,False,True,True
011271084C,MEMOTEXT_CHANGED,1342,2586,1244,False,True,True
011199782C,MEMOTEXT_CHANGED,2857,4099,1242,False,False,True
010778519C,MEMOTEXT_CHANGED,458,1700,1242,False,False,True
010783269C,MEMOTEXT_CHANGED,3003,4243,1240,False,True,True
011207112C,MEMOTEXT_CHANGED,6796,7986,1190,False,True,True
011103728C,MEMOTEXT_CHANGED,207,1397,1190,False,True,True
010432120C,MEMOTEXT_CHANGED,119,1300,1181,False,False,True
01142D978C,MEMOTEXT_CHANGED,122,1290,1168,False,True,True
010463537C,MEMOTEXT_CHANGED,922,2088,1166,False,False,True
011174928C,MEMOTEXT_CHANGED,474,1617,1143,False,True,True
011113236C,MEMOTEXT_CHANGED,1705,2840,1135,False,True,True
011181920C,MEMOTEXT_CHANGED,7534,8658,1124,False,True,True
011190459C,MEMOTEXT_CHANGED,4371,5479,1108,False,True,True
010779552C,MEMOTEXT_CHANGED,2482,3574,1092,False,True,True
011225329C,MEMOTEXT_CHANGED,609,1681,1072,False,True,True
011181014C,MEMOTEXT_CHANGED,3735,4799,1064,False,True,True
010764812C,MEMOTEXT_CHANGED,1471,2523,1052,False,True,True
011205079C,MEMOTEXT_CHANGED,797,1836,1039,False,False,True
010928016C,MEMOTEXT_CHANGED,255,1250,995,False,False,True
010905677C,MEMOTEXT_CHANGED,428,1419,991,False,True,True
010870474C,MEMOTEXT_CHANGED,3166,4156,990,False,True,True
010774773C,MEMOTEXT_CHANGED,530,1510,980,False,False,True
010823866C,MEMOTEXT_CHANGED,765,1726,961,False,True,True
010983356C,MEMOTEXT_CHANGED,2773,3716,943,False,True,True
010797197C,MEMOTEXT_CHANGED,3345,4285,940,False,True,True
010958446C,MEMOTEXT_CHANGED,774,1709,935,False,True,True
010803660C,MEMOTEXT_CHANGED,514,1443,929,False,False,True
010797196C,MEMOTEXT_CHANGED,2172,3063,891,False,True,True
015000239C,MEMOTEXT_CHANGED,463,1341,878,False,True,True
010869804C,NEW_MEMOKEY,0,870,870,,,
010422417C,MEMOTEXT_CHANGED,1068,1931,863,False,False,True
011176240C,MEMOTEXT_CHANGED,923,1782,859,False,True,True
010939731C,MEMOTEXT_CHANGED,1907,2762,855,False,True,True
010776811C,MEMOTEXT_CHANGED,1635,2488,853,False,True,True
010860472C,MEMOTEXT_CHANGED,4614,5463,849,False,True,True
011057611C,MEMOTEXT_CHANGED,1102,1949,847,False,True,True
010815236C,MEMOTEXT_CHANGED,3695,4539,844,False,True,True
010491000C,MEMOTEXT_CHANGED,6129,6969,840,False,True,True
011194146C,MEMOTEXT_CHANGED,315,1151,836,False,True,True
011192106C,MEMOTEXT_CHANGED,714,1546,832,False,True,True
011207115C,MEMOTEXT_CHANGED,6535,7363,828,False,True,True
010780510C,MEMOTEXT_CHANGED,1245,2070,825,False,True,True
015000485C,MEMOTEXT_CHANGED,1132,1956,824,False,True,True
010788421C,MEMOTEXT_CHANGED,662,1478,816,False,True,True
010763006C,MEMOTEXT_CHANGED,1367,2171,804,False,True,True
011207114C,MEMOTEXT_CHANGED,6195,6980,785,False,False,True
