MPOLICY,LP,first_benh,seed_date,seed_balance,rule
010331768C,9010331768,20180724,20170725,4104.91,SEED_PRIOR
010346921C,9010346921,20181118,20171219,1347.05,SEED_PRIOR
010363098C,9010363098,20180201,20171228,866.85,SEED_PRIOR
010367438C,9010367438,20180628,20170701,1469.16,SEED_PRIOR
010376522C,9010376522,20181006,20171006,6374.62,SEED_PRIOR
010376529C,9010376529,20180914,20171015,1543.04,SEED_PRIOR
010380049C,9010380049,20181113,20171113,3608.05,SEED_PRIOR
010380627C,9010380627,20181125,20171125,43.64,SEED_PRIOR
010381745C,9010381745,20180101,20170101,6479.78,SEED_PRIOR
010382426C,9010382426,20180112,20170411,2753.23,SEED_PRIOR
010382931C,9010382931,20180115,20170118,355.72,SEED_PRIOR
010385636C,9010385636,20180209,20170209,13696.55,SEED_PRIOR
010391004C,9010391004,20180501,20170515,4604.26,SEED_PRIOR
010391228C,9010391228,20180421,20171021,1136.47,SEED_PRIOR
010391359C,9010391359,20180426,20170426,1548.54,SEED_PRIOR
010391422C,9010391422,20180601,20170601,1427.08,SEED_PRIOR
010392138C,9010392138,20180601,20170601,12027.63,SEED_PRIOR
010393181C,9010393181,20180701,20170701,1629.05,SEED_PRIOR
010395382C,9010395382,20180801,20170801,12086.97,SEED_PRIOR
010395761C,9010395761,20180801,20170816,4019.56,SEED_PRIOR
010396186C,9010396186,20180901,20170901,5541.98,SEED_PRIOR
010396425C,9010396425,20180901,20170918,1809.26,SEED_PRIOR
010397118C,9010397118,20180108,20171208,15088.66,SEED_PRIOR
010397583C,9010397583,20180901,20170901,6816.15,SEED_PRIOR
010400462C,9010400462,20181101,20171101,7413.97,SEED_PRIOR
010402014C,9010402014,20181101,20171101,6780.79,SEED_PRIOR
010402105C,9010402105,20181201,20171201,9275.75,SEED_PRIOR
010403109C,9010403109,20180501,20171206,3438.72,SEED_PRIOR
010403789C,9010403789,20181201,20171218,1288.42,SEED_PRIOR
010404600C,9010404600,20181201,20171201,11906.06,SEED_PRIOR
010404857C,9010404857,20180118,20171201,2274.94,SEED_PRIOR
010405440C,9010405440,20180122,20171228,1248.15,SEED_PRIOR
