POLICY_NUMBER,EFFECTIVE_DATE,CREDIT_CODE,DEBIT_CODE,TRANS_AMOUNT,REVERSAL_CODE
9010331768,20180724,0451,0412,216.05,
9010331768,20180824,0412,0451,198.13,
9010331768,20180824,0413,0012,205.25,
9010331768,20180824,0451,0412,188.26,
9010331768,20190724,0451,0412,216.10,
9010331768,20190731,0412,0451,212.07,
9010331768,20190731,0413,0012,205.25,
9010331768,20190731,0451,0412,201.48,
9010331768,20200724,0451,0412,216.11,
9010331768,20200727,0412,0451,214.38,
9010331768,20200727,0413,0012,205.31,
9010331768,20200727,0451,0412,203.66,
9010331768,20210724,0451,0412,216.11,
9010331768,20210817,0412,0451,202.24,
9010331768,20210817,0413,0012,205.31,
9010331768,20210817,0451,0412,192.16,
9010331768,20220724,0451,0412,216.15,
9010331768,20220726,0412,0451,215.00,
9010331768,20220726,0413,0012,205.35,
9010331768,20220726,0451,0412,204.25,
9010331768,20230721,0412,0451,1.73,
9010331768,20230721,0413,0012,325.60,
9010331768,20230721,0451,0412,1.59,
9010331768,20230724,0451,0412,199.01,
9010331768,20240724,0451,0412,209.49,
9010331768,20240731,0412,0451,205.57,
9010331768,20240731,0413,0012,325.60,
9010331768,20240731,0451,0412,188.77,
9010331768,20250724,0451,0412,202.49,
9010331768,20250725,0412,0451,201.95,
9010331768,20250725,0413,0012,325.60,
9010331768,20250725,0451,0412,184.86,
9010346921,20181118,0451,0412,70.90,
9010346921,20191118,0451,0412,74.63,
9010346921,20191202,0412,0451,71.85,
9010346921,20191202,0413,0012,70.90,
9010346921,20191202,0451,0412,68.26,
9010346921,20201118,0451,0412,74.64,
9010346921,20201123,0412,0451,73.64,
9010346921,20201123,0413,0012,70.90,
9010346921,20201123,0451,0412,69.96,
9010346921,20211118,0451,0412,74.64,
9010346921,20221118,0451,0412,78.57,
9010346921,20221205,0412,0451,75.00,
9010346921,20221205,0413,0012,74.64,
9010346921,20221205,0451,0412,71.26,
9010346921,20230221,0412,0451,55.59,
9010346921,20230221,0413,0012,36.16,
9010346921,20230221,0451,0412,54.19,
9010346921,20231118,0451,0412,76.60,
9010346921,20240111,0412,0451,65.54,
9010346921,20240111,0413,0012,72.77,
9010346921,20240111,0451,0412,62.29,
9010346921,20241118,0451,0412,76.63,
9010346921,20241218,0412,0451,70.48,
9010346921,20241218,0413,0012,76.63,
9010346921,20241218,0451,0412,66.79,
9010346921,20251118,0451,0412,76.44,
9010346921,20251230,0412,0451,67.84,
9010346921,20251230,0413,0012,72.62,
9010346921,20251230,0451,0412,64.47,
9010367438,20180628,0412,0451,.62,
9010367438,20180628,0413,0012,73.46,
9010367438,20180628,0451,0412,.59,
9010367438,20180701,0451,0412,73.46,
9010367438,20190701,0451,0412,77.32,
9010367438,20200701,0451,0412,81.39,
9010367438,20210701,0451,0412,85.68,
9010367438,20210719,0412,0451,81.56,Y
9010367438,20210719,0413,0012,81.39,Y
9010367438,20210719,0451,0412,77.49,Y
9010367438,20210720,0412,0451,81.33,
9010367438,20210720,0413,0012,81.39,
9010367438,20210720,0451,0412,77.27,
9010367438,20211110,0412,0451,52.45,
9010367438,20211110,0413,0038,1575.62,
