MPOLICY,MBENTYP,MDATE,MBEN
    14560K,10,1991-10-31,0.71
    14560K,10,1991-11-29,0.71
    14560K,10,1991-12-31,0.71
    14560K,11,1991-12-31,0.65
    14560K,12,1991-12-31,2.69
    14560K,10,1992-02-03,0.71
    14560K,11,1992-02-22,0.34
    14560K,12,1992-02-22,2.77
    14560K,11,1992-02-24,0.0
    14560K,10,1992-02-28,0.71
    14560K,10,1992-03-31,0.71
    14560K,10,1992-04-29,0.71
    14560K,10,1992-05-29,0.71
    14560K,10,1992-06-30,0.71
    14560K,10,1992-07-31,0.71
    14560K,10,1992-08-31,0.71
    14560K,10,1992-09-30,0.71
    14560K,10,1992-10-30,0.71
    14560K,10,1992-11-30,0.71
    14560K,10,1992-12-31,0.71
    14560K,10,1993-01-29,0.71
    14560K,11,1993-02-22,0.0
    14560K,11,1993-02-22,2.59
    14560K,20,1993-02-22,2.95
    14560K,10,1993-02-26,0.71
    14560K,10,1993-03-31,0.71
    14560K,10,1993-04-30,0.71
    14560K,10,1993-05-27,0.71
    14560K,10,1993-06-29,0.71
    14560K,10,1993-07-30,0.71
    14560K,10,1993-08-31,0.71
    14560K,10,1993-09-30,0.71
    14560K,10,1993-10-29,0.71
    14560K,10,1993-11-29,0.71
    14560K,10,1993-12-31,0.71
    14560K,10,1994-01-31,0.71
    14560K,11,1994-02-22,0.0
    14560K,11,1994-02-22,3.06
    14560K,20,1994-02-22,3.14
    14560K,10,1994-02-28,0.71
    14560K,10,1994-03-31,0.71
    14560K,10,1994-04-29,0.71
    14560K,10,1994-05-31,0.71
    14560K,10,1994-05-31,0.71
    14560K,10,1994-06-30,0.71
    14560K,10,1994-06-30,0.71
    14560K,10,1994-07-29,0.71
    14560K,10,1994-08-31,0.71
    14560K,10,1994-09-30,0.71
    14560K,10,1994-10-31,0.71
    14560K,10,1994-10-31,0.71
    14560K,10,1994-11-30,0.71
    14560K,10,1994-12-31,0.71
    14560K,10,1995-01-31,0.71
    14560K,11,1995-02-22,0.23
    14560K,11,1995-02-22,3.33
    14560K,20,1995-02-22,3.33
    14560K,10,1995-02-28,0.71
    14560K,10,1995-03-31,0.71
    14560K,10,1995-04-28,0.71
    14560K,10,1995-05-31,0.71
    14560K,10,1995-06-30,0.71
    14560K,10,1995-07-31,0.71
    14560K,10,1995-08-31,0.71
    14560K,10,1995-09-29,0.71
    14560K,10,1995-10-31,0.71
    14560K,10,1995-11-30,0.71
    14560K,10,1995-12-31,0.71
    14560K,10,1996-01-31,0.71
    14560K,11,1996-02-22,1.15
    14560K,11,1996-02-22,2.93
    14560K,20,1996-02-22,2.93
    14560K,10,1996-02-29,0.71
    14560K,10,1996-03-29,0.71
    14560K,10,1996-04-30,0.71
    14560K,10,1996-05-31,0.71
    14560K,10,1996-06-28,0.71
    14560K,10,1996-07-31,0.71
    14560K,10,1996-08-30,0.71
    14560K,10,1996-09-30,0.71
    14560K,10,1996-10-31,0.71
    14560K,10,1996-11-29,0.71
    14560K,10,1996-12-31,0.71
    14560K,10,1997-01-31,0.71
    14560K,11,1997-02-22,3.09
    14560K,20,1997-02-22,3.09
    14560K,11,1997-02-24,1.58
    14560K,10,1997-02-28,0.71
    14560K,10,1997-03-31,0.71
    14560K,10,1997-04-30,0.71
    14560K,10,1997-05-30,0.71
    14560K,10,1997-06-30,0.71
    14560K,10,1997-07-31,0.71
    14560K,10,1997-08-29,0.71
    14560K,10,1997-09-30,0.71
    14560K,10,1997-10-31,0.71
    14560K,10,1997-11-28,0.71
    14560K,10,1997-12-31,0.71
    14560K,10,1998-01-30,0.71
    14560K,11,1998-02-22,2.61
    14560K,20,1998-02-22,2.61
    14560K,11,1998-02-23,2.64
    14560K,10,1998-02-27,0.71
    14560K,10,1998-03-31,0.71
    14560K,10,1998-04-30,0.71
    14560K,10,1998-05-29,0.71
    14560K,10,1998-06-30,0.71
    14560K,10,1998-07-30,0.71
    14560K,10,1998-08-31,0.71
    14560K,10,1998-09-30,0.71
    14560K,10,1998-10-30,0.71
    14560K,10,1998-11-30,0.71
    14560K,10,1998-12-31,0.71
    14560K,10,1999-01-31,0.71
    14560K,11,1999-02-22,2.74
    14560K,11,1999-02-22,3.22
    14560K,20,1999-02-22,2.74
    14560K,10,1999-02-26,0.71
    14560K,11,1999-03-24,0.51
    14560K,12,1999-03-24,107.39
    14560K,11,2000-02-22,0.0
    14560K,16,2000-02-22,0.07
    14560K,2,2000-02-22,2.09
    14560K,11,2001-02-22,0.0
    14560K,16,2001-02-22,0.65
    14560K,2,2001-02-22,1.62
    14560K,11,2002-02-22,0.0
    14560K,18,2002-02-22,0.02
    14560K,19,2002-02-22,0.04
    14560K,2,2002-02-22,2.37
    14560K,16,2003-02-22,1.67
    14560K,19,2003-02-22,0.04
    14560K,2,2003-02-22,0.81
    14560K,11,2003-02-23,0.0
    14560K,18,2004-02-22,2.16
    14560K,19,2004-02-22,0.15
    14560K,2,2004-02-22,2.58
    14560K,11,2004-02-23,0.0
    14560K,11,2005-02-22,0.0
    14560K,2,2005-02-22,2.4
    14560K,3,2005-02-22,0.3
    14560K,6,2005-02-22,0.03
    14560K,11,2006-02-22,0.0
    14560K,2,2006-02-22,2.4
    14560K,3,2006-02-22,0.41
    14560K,6,2006-02-22,0.05
    14560K,11,2007-02-22,0.0
    14560K,2,2007-02-22,1.46
    14560K,6,2007-02-22,0.07
    14560K,7,2007-02-22,0.94
    14560K,11,2008-02-22,0.0
    14560K,2,2008-02-22,1.52
    14560K,6,2008-02-22,0.02
    14560K,7,2008-02-22,0.12
    14560K,11,2009-02-23,0.0
    14560K,2,2009-02-23,1.57
    14560K,6,2009-02-23,0.01
    14560K,7,2009-02-23,0.07
    14560K,11,2010-02-22,0.0
    14560K,2,2010-02-22,1.63
    14560K,6,2010-02-22,0.01
    14560K,7,2010-02-22,0.01
    14560K,11,2011-02-22,0.0
    14560K,2,2011-02-22,1.52
    14560K,6,2011-02-22,0.01
    14560K,7,2011-02-22,0.12
    14560K,11,2012-02-22,0.0
    14560K,2,2012-02-22,0.82
    14560K,3,2012-02-22,0.44
    14560K,11,2013-02-22,0.0
    14560K,2,2013-02-22,0.61
    14560K,6,2013-02-22,0.02
    14560K,7,2013-02-22,0.21
    14560K,11,2014-02-24,0.0
    14560K,2,2014-02-24,0.63
    14560K,6,2014-02-24,0.01
    14560K,7,2014-02-24,0.19
    14560K,11,2015-02-23,0.0
    14560K,2,2015-02-23,0.65
    14560K,6,2015-02-23,0.01
    14560K,7,2015-02-23,0.17
    14560K,11,2016-02-22,0.0
    14560K,2,2016-02-22,0.41
    14560K,3,2016-02-22,0.26
    14560K,11,2017-02-22,0.0
    14560K,2,2017-02-22,0.34
    14560K,6,2017-02-22,0.01
    14560K,7,2017-02-22,0.07
    14560K,11,2018-02-22,0.0
    14560K,2,2018-02-22,0.35
    14560K,6,2018-02-22,0.01
