MPOLICY,DIVISION,DATEPAID,RENEWAL,PREMIUM,MLIFE,MTERM,MSUPP,MANN,MHEALTH,XS,MPAIDTO,MSTDUES,MLCDUES,MPOSTDATE,MSOURCE,MBATCH,USER_ID,MBILLFRM,MMODEPD
    14560K,A,1988-01-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-02-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-03-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-04-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-05-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-06-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-07-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-08-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-09-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-10-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-11-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1988-12-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-01-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-02-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-03-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-04-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-05-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-06-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-07-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-08-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-09-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-10-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-11-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1989-12-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-01-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-02-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-03-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-04-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-05-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-06-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-07-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-08-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-09-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-10-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-11-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1990-12-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,,,,,
    14560K,A,1991-01-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,1991-02-22,,,,,
    14560K,A,1991-02-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,1991-02-28,,,,,
    14560K,A,1991-03-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,1991-03-28,,,,,
    14560K,A,1991-04-22,1,0.61,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,1991-04-27,,,,,
    14560K,A,1991-05-22,1,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-05-31,,,,,
    14560K,A,1991-06-22,1,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-06-28,,,,,
    14560K,A,1991-07-22,1,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-08-01,,,,,
    14560K,A,1991-08-22,1,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-08-30,,,,,
    14560K,A,1991-09-22,1,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-09-30,,,,,
    14560K,A,1991-10-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-10-31,,,,,
    14560K,A,1991-11-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-11-29,,,,,
    14560K,A,1991-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1991-12-31,,,,,
