LIFEPRO,MPOLICY,TYPE_CODE,SOURCE_FIELD,LP_NFO_CODE,MNFOPT,MDIVOPT,MSTATUS
9010143726,010143726C,BA,NON_FORFEITURE,4,0,1,22
9010148272,010148272C,BA,NON_FORFEITURE,4,0,3,22
9010148856,010148856C,BA,NON_FORFEITURE,4,0,3,22
9010149295,010149295C,BA,NON_FORFEITURE,4,2,0,44
9010149834,010149834C,BA,NON_FORFEITURE,4,0,3,55
9010150031,010150031C,BA,NON_FORFEITURE,4,2,0,57
9010150740,010150740C,BA,NON_FORFEITURE,4,0,3,53
9010150910,010150910C,BA,NON_FORFEITURE,4,0,4,53
9010154425,010154425C,BA,NON_FORFEITURE,4,0,3,57
9010157076,010157076C,BA,NON_FORFEITURE,4,0,3,22
9010158001,010158001C,BA,NON_FORFEITURE,4,0,3,22
9010161748,010161748C,BA,NON_FORFEITURE,4,0,3,22
9010165095,010165095C,BA,NON_FORFEITURE,4,3,0,45
9010171334,010171334C,BA,NON_FORFEITURE,4,0,0,41
9010185592,010185592C,BA,NON_FORFEITURE,4,0,0,55
9010331768,010331768C,BA,NON_FORFEITURE,4,0,4,22
9010335095,010335095C,BA,NON_FORFEITURE,4,0,4,57
9010360289,010360289C,BA,NON_FORFEITURE,4,0,4,55
9010360290,010360290C,BA,NON_FORFEITURE,4,0,4,55
9010367131,010367131C,BA,NON_FORFEITURE,4,0,4,22
9010367132,010367132C,BA,NON_FORFEITURE,4,0,4,22
9010367133,010367133C,BA,NON_FORFEITURE,4,0,4,22
9010367438,010367438C,BA,NON_FORFEITURE,4,0,4,53
9010367704,010367704C,BA,NON_FORFEITURE,4,0,4,22
9010367705,010367705C,BA,NON_FORFEITURE,4,0,4,55
9010368703,010368703C,BA,NON_FORFEITURE,4,0,4,53
9010371171,010371171C,BA,NON_FORFEITURE,4,0,4,53
9010371356,010371356C,BA,NON_FORFEITURE,4,0,4,22
9010373918,010373918C,BA,NON_FORFEITURE,5,3,4,55
9010374779,010374779C,BA,NON_FORFEITURE,4,0,4,53
9010374837,010374837C,BA,NON_FORFEITURE,4,0,4,22
9010374838,010374838C,BA,NON_FORFEITURE,4,0,4,22
9010376529,010376529C,BA,NON_FORFEITURE,4,0,4,55
9010376540,010376540C,BA,NON_FORFEITURE,4,0,4,53
9010377918,010377918C,BA,NON_FORFEITURE,4,3,4,55
9010381516,010381516C,BA,NON_FORFEITURE,4,3,0,45
9010381745,010381745C,BA,NON_FORFEITURE,4,0,4,55
9010382426,010382426C,BA,NON_FORFEITURE,4,0,3,22
9010382448,010382448C,BA,NON_FORFEITURE,4,2,0,44
9010382931,010382931C,BA,NON_FORFEITURE,4,0,4,53
9010385491,010385491C,BA,NON_FORFEITURE,4,0,4,53
9010388767,010388767C,BA,NON_FORFEITURE,4,0,4,22
