MPOLICY,MPLAN,MMODE,MBILLFRM,ANNUAL_PREMIUM,POLICY_FEE,MODE_PREMIUM,EXPECTED_ANNUAL_X_FACTOR,DIFF,WITHIN_02,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE
010264207C,280END,3,1,114.87,10.00,30.44,30.4400,0.0000,Y,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711
010310404C,1960PO,1,2,208.00,10.00,18.10,208.0000,-189.9000,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010331768C,1960PO,12,1,174.40,10.00,174.40,15.6960,158.7040,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010346921C,280END,12,2,36.16,10.00,36.16,3.1500,33.0100,N,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711
010348734C,196085,1,2,47.43,10.00,4.13,47.4300,-43.3000,N,51.9988,26.5022,9.0030,8.6960,5.1999,2.6502,0.9003,0.8696
010350577C,1960PO,1,2,78.30,10.00,6.81,78.3000,-71.4900,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
010367131C,17085M,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010367132C,170858,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010367133C,17085M,6,1,60.00,10.44,31.20,31.2000,0.0000,Y,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010367704C,17085M,1,2,59.99,10.44,5.00,59.9900,-54.9900,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010371356C,17085M,1,2,60.00,10.44,5.00,60.0000,-55.0000,N,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700
010374099C,1960PO,1,1,74.00,10.00,6.66,74.0000,-67.3400,N,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702
