metric,value
total_quikridr_rows,6934
pua_rows,494
phase1_rows,5083
other_non_pua_rider_rows,1357
other_riders_date_or_age_ne_base,201
policies_with_pua_and_other_riders,27
track_a_rows_changing_active_status_rule,494
track_a_rows_changing_all_status_41,494
active_rule_field_MEFFDATE,494
active_rule_field_MAGE,494
active_rule_field_MLASTANN,494
active_rule_field_MPAYUP,494
active_rule_field_MPHSTAT,255
active_rule_status_22->41,227
active_rule_status_56->41,28
all41_rule_field_MPHSTAT,494
all41_rule_field_MEFFDATE,494
all41_rule_field_MAGE,494
all41_rule_field_MLASTANN,494
all41_rule_field_MPAYUP,494
all41_rule_status_56->41,266
all41_rule_status_22->41,228
