MPOLICY,MLOANPRIN,MLOANBAL,MLOANINT,MLOANINTX,MLOANIDT,MLOANDATE,MLOANACCR,MLOANBILL
9010331768C,3707.11,3707.11,5.00,A,20250725,20250725,0.00,0.00
9010346921C,1452.76,1452.76,5.00,A,20251230,20251230,0.00,0.00
9010363098C,0.08,0.08,5.00,A,20181005,20181005,0.00,0.00
9010380049C,5299.98,5299.98,5.00,A,20251113,20251113,0.00,0.00
9010380627C,157.65,157.65,5.00,A,20251125,20251125,0.00,0.00
9010382426C,2698.31,2698.31,5.00,A,20260227,20260227,0.00,0.00
9010391004C,4189.56,4189.56,5.00,A,20260520,20260520,0.00,0.00
9010396186C,8353.63,8353.63,5.00,A,20250901,20250901,0.00,0.00
9010396425C,1811.19,1811.19,5.00,A,20250917,20250917,0.00,0.00
9010402105C,13981.71,13981.71,5.00,A,20251201,20251201,0.00,0.00
9010403789C,1265.58,1265.58,5.00,A,20251226,20251226,0.00,0.00
9010404600C,17946.48,17946.48,5.00,A,20251201,20251201,0.00,0.00
9010405440C,1158.65,1158.65,5.00,A,20260128,20260128,0.00,0.00
9010407925C,4789.63,4789.63,5.00,A,20260421,20260421,0.00,0.00
9010422417C,11.06,11.06,5.00,A,20041215,20041215,0.00,0.00
9010422722C,7844.69,7844.69,5.00,A,20250701,20250701,0.00,0.00
9010425941C,2147.34,2147.34,5.00,A,20260613,20260613,0.00,0.00
9010434092C,3690.85,3690.85,5.00,A,20251201,20251201,0.00,0.00
9010435671C,13365.78,13365.78,5.00,A,20251207,20251207,0.00,0.00
9010435672C,2029.93,2029.93,5.00,A,20251207,20251207,0.00,0.00
9010437232C,15640.18,15640.18,5.00,A,20260215,20260215,0.00,0.00
9010438556C,1221.92,1221.92,5.00,A,20260309,20260309,0.00,0.00
9010439156C,6182.95,6182.95,5.00,A,20260601,20260601,0.00,0.00
9010439277C,1044.22,1044.22,5.00,A,20260314,20260314,0.00,0.00
9010439435C,226.28,226.28,5.00,A,20260421,20260421,0.00,0.00
9010439999C,3141.78,3141.78,5.00,A,20260421,20260421,0.00,0.00
9010440000C,1741.81,1741.81,5.00,A,20260326,20260326,0.00,0.00
9010443287C,6354.14,6354.14,5.00,A,20260624,20260624,0.00,0.00
9010449417C,9421.64,9421.64,5.00,A,20260301,20260301,0.00,0.00
9010449498C,90.08,90.08,5.00,A,20260220,20260220,0.00,0.00
9010458526C,555.00,555.00,5.00,A,20251124,20251124,0.00,0.00
9010461210C,613.73,613.73,5.00,A,20260207,20260207,0.00,0.00
9010463537C,33.28,33.28,5.00,A,20260501,20260501,0.00,0.00
9010465331C,3421.46,3421.46,5.00,A,20250815,20250815,0.00,0.00
9010466392C,5065.59,5065.59,5.00,A,20251023,20251023,0.00,0.00
9010467154C,2538.86,2538.86,5.00,A,20250923,20250923,0.00,0.00
9010471046C,639.25,639.25,5.00,A,20260301,20260301,0.00,0.00
9010478213C,103.91,103.91,5.00,A,20250819,20250819,0.00,0.00
9010478214C,31.31,31.31,5.00,A,20250810,20250810,0.00,0.00
9010486919C,9063.72,9063.72,5.00,A,20250603,20250603,0.00,0.00
9010486961C,10088.23,10088.23,5.00,A,20260401,20260401,0.00,0.00
9010488273C,5744.68,5744.68,5.00,A,20260427,20260427,0.00,0.00
9010488274C,4282.62,4282.62,5.00,A,20180430,20180430,0.00,0.00
9010491000C,2359.03,2359.03,5.00,A,20210523,20210523,0.00,0.00
9010495113C,160.18,160.18,5.00,A,20250810,20250810,0.00,0.00
9010513711C,129.59,129.59,5.00,A,20270417,20270417,0.00,0.00
9010518048C,7227.60,7227.60,5.00,A,20251208,20251208,0.00,0.00
9010518049C,3510.82,3510.82,5.00,A,20251208,20251208,0.00,0.00
9010518545C,7098.35,7098.35,5.00,A,20251115,20251115,0.00,0.00
9010520217C,216.71,216.71,5.00,A,20221115,20221115,0.00,0.00
9010520451C,2640.89,2640.89,5.00,A,20251120,20251120,0.00,0.00
9010529613C,2061.39,2061.39,5.00,A,20260601,20260601,0.00,0.00
9010546964C,17147.37,17147.37,5.00,A,20260301,20260301,0.00,0.00
9010547021C,11443.46,11443.46,5.00,A,20260301,20260301,0.00,0.00
9010550088C,376.65,376.65,5.00,A,20260415,20260415,0.00,0.00
9010565013C,4908.24,4908.24,5.00,A,20251215,20251215,0.00,0.00
9010567983C,55.79,55.79,5.00,A,20260110,20260110,0.00,0.00
9010653596C,11.30,11.30,5.00,A,20110406,20110406,0.00,0.00
9010719815C,554.23,554.23,7.40,A,20120803,20120803,0.00,0.00
9010722516C,9031.25,9031.25,7.40,A,20260611,20260611,0.00,0.00
9010722734C,984.88,984.88,7.40,A,20050710,20050710,0.00,0.00
9010728696C,1119.54,1119.54,7.40,A,20120902,20120902,0.00,0.00
9010733665C,742.71,742.71,7.40,A,20251028,20251028,0.00,0.00
9010735585C,32.40,32.40,7.40,A,20041126,20041126,0.00,0.00
9010738161C,98.02,98.02,7.40,A,20190520,20190520,0.00,0.00
9010743832C,5091.14,5091.14,7.40,A,20260601,20260601,0.00,0.00
9010745749C,34.99,34.99,7.40,A,20080322,20080322,0.00,0.00
9010746846C,292.66,292.66,7.40,A,20200328,20200328,0.00,0.00
9010747243C,17861.12,17861.12,7.40,A,20260622,20260622,0.00,0.00
9010747636C,145.52,145.52,7.40,A,20230410,20230410,0.00,0.00
9010748070C,44.55,44.55,7.40,A,20140820,20140820,0.00,0.00
9010748073C,4808.73,4808.73,7.40,A,20260623,20260623,0.00,0.00
9010749401C,11007.58,11007.58,7.40,A,20260501,20260501,0.00,0.00
9010749906C,20.25,20.25,7.40,A,20070506,20070506,0.00,0.00
9010749942C,891.99,891.99,7.40,A,20260622,20260622,0.00,0.00
9010750265C,1370.68,1370.68,7.40,A,20260508,20260508,0.00,0.00
9010750755C,124.94,124.94,7.40,A,20151214,20151214,0.00,0.00
9010753409C,130.67,130.67,7.40,A,20210612,20210612,0.00,0.00
9010754480C,16.24,16.24,7.40,A,20260619,20260619,0.00,0.00
9010756091C,4716.69,4716.69,7.40,A,20260402,20260402,0.00,0.00
9010756833C,1396.89,1396.89,7.40,A,20250712,20250712,0.00,0.00
9010756909C,32.40,32.40,7.40,A,20110717,20110717,0.00,0.00
9010759555C,6415.56,6415.56,7.40,A,20250801,20250801,0.00,0.00
9010759932C,396.55,396.55,7.40,A,20200207,20200207,0.00,0.00
9010760840C,386.83,386.83,7.40,A,20251001,20251001,0.00,0.00
9010760873C,15186.68,15186.68,7.40,A,20250915,20250915,0.00,0.00
9010761639C,13346.10,13346.10,7.40,A,20260622,20260622,0.00,0.00
9010761966C,7.80,7.80,7.40,A,20190913,20190913,0.00,0.00
9010762047C,1266.86,1266.86,7.40,A,20260612,20260612,0.00,0.00
9010763378C,4549.17,4549.17,7.40,A,20250930,20250930,0.00,0.00
9010764348C,117.68,117.68,7.40,A,20181001,20181001,0.00,0.00
9010766920C,57.90,57.90,7.40,A,20251001,20251001,0.00,0.00
9010766921C,87.74,87.74,7.40,A,20251001,20251001,0.00,0.00
9010767776C,183.40,183.40,7.40,A,20251103,20251103,0.00,0.00
9010769345C,121.76,121.76,7.40,A,20141101,20141101,0.00,0.00
9010770721C,6006.22,6006.22,7.40,A,20251105,20251105,0.00,0.00
9010772903C,4573.15,4573.15,7.40,A,20260622,20260622,0.00,0.00
9010772919C,25780.26,25780.26,7.40,A,20251213,20251213,0.00,0.00
9010773575C,7469.09,7469.09,7.40,A,20260601,20260601,0.00,0.00
9010773681C,321.30,321.30,7.40,A,20031201,20031201,0.00,0.00
9010773682C,217.79,217.79,7.40,A,20141210,20141210,0.00,0.00
9010774490C,67.91,67.91,7.40,A,20040910,20040910,0.00,0.00
9010775583C,9160.16,9160.16,7.40,A,20260629,20260629,0.00,0.00
9010776651C,40.96,40.96,7.40,A,20181115,20181115,0.00,0.00
9010776811C,5878.95,5878.95,7.40,A,20260615,20260615,0.00,0.00
9010778474C,54.85,54.85,7.40,A,20180203,20180203,0.00,0.00
9010778653C,310.21,310.21,7.40,A,20070123,20070123,0.00,0.00
9010778697C,333.79,333.79,7.40,A,20260205,20260205,0.00,0.00
9010779563C,9448.07,9448.07,7.40,A,20260501,20260501,0.00,0.00
9010780510C,20.18,20.18,7.40,A,20050209,20050209,0.00,0.00
9010784732C,59.31,59.31,7.40,A,20251007,20251007,0.00,0.00
9010785163C,10093.60,10093.60,7.40,A,20130212,20130212,0.00,0.00
9010786152C,118.50,118.50,7.40,A,20100918,20100918,0.00,0.00
9010786800C,62.11,62.11,7.40,A,20200312,20200312,0.00,0.00
9010787668C,220.30,220.30,7.40,A,20200317,20200317,0.00,0.00
9010787669C,332.50,332.50,7.40,A,20260330,20260330,0.00,0.00
9010789546C,322.62,322.62,7.40,A,20230417,20230417,0.00,0.00
9010790531C,212.08,212.08,7.40,A,20260406,20260406,0.00,0.00
9010790532C,153.93,153.93,7.40,A,20260406,20260406,0.00,0.00
9010790754C,1058.26,1058.26,7.40,A,20260422,20260422,0.00,0.00
9010791498C,9368.59,9368.59,7.40,A,20260501,20260501,0.00,0.00
9010792541C,3135.45,3135.45,7.40,A,20260424,20260424,0.00,0.00
9010793451C,89.09,89.09,7.40,A,20170609,20170609,0.00,0.00
9010794112C,693.77,693.77,7.40,A,20080523,20080523,0.00,0.00
9010794265C,7.00,7.00,7.40,A,20080516,20080516,0.00,0.00
9010794520C,48.92,48.92,7.40,A,20120820,20120820,0.00,0.00
9010795840C,35.15,35.15,7.40,A,20260601,20260601,0.00,0.00
9010796912C,730.79,730.79,7.40,A,20090116,20090116,0.00,0.00
9010797197C,2164.55,2164.55,7.40,A,20250610,20250610,0.00,0.00
9010800286C,130.67,130.67,7.40,A,20160701,20160701,0.00,0.00
9010802647C,146.87,146.87,7.40,A,20130715,20130715,0.00,0.00
9010804711C,1871.07,1871.07,7.40,A,20250730,20250730,0.00,0.00
9010806653C,18.46,18.46,7.40,A,20220915,20220915,0.00,0.00
9010807566C,15841.79,15841.79,7.40,A,20250822,20250822,0.00,0.00
9010808548C,17141.82,17141.82,7.40,A,20250901,20250901,0.00,0.00
9010808831C,426.10,426.10,7.40,A,20251031,20251031,0.00,0.00
9010809317C,2238.48,2238.48,7.40,A,20260112,20260112,0.00,0.00
9010809320C,1630.71,1630.71,7.40,A,20260112,20260112,0.00,0.00
9010811250C,1355.44,1355.44,7.40,A,20250922,20250922,0.00,0.00
9010811319C,9817.14,9817.14,7.40,A,20250911,20250911,0.00,0.00
9010814167C,310.21,310.21,7.40,A,20231008,20231008,0.00,0.00
9010814172C,3576.20,3576.20,7.40,A,20251001,20251001,0.00,0.00
9010814390C,284.02,284.02,7.40,A,20071006,20071006,0.00,0.00
9010817366C,44.24,44.24,7.40,A,20130723,20130723,0.00,0.00
9010817367C,35.37,35.37,7.40,A,20130723,20130723,0.00,0.00
