PLAN,FORM,DESCR,PAR,SEX,BASIS,NFOINT,LOANINT,LOANINTX,DEPINT,VARDB,VARGP,LOAGE,HIAGE,RENEW,PAYYRS,PAYAGE,INSYRS,INSAGE,ANNL,SEMI,QTRL,MTHD,MTHB,ANNLFEE,SEMIFEE,QTRLFEE,MTHDFEE,MTHBFEE,INITVAL,MKTG,PRODUCT,CALCADV,COMMID,MINUNIT,MAXUNIT,BPOLFEE,BACTIVE,RRULE,AGTRSV,AUTONFO,PLANTYPE,INTMETHTV,INTMETHCV,DEFICIENCY,HDEDMETHOD,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,CONVCOMM,PLANNAME,HRENEW,HLOB,HCOMMIP,HRIGPKEY,SIMPLEINT,MLAPSE,MNOTE10,MNAICLOB,MNFOANNV,MGTDANNV
920ADB,0822,ACCIDENTAL DEATH BENEFIT,0,,,,0.00,A,0.00,0,4,15,55,N,00,65,00,65,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT,,,F,F,,0,,NAPLAN,,
965ADB,0822,ACCIDENTAL DEATH BENEFIT,0,,,,0.00,A,0.00,0,4,15,50,N,00,65,00,65,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT,,,F,F,,0,,NAPLAN,,
960ADB,0822,ACCIDENTAL DEATH BENEFIT,0,,,,0.00,A,0.00,0,4,00,65,N,00,65,00,65,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,ACCIDENTAL DEATH BENEFIT,,,F,F,,0,,NAPLAN,,
9POADB,0822,ACCIDENTAL DEATH BENEFIT,0,,,,0.00,A,0.00,0,4,15,55,N,00,65,00,65,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT,,,F,F,,0,,NAPLAN,,
9665WP,0823,WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,15,50,N,00,60,00,60,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
9896WP,0823,WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,15,50,N,00,60,00,60,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
9085WP,0823,WAIVER OF PREMIUM - LPU AT 85/88,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,WAIVER OF PREMIUM - LPU AT 85/88,,,F,F,,0,,NAPLAN,,
960CWP,0823,WAIVER OF PREMIUM - CHILD,0,,,,0.00,A,0.00,0,4,00,17,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,WAIVER OF PREMIUM - CHILD,,,F,F,,0,,NAPLAN,,
9065WP,0823,WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,00,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
90OLWP,0823,WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
