MPOLICY,MSTATUS,MNFOPT_BEFORE,MNFOPT_AFTER
010165095C,45,2,3
010374099C,44,1,2
010379477C,45,1,3
010379478C,45,1,3
010381516C,45,2,3
010407237C,45,2,3
010407670C,45,2,3
010427442C,45,2,3
010428747C,45,1,3
010436406C,45,1,3
010438861C,45,2,3
010443389C,45,2,3
010443433C,45,2,3
010446088C,45,1,3
010449017C,45,2,3
010451385C,45,2,3
010471534C,45,2,3
010478048C,45,2,3
010480683C,45,2,3
010510553C,45,2,3
010510671C,44,1,2
010516466C,45,2,3
010556736C,45,2,3
010583923C,44,1,2
010591112C,45,2,3
010732975C,45,1,3
010734951C,45,1,3
010734954C,45,1,3
010736935C,44,1,2
010737417C,45,1,3
010746670C,45,1,3
010749628C,45,2,3
010751933C,45,1,3
010751934C,45,1,3
010752831C,45,1,3
010754355C,45,1,3
010756279C,45,1,3
010756926C,45,1,3
010756927C,45,1,3
010757561C,45,1,3
010757606C,45,1,3
010758538C,45,2,3
010760069C,45,1,3
010760304C,45,2,3
010761913C,45,1,3
010762559C,45,2,3
010762560C,45,1,3
010764124C,45,1,3
010764158C,44,0,2
010764248C,44,0,2
010766284C,44,1,2
010766847C,45,1,3
010768802C,44,0,2
010773561C,44,0,2
010774774C,44,0,2
010774868C,45,1,3
010777321C,44,0,2
010777322C,44,0,2
010777501C,45,1,3
010778381C,45,1,3
010779456C,44,0,2
010779553C,44,0,2
010780202C,44,0,2
010780870C,45,1,3
010781721C,45,1,3
010781852C,44,0,2
010781853C,44,0,2
010783070C,44,0,2
010783071C,44,0,2
010784596C,45,2,3
010786057C,45,2,3
010787351C,45,1,3
010792068C,45,1,3
010792082C,45,2,3
010796917C,45,1,3
010800356C,44,0,2
010801893C,45,1,3
010810225C,44,0,2
010810226C,44,0,2
010810272C,44,0,2
010811249C,45,1,3
010813185C,45,1,3
010813276C,45,1,3
010813433C,44,0,2
010814968C,44,1,2
010815772C,44,0,2
010816232C,44,0,2
010816336C,44,0,2
010816337C,44,0,2
010817649C,45,2,3
010817650C,45,2,3
010818314C,44,0,2
010818794C,45,1,3
010820645C,44,0,2
010823222C,44,0,2
010823332C,45,1,3
010823333C,45,1,3
010823867C,45,1,3
010823869C,45,1,3
010823870C,45,1,3
010824561C,44,0,2
010826422C,45,2,3
010827674C,44,1,2
010827865C,45,2,3
010827956C,44,0,2
010833858C,44,0,2
010837136C,44,0,2
010839848C,44,0,2
010840772C,44,0,2
010841421C,45,1,3
010841422C,45,1,3
010844919C,44,0,2
010848314C,45,2,3
010855165C,45,1,3
010856342C,44,0,2
010856920C,45,1,3
010857632C,44,0,2
010873285C,44,0,2
010875130C,45,1,3
010878315C,44,0,2
010878559C,44,0,2
010880469C,44,0,2
010882604C,44,0,2
010885442C,45,1,3
010886099C,44,0,2
010888312C,44,0,2
010888313C,44,0,2
010891074C,45,1,3
010895937C,44,0,2
010900529C,44,1,2
010900530C,44,1,2
010900623C,44,0,2
010901657C,44,1,2
010905337C,45,1,3
010917602C,44,0,2
010917603C,44,0,2
010917604C,44,0,2
010926969C,44,0,2
010926970C,44,0,2
010934017C,44,0,2
010936179C,44,0,2
010936709C,44,0,2
010937092C,44,0,2
010937739C,44,0,2
010947867C,45,2,3
010948278C,44,0,2
010950970C,44,0,2
010952386C,44,0,2
010955021C,44,0,2
010957790C,44,0,2
010961713C,44,0,2
010969839C,44,0,2
010978024C,44,0,2
010983389C,44,0,2
010985217C,44,0,2
010988862C,44,0,2
010989860C,44,0,2
010993200C,44,0,2
010998652C,44,0,2
010999694C,44,0,2
011001302C,44,0,2
011003325C,44,0,2
011005041C,44,0,2
011015985C,44,0,2
011017167C,45,1,3
011017289C,44,0,2
011018249C,44,0,2
011023481C,44,0,2
011032090C,44,0,2
011034609C,44,0,2
011044907C,45,2,3
011054089C,44,0,2
011054839C,44,0,2
011054840C,44,0,2
011064800C,44,0,2
011068614C,45,1,3
011069977C,45,1,3
011089156C,44,0,2
011121183C,44,0,2
011136641C,44,0,2
011185539C,45,2,3
011185623C,45,2,3
011186457C,45,2,3
011191287C,45,2,3
011191288C,45,2,3
011196063C,45,1,3
011196064C,45,1,3
011196932C,45,2,3
011196933C,45,2,3
011199570C,45,2,3
011204810C,45,2,3
011205441C,45,2,3
011207360C,45,2,3
011215080C,44,1,2
011221817C,45,2,3
011221818C,45,2,3
011226579C,44,1,2
01222DCC,45,0,3
01222DDC,45,0,3
01330D153C,45,0,3
01353D732C,45,0,3
014059C,45,0,3
014075AC,45,0,3
014075BC,45,0,3
014098BC,45,0,3
014100CC,45,0,3
014100DC,45,0,3
014100EC,45,0,3
014112C,45,0,3
014126AC,45,0,3
01422D089C,45,0,3
018009BC,45,0,3
018021C,45,0,3
018166CC,45,0,3
018167CC,45,0,3
018167DC,45,0,3
018167EC,45,0,3
018185C,45,0,3
018187C,45,0,3
018222AC,45,0,3
018222BC,45,0,3
018234C,45,0,3
018236BC,45,0,3
018237CC,45,0,3
018237EC,45,0,3
018237FC,45,0,3
018237GC,45,0,3
