SIDE,FAMILY,TABLE,FIELD,ROWS,BLANK,BLANK_PCT
OUR,CV,QuikPlCv,MORT,94,11,11.7
OUR,CV,QuikPlCv,ETIMORT,94,21,22.34
OUR,CV,QuikPlCv,NFOINT,94,30,31.91
OUR,CV,QuikPlCv,INTMETHCV,94,11,11.7
EX,CV,QuikPlCv,MORT,487,16,3.29
EX,CV,QuikPlCv,ETIMORT,487,16,3.29
EX,CV,QuikPlCv,NFOINT,487,16,3.29
EX,CV,QuikPlCv,INTMETHCV,487,16,3.29
OUR,TV,QuikPlTv,MORT,220,110,50.0
OUR,TV,QuikPlTv,RSVINT,220,220,100.0
OUR,TV,QuikPlTv,RSVMETH,220,220,100.0
OUR,TV,QuikPlTv,INTMETHTV,220,220,100.0
OUR,TV,QuikPlTv,STOREMEANS,220,220,100.0
OUR,TV,QuikPlTv,CALCMIDS,220,220,100.0
EX,TV,QuikPlTv,MORT,944,0,0.0
EX,TV,QuikPlTv,RSVINT,944,0,0.0
EX,TV,QuikPlTv,RSVMETH,944,0,0.0
EX,TV,QuikPlTv,INTMETHTV,944,0,0.0
EX,TV,QuikPlTv,STOREMEANS,944,120,12.71
EX,TV,QuikPlTv,CALCMIDS,944,4,0.42
