PLAN,HAS_ANY_FACTOR,GP_KEYS,GP_FACTORS,GP_STUB,DB_KEYS,DB_FACTORS,DB_STUB,CV_KEYS,CV_FACTORS,CV_STUB,TV_KEYS,TV_FACTORS,TV_STUB,DV_KEYS,DV_FACTORS,DV_STUB
130JEB,Y,1,15,OK,1,99,OK,1,100,OK,2,192,OK,1,13,OK
1658C1,Y,6,246,OK,0,0,ADD_DEFAULT_KEY,4,2020,OK,4,2032,OK,0,0,ADD_DEFAULT_KEY
1658CS,Y,6,246,OK,0,0,ADD_DEFAULT_KEY,2,1015,OK,2,1016,OK,0,0,ADD_DEFAULT_KEY
1659C2,Y,6,246,OK,0,0,ADD_DEFAULT_KEY,2,1081,OK,4,2128,OK,0,0,ADD_DEFAULT_KEY
1659CR,Y,6,246,OK,0,0,ADD_DEFAULT_KEY,2,1081,OK,2,1064,OK,0,0,ADD_DEFAULT_KEY
1659CS,Y,6,246,OK,0,0,ADD_DEFAULT_KEY,2,1031,OK,2,1016,OK,0,0,ADD_DEFAULT_KEY
1659SR,Y,6,246,OK,1,10,OK,2,1081,OK,2,264,OK,0,0,ADD_DEFAULT_KEY
1666AI,Y,1,86,OK,0,0,ADD_DEFAULT_KEY,1,541,OK,2,1064,OK,0,0,ADD_DEFAULT_KEY
1666WL,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,1,541,OK,2,1064,OK,0,0,ADD_DEFAULT_KEY
1668SP,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,1081,OK,4,2128,OK,0,0,ADD_DEFAULT_KEY
1669SR,Y,6,246,OK,1,10,OK,2,272,OK,6,2456,OK,0,0,ADD_DEFAULT_KEY
1679CS,Y,2,82,OK,0,0,ADD_DEFAULT_KEY,1,480,OK,6,2456,OK,0,0,ADD_DEFAULT_KEY
170588,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,835,OK,2,986,OK,2,770,OK
170858,Y,0,0,ADD_DEFAULT_KEY,0,0,ADD_DEFAULT_KEY,2,1002,OK,2,986,OK,2,770,OK
17085M,Y,2,125,OK,0,0,ADD_DEFAULT_KEY,2,1002,OK,2,986,OK,2,770,OK
17CSI3,Y,2,60,OK,1,132,OK,2,270,OK,2,264,OK,0,0,ADD_DEFAULT_KEY
17CSI5,Y,0,0,ADD_DEFAULT_KEY,1,132,OK,2,270,OK,2,264,OK,0,0,ADD_DEFAULT_KEY
17CSI7,Y,2,60,OK,1,132,OK,2,270,OK,2,264,OK,0,0,ADD_DEFAULT_KEY
