TABLE,EX_FILE,OUR_FILE,EX_ROWS,OUR_ROWS,EX_PLANS,OUR_PLANS
QuikPlGd,quikplgd.dbf,QuikPlGd.csv,1906,210,1798,126
QuikPlUw,quikpluw.dbf,QuikPlUw.csv,1830,186,1798,126
QuikPlBd,QUIKPLBD.dbf,QuikPlBd.csv,2261,126,1762,126
QuikPlSt,quikplst.dbf,QuikPlSt.csv,1798,126,1798,126
QuikPlNb,quikplnb.dbf,QuikPlNb.csv,1,126,0,126
QuikPlGp,quikplgp.dbf,QuikPlGp.csv,3139,225,1760,109
QuikPlDb,quikpldb.dbf,QuikPlDb.csv,4,25,4,23
QuikPlCv,quikplcv.dbf,QuikPlCv.csv,487,94,297,46
QuikPlTv,QUIKPLTV.DBF,QuikPlTv.csv,944,220,529,80
QuikPlDv,,QuikPlDv.csv,0,29,0,20
QuikGps,QuikGps.dbf,QuikGps.csv,62900,11983,1759,109
QuikDbs,QuikDbs.dbf,QuikDbs.csv,208,2513,3,23
QuikCvs,QuikCvs.dbf,QuikCvs.csv,232555,38047,279,46
QuikTvs,quiktvs.dbf,QuikTvs.csv,456072,53818,530,80
QuikDvs,QuikDvs.dbf,QuikDvs.csv,145673,6452,276,20
QuikNps,quiknps.dbf,QuikNps.csv,284424,52647,520,76
QuikCoi,QUIKCOI.DBF,QuikCoi.csv,0,792,0,2
QuikGcoi,quikgcoi.dbf,QuikGcoi.csv,0,198,0,1
QuikIssc,quikissc.DBF,QuikIssc.csv,0,0,0,0
QuikNff,QuikNff.dbf,QuikNff.csv,0,20217,0,23
QuikAint,QUIKAINT.DBF,QuikAint.csv,919,2,181,2
QuikUint,quikuint.dbf,QuikUint.csv,0,0,0,0
