mpolicy,lifepro,tier,payout_rows,pe_count,payout_amount,claimstat,header_mpaid,payee_source,pair_note
010150740C,9010150740,1,1,1,3213.59,3,3213.59,PE_SINGLE,
010154425C,9010154425,1,1,1,2107.95,99,0.00,PE_SINGLE,
010235370C,9010235370,1,1,1,3517.03,99,0.00,PE_SINGLE,
010331157C,9010331157,2,5,5,19446.62,3,19636.31,PE_MULTI_PAIR_OK,PAIR_OK
010335038C,9010335038,1,1,1,11777.05,3,11777.05,PE_SINGLE,
010335095C,9010335095,1,1,1,2474.02,99,0.00,PE_SINGLE,
010348734C,9010348734,1,1,1,56.85,99,0.00,PE_SINGLE,
010360289C,9010360289,1,1,1,6139.1,1,3129.06,PE_SINGLE,
010360290C,9010360290,1,1,1,6023.72,1,3104.07,PE_SINGLE,
010367705C,9010367705,1,1,1,5899.62,1,3043.61,PE_SINGLE,
010376522C,9010376522,1,1,1,1212.88,1,5408.90,PE_SINGLE,
010376529C,9010376529,1,1,1,623.08,1,2512.06,PE_SINGLE,
010379405C,9010379405,1,1,1,14055.92,1,7437.83,PE_SINGLE,
010381745C,9010381745,1,1,1,2449.02,1,5648.21,PE_SINGLE,
010385636C,9010385636,1,1,1,193.48,1,10108.84,PE_SINGLE,
010389802C,9010389802,1,1,1,10072.44,1,8178.76,PE_SINGLE,
010391228C,9010391228,1,1,1,4811.41,1,4007.17,PE_SINGLE,
010391359C,9010391359,1,1,1,1260.06,1,0.00,PE_SINGLE,
010391422C,9010391422,1,1,1,2722.17,1,2460.70,PE_SINGLE,
010392138C,9010392138,1,1,1,213.3,1,8571.23,PE_SINGLE,
010392493C,9010392493,2,3,2,18738.3,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010393181C,9010393181,1,1,1,2393.21,99,0.00,PE_SINGLE,
010393931C,9010393931,2,3,2,27425.58,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010395761C,9010395761,1,1,1,6949.38,1,6090.16,PE_SINGLE,
010397118C,9010397118,1,1,1,30.0,99,0.00,PE_SINGLE,
010397583C,9010397583,1,1,1,7778.19,1,8297.02,PE_SINGLE,
010400462C,9010400462,1,1,1,1.9,1,5359.90,PE_SINGLE,
010402060C,9010402060,1,1,1,5180.89,1,5178.89,PE_SINGLE,
010402061C,9010402061,1,1,1,7200.72,1,7197.72,PE_SINGLE,
010403109C,9010403109,1,1,1,24.42,99,0.00,PE_SINGLE,
010405858C,9010405858,1,1,1,8389.99,1,4236.32,PE_SINGLE,
010411727C,9010411727,2,2,2,17235.67,3,17235.67,PE_MULTI_PAIR_OK,PAIR_OK
010412640C,9010412640,1,1,1,9141.75,1,4986.15,PE_SINGLE,
010413745C,9010413745,1,1,1,11646.87,1,5928.52,PE_SINGLE,
010420983C,9010420983,1,1,1,734.33,1,3682.06,PE_SINGLE,
010422033C,9010422033,1,1,1,8527.2,1,5451.50,PE_SINGLE,
010425942C,9010425942,1,1,1,3258.8,1,3689.53,PE_SINGLE,
010426657C,9010426657,2,3,3,1453.48,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
010426747C,9010426747,1,1,1,87.13,1,7665.07,PE_SINGLE,
010429710C,9010429710,1,1,1,7206.42,1,4539.84,PE_SINGLE,
010429711C,9010429711,1,1,1,8873.84,1,5347.75,PE_SINGLE,
010430295C,9010430295,1,1,1,5034.97,1,2738.76,PE_SINGLE,
010434421C,9010434421,1,1,1,4.23,99,0.00,PE_SINGLE,
010434424C,9010434424,1,1,1,15214.33,1,7511.87,PE_SINGLE,
010435248C,9010435248,1,1,1,7225.25,1,3827.25,PE_SINGLE,
010438821C,9010438821,2,5,5,15476.47,3,15539.54,PE_MULTI_PAIR_OK,PAIR_OK
010439084C,9010439084,1,1,1,10199.7,99,0.00,PE_SINGLE,
010439181C,9010439181,1,1,1,3798.18,1,3798.18,PE_SINGLE,
010442330C,9010442330,1,1,1,8429.28,1,4261.61,PE_SINGLE,
010442332C,9010442332,1,1,1,433.04,1,4073.46,PE_SINGLE,
010443109C,9010443109,1,1,1,5504.36,3,5532.82,PE_SINGLE,
010444283C,9010444283,1,1,1,4407.89,99,0.00,PE_SINGLE,
010445275C,9010445275,1,1,1,5503.17,1,3668.18,PE_SINGLE,
010445575C,9010445575,1,1,1,5243.87,99,0.00,PE_SINGLE,
010446416C,9010446416,1,1,1,4195.98,1,2572.00,PE_SINGLE,
010454003C,9010454003,2,1,2,4330.42,1,2585.56,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010455617C,9010455617,1,1,1,8671.31,3,8704.75,PE_SINGLE,
010458190C,9010458190,1,1,1,8625.06,1,4399.71,PE_SINGLE,
010458520C,9010458520,1,1,1,3403.99,1,2464.24,PE_SINGLE,
010458744C,9010458744,1,1,1,17158.01,1,9328.59,PE_SINGLE,
010459050C,9010459050,2,1,2,2147.18,1,2147.18,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010459336C,9010459336,1,1,1,21.6,99,0.00,PE_SINGLE,
010460886C,9010460886,1,1,1,2832.05,1,2832.05,PE_SINGLE,
010462630C,9010462630,1,1,1,858.29,1,4724.34,PE_SINGLE,
