lifepro_plan,qla_plan,QuikPlCv_MORT,QuikPlCv_ETIMORT,QuikPlCv_ETIMORT_note,QuikPlCv_NFOINT,QuikPlCv_INTMETHCV,QuikPlTv_MORT,QuikPlTv_RSVINT,QuikPlTv_RSVMETH,QuikPlTv_INTMETHTV,QuikPlTv_STOREMEANS,QuikPlTv_CALCMIDS,exclude_missing_qla,scope_issue80
10827 CSI3,17CSI3,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
10827 CSI5,17CSI5,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
10827 CSI7,17CSI7,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
10827 MN5K,1CSIMN,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
619 DT,7619DT,A1,,,,0,A1,C,1,0,False,False,N,IN_SCOPE
621 END85,221END,N1,N1,LOCKED_1941_CSO_N1_per_user_20260717,2,0,N1,2,3,0,False,False,N,IN_SCOPE
621 PUA,121PUA,N1,,,,0,N1,2,1,0,False,False,N,DEFER_PUA_ISSUE
622 END85,222END,N1,N1,LOCKED_1941_CSO_N1_per_user_20260717,2,0,N1,2,1,0,False,False,N,IN_SCOPE
622 PUA,,N1,,,,0,N1,2,1,0,False,False,Y,DEFER_PUA_MISSING_QLA
646 ART,5646AT,O1,,,,0,O1,2,3,0,False,False,N,IN_SCOPE
647 FLP,7647FP,O1,Q1,,2,0,O1,2,1,0,False,False,N,IN_SCOPE
658 CEN I,1658C1,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
658 CEN SD,1658CS,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
659 CEN II,1659C2,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
659 CEN SD,1659CS,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
659 CEN SR,1659CR,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
659 SR GD,1659SR,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
665 PUA,265PUA,O1,,,,0,O1,6,1,0,False,False,N,DEFER_PUA_ISSUE
665 STME95,2665ST,O1,Q1,,6,0,O1,6,3,0,False,False,N,IN_SCOPE
666 WL,1666WL,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
667 ART,5667AT,A1,,,,0,A1,G,3,0,False,False,N,IN_SCOPE
668 SPWL,1668SP,A1,C1,,E,0,A1,E,1,0,False,False,N,IN_SCOPE
669 SR GD,1669SR,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
670 GL85-8,170858,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
670 GL85-M,17085M,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
670 GL8588,170588,O1,Q1,,6,0,O1,2,3,0,False,False,N,IN_SCOPE
670 PUA,170PUA,O1,,,,0,O1,2,1,0,False,False,N,DEFER_PUA_ISSUE
675 61 PUA,,O1,,,,0,O1,2,1,0,False,False,Y,DEFER_PUA_MISSING_QLA
675 AD PUA,,O1,,,,0,O1,2,1,0,False,False,Y,DEFER_PUA_MISSING_QLA
679 CEN SD,1679CS,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
