field,current_emit,proposed_D1A_D2A_D3A,changes,notes
PROCDATE,,20260630,Y,D1-A PME
ESC_DATE,,,N,already correct under DG-R-003
ANNDATE,,20260630,Y,
DIRBILL,20260630,20260630,N,already correct under DG-R-003
PDUEDAYS,,31,Y,
PACBILL,20260630,20260630,N,already correct under DG-R-003
GRPBILL,,20260630,Y,
APLBILL,,20260630,Y,
LOANBILL,,20260630,Y,
REINBILL,20260630,20260630,N,already correct under DG-R-003
CPNBILL,,20260630,Y,
VERSION,,5.318,Y,
UPDATENUM,,359,Y,
CCBILL,,20260630,Y,
ACHFILEID,0,0,N,already correct under DG-R-003
ACHFILEID2,A,A,N,already correct under DG-R-003
