qla,lp,phase,plan,mode,units,ann,mode_prem,current,proposed,delta,ann_blank,reconstruct
010897303C,9010897303,1,1668SP,12,14.16152,0.0,6887.88,6887.88,486.379993,-6401.500007,True,6887.88
010826903C,9010826903,1,1668SP,12,21.92502,0.0,5000.0,5000.0,228.049963,-4771.950037,True,5000.0
010947489C,9010947489,1,1668SP,12,13.02524,0.0,5000.0,5000.0,383.870086,-4616.129914,True,5000.0
010875065C,9010875065,1,1668SP,12,12.15008,0.0,5000.0,5000.0,411.519924,-4588.480076,True,5000.0
011000854C,9011000854,1,1668SP,12,11.74012,0.0,5000.0,5000.0,425.890025,-4574.109975,True,5000.0
010869804C,9010869804,1,1668SP,12,10.00044,0.0,4558.0,4558.0,455.779946,-4102.220054,True,4558.0
010977876C,9010977876,1,1668SP,12,8.0,0.0,3646.24,3646.24,455.78,-3190.46,True,3646.24
010901824C,9010901824,1,1668SP,12,8.62656,0.0,3550.0,3550.0,411.519771,-3138.480229,True,3550.0
010779727C,9010779727,1,1658C1,12,500.0,0.0,2930.75,2930.75,5.8615,-2924.8885,True,2930.75
010881277C,9010881277,1,1668SP,12,36.50079,0.0,3000.0,3000.0,82.190002,-2917.809998,True,3000.0
010935469C,9010935469,1,1668SP,12,7.24,0.0,3299.85,3299.85,455.780387,-2844.069613,True,3299.85
010935470C,9010935470,1,1668SP,12,6.75192,0.0,3300.0,3300.0,488.749867,-2811.250133,True,3300.0
010924474C,9010924474,1,1668SP,12,11.87874,0.0,3053.55,3053.55,257.060092,-2796.489908,True,3053.55
011072813C,9011072813,1,1659C2,12,100.0,0.0,2794.0,2794.0,27.94,-2766.06,True,2794.0
010842641C,9010842641,1,1668SP,12,20.0,0.0,2743.8,2743.8,137.19,-2606.61,True,2743.8
011086965C,9011086965,1,1668SP,12,14.99973,0.0,2788.0,2788.0,185.870012,-2602.129988,True,2788.0
010829155C,9010829155,1,1668SP,12,6.0,0.0,3110.4,3110.4,518.4,-2592.0,True,3110.4
010974838C,9010974838,1,1668SP,12,6.32711,0.0,3000.0,3000.0,474.150125,-2525.849875,True,3000.0
010829171C,9010829171,1,1668SP,12,7.0,0.0,2880.64,2880.64,411.52,-2469.12,True,2880.64
010898547C,9010898547,1,1668SP,12,7.76384,0.0,2818.04,2818.04,362.969871,-2455.070129,True,2818.04
010901830C,9010901830,1,1668SP,12,7.07799,0.0,2855.12,2855.12,403.380056,-2451.739944,True,2855.12
010920784C,9010920784,1,1668SP,12,49.09662,0.0,2500.0,2500.0,50.920002,-2449.079998,True,2500.0
010920785C,9010920785,1,1668SP,12,49.09662,0.0,2500.0,2500.0,50.920002,-2449.079998,True,2500.0
010841063C,9010841063,1,1668SP,12,5.15626,0.0,2977.02,2977.02,577.360335,-2399.659665,True,2977.02
010903927C,9010903927,1,1668SP,12,5.36073,0.0,2779.0,2779.0,518.399546,-2260.600454,True,2779.0
010893394C,9010893394,1,1668SP,12,8.41158,0.0,2419.17,2419.17,287.599951,-2131.570049,True,2419.17
010969227C,9010969227,1,1668SP,12,6.2901,0.0,2500.0,2500.0,397.449961,-2102.550039,True,2500.0
011069654C,9011069654,1,1668SP,12,19.7055,0.0,2204.06,2204.06,111.849991,-2092.210009,True,2204.06
010869452C,9010869452,1,1668SP,12,5.60328,0.0,2494.75,2494.75,445.230294,-2049.519706,True,2494.75
011110968C,9011110968,1,1659C2,12,100.0,0.0,2026.0,2026.0,20.26,-2005.74,True,2026.0
010975741C,9010975741,1,1668SP,12,15.58423,0.0,2138.0,2138.0,137.189967,-2000.810033,True,2138.0
011058218C,9011058218,1,1668SP,12,50.46682,0.0,2000.0,2000.0,39.629998,-1960.370002,True,2000.0
010975742C,9010975742,1,1668SP,12,16.83005,0.0,1940.0,1940.0,115.270008,-1824.729992,True,1940.0
011050972C,9011050972,1,1668SP,12,25.0,0.0,1852.0,1852.0,74.08,-1777.92,True,1852.0
010838129C,9010838129,1,1668SP,12,5.47128,0.0,2174.56,2174.56,397.449957,-1777.110043,True,2174.56
010894754C,9010894754,1,1668SP,12,8.43028,0.0,2000.0,2000.0,237.240044,-1762.759956,True,2000.0
011065555C,9011065555,1,1668SP,12,6.7347,0.0,1936.9,1936.9,287.600042,-1649.299958,True,1936.9
010745344C,9010745344,1,1659C2,12,40.0,0.0,1689.4,1689.4,42.235,-1647.165,True,1689.4
010841470C,9010841470,1,1668SP,12,4.45127,0.0,2110.57,2110.57,474.150074,-1636.419926,True,2110.57
010851577C,9010851577,1,1668SP,12,5.0,0.0,1987.25,1987.25,397.45,-1589.8,True,1987.25
010834451C,9010834451,1,1668SP,12,13.12016,0.0,1711.0,1711.0,130.409995,-1580.590005,True,1711.0
010948270C,9010948270,1,1668SP,12,37.85011,0.0,1500.0,1500.0,39.630004,-1460.369996,True,1500.0
010848081C,9010848081,1,1668SP,12,6.89413,0.0,1701.82,1701.82,246.850582,-1454.969418,True,1701.82
010834450C,9010834450,1,1668SP,12,12.92839,0.0,1558.0,1558.0,120.509978,-1437.490022,True,1558.0
010809932C,9010809932,1,1659C2,12,25.0,0.0,1490.25,1490.25,59.61,-1430.64,True,1490.25
010891074C,9010891074,1,1659C2,12,57.58719,0.0,1449.71,1449.71,25.174175,-1424.535825,True,1449.71
011080826C,9011080826,1,1668SP,12,18.25,0.0,1499.97,1499.97,82.190137,-1417.779863,True,1499.97
010843384C,9010843384,1,1668SP,12,8.35553,0.0,1600.0,1600.0,191.489947,-1408.510053,True,1600.0
010738207C,9010738207,1,1659C2,12,100.0,0.0,1420.0,1420.0,14.2,-1405.8,True,1420.0
010789351C,9010789351,1,1659C2,12,50.0,0.0,1409.5,1409.5,28.19,-1381.31,True,1409.5
010900154C,9010900154,1,1668SP,12,5.9618,0.0,1651.0,1651.0,276.929786,-1374.070214,True,1651.0
010974140C,9010974140,1,1668SP,12,5.59965,0.0,1672.0,1672.0,298.59009,-1373.40991,True,1672.0
011080827C,9011080827,1,1668SP,12,15.29049,0.0,1387.0,1387.0,90.709977,-1296.290023,True,1387.0
011050973C,9011050973,1,1668SP,12,25.0,0.0,1256.25,1256.25,50.25,-1206.0,True,1256.25
010837522C,9010837522,1,1668SP,12,3.88802,0.0,1600.0,1600.0,411.520517,-1188.479483,True,1600.0
010724403C,9010724403,1,1659C2,12,100.0,0.0,1184.0,1184.0,11.84,-1172.16,True,1184.0
010765429C,9010765429,1,1659C2,12,100.0,0.0,1184.0,1184.0,11.84,-1172.16,True,1184.0
010900152C,9010900152,1,1668SP,12,4.15228,0.0,1539.0,1539.0,370.639745,-1168.360255,True,1539.0
