MPOLICY,MPLAN,CUR_MANNLFEE,PROP_MANNLFEE,CUR_MSEMIFEE,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE,MPREM,MUNIT
010235370C,280END,,10.00,,5.1998,2.6500,0.9002,0.8711,13.76000,2.00000
010264207C,280END,,10.00,,5.1998,2.6500,0.9002,0.8711,12.29000,8.53300
010300689C,1960PO,,10.00,,5.2000,2.6500,0.9000,0.8702,0,14.51330
010310404C,1960PO,,10.00,,5.2000,2.6500,0.9000,0.8702,13.20000,15.00000
010331157C,196085,,10.00,,5.1999,2.6502,0.9003,0.8696,15.71000,10.00000
010331768C,1960PO,,10.00,,5.2000,2.6500,0.9000,0.8702,10.96000,15.00000
010335038C,196085,,10.00,,5.1999,2.6502,0.9003,0.8696,25.46000,5.00000
010335095C,2961ME,,10.00,,5.1999,2.6503,0.9002,0.8696,15.15000,2.00000
010346921C,280END,,10.00,,5.1998,2.6500,0.9002,0.8711,13.08000,2.00000
010348734C,196085,,10.00,,5.1999,2.6502,0.9003,0.8696,14.97000,2.50000
010350577C,1960PO,,10.00,,5.2000,2.6500,0.9000,0.8702,6.83000,10.00000
010360289C,17085M,,10.44,,5.4288,2.7666,0.9396,0.8700,9.48000,5.22800
010360290C,170858,,10.44,,5.4288,2.7666,0.9396,0.8700,8.64000,5.73700
010363098C,196085,,10.00,,5.1999,2.6502,0.9003,0.8696,17.99000,5.00000
010367131C,17085M,,10.44,,5.4288,2.7666,0.9396,0.8700,9.12000,5.43400
010367132C,170858,,10.44,,5.4288,2.7666,0.9396,0.8700,9.12000,5.43400
010367133C,17085M,,10.44,,5.4288,2.7666,0.9396,0.8700,9.96000,4.97600
010367704C,17085M,,10.44,,5.4288,2.7666,0.9396,0.8700,10.80000,4.58800
010367705C,170858,,10.44,,5.4288,2.7666,0.9396,0.8700,9.36000,5.29500
010368703C,17085M,,10.44,,5.4288,2.7666,0.9396,0.8700,15.96000,6.86500
010391876C,170858,,10.44,,5.4288,2.7666,0.9396,0.8700,8.52000,6.13449
010713704C,1659C2,,25.00,,13.1250,6.7500,2.3000,2.2005,20.07680,25.00000
010779727C,1658C1,,25.00,,13.1262,6.7508,2.2997,2.1993,5.8615,500.00000
