PLAN,DESCR,DEFICIENCY,PRODUCT,PAYYRS,PAYAGE,indeterminate_heuristic,dg020_applies,a2_candidate_if_cso_yes
920ADB,ACCIDENTAL DEATH BENEFIT,N,03,00,65,N,Y,Y
965ADB,ACCIDENTAL DEATH BENEFIT,N,03,00,65,N,Y,Y
960ADB,ACCIDENTAL DEATH BENEFIT,N,03,00,65,N,Y,Y
9POADB,ACCIDENTAL DEATH BENEFIT,N,03,00,65,N,Y,Y
9665WP,WAIVER OF PREMIUM,N,10,00,60,N,Y,Y
9896WP,WAIVER OF PREMIUM,N,10,00,60,N,Y,Y
9085WP,WAIVER OF PREMIUM - LPU AT 85/88,N,03,00,60,N,Y,Y
960CWP,WAIVER OF PREMIUM - CHILD,N,03,00,60,N,Y,Y
9065WP,WAIVER OF PREMIUM,N,03,00,60,N,Y,Y
90OLWP,WAIVER OF PREMIUM,N,03,00,60,N,Y,Y
90POWP,WAIVER OF PREMIUM,N,03,00,60,N,Y,Y
960SWP,WAIVER OF PREMIUM - SPOUSE,N,03,00,60,N,Y,Y
94PDIS,& PAYOR DISABILITY RIDER,N,03,25,00,N,Y,Y
90PDTH,PAYOR DEATH,N,03,25,00,N,Y,Y
17CSI3,CSI LIFE $3000,N,19,00,100,N,N,Y
17CSI5,CSI LIFE $5000,N,19,00,100,N,N,Y
17CSI7,CSI LIFE $7500,N,19,00,100,N,N,Y
1CSIMN,CSI LIFE MN $5000,N,19,00,100,N,N,Y
976658,DISABILITY WAIVER OF PREMIUM RIDER,N,10,00,60,N,Y,Y
976659,DISABILITY WAIVER OF PREMIUM RIDER,N,10,00,60,N,Y,Y
977ADB,ACCIDENTAL DEATH BENEFIT RIDER,N,03,00,65,N,Y,Y
578CTR,DEPENDENT CHILD TERM RIDER,N,06,00,25,N,N,Y
778FTR,FAMILY TERM RIDER,N,06,00,65,N,N,Y
578STR,PAID UP SPOUSE TERM RIDER,N,06,00,65,N,N,Y
9CTRWP,1578 CTR WAIVER OF PREMIUM,N,10,00,25,N,Y,Y
9FTRWP,1578 FTR WAIVER OF PREMIUM,N,10,00,65,N,Y,Y
9GPO79,GUARANTEED PURCHASE OPTION RIDER,N,10,08,00,N,Y,Y
980JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,N,10,00,40,N,Y,Y
9595WP,DISABILITY WAIVER OF PREMIUM,N,07,00,60,N,Y,Y
996ADB,ACCIDENTAL DEATH BENEFIT RIDER,N,08,00,65,N,Y,Y
967ADB,ACCIDENTAL DEATH BENEFIT RIDER,N,07,00,65,N,Y,Y
901ADB,ACCIDENTAL DEATH BENEFIT RIDER,N,08,00,65,N,Y,Y
719CTR,DECR TERM PAID UP FOR CHILD,N,09,00,22,N,N,Y
7619DT,DECREASING TERM,N,09,00,65,N,N,Y
719CDT,CHILD DECREASING TERM,N,09,00,23,N,N,Y
719SDT,SPOUSE DECREASING TERM,N,09,00,65,N,N,Y
7619PU,DECREASING TERM PAID UP FOR SPOUSE,N,09,00,65,N,N,Y
221END,ENDOWMENT AT AGE 85,N,03,00,85,N,N,Y
121PUA,PAID UP ADDS - ENDOWMENT AT AGE 85,N,03,00,85,N,N,Y
222END,20 PAY ENDOWMENT AT AGE 85,N,03,20,00,N,N,Y
130JEB,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,N,03,00,65,N,N,Y
5646AT,ANNUAL RENEWABLE TERM,N,03,00,69,N,N,Y
7647FP,FAMILY LIFE DECREASING TERM,N,03,00,69,N,N,Y
7647CH,CHILD - FAMILY LIFE DECREASING TERM,N,03,00,69,N,N,Y
7647SP,SPOUSE - FAMILY LIFE DECREASING TERM,N,03,00,69,N,N,Y
1658C1,INTEREST-SENSITIVE WHOLE LIFE,N,06,00,100,Y,N,N
1658CS,INTEREST-SENSITIVE WHOLE LIFE,N,06,00,100,Y,N,N
1659C2,INTEREST-SENSITIVE WHOLE LIFE,N,05,00,100,Y,N,N
1659CS,INTEREST-SENSITIVE WHOLE LIFE,N,05,00,100,Y,N,N
1659CR,INTEREST-SENSITIVE WHOLE LIFE,N,16,00,100,Y,N,N
1659SR,INTEREST-SENSITIVE WHOLE LIFE,N,16,00,100,Y,N,N
265PUA,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,N,03,00,95,N,N,Y
2665ST,STATESMAN MOD ENDOW AT 95,N,03,00,95,N,N,Y
