PLAN,member_tables,missing_members,key_tables,has_gp_rates,a3_gap
10L171,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
10L172,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
117JPO,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
121PUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
130JEB,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1658C1,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1658CS,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1659C2,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1659CR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1659CS,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1659SR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
165PUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
1666AI,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1666WL,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1668SP,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1669SR,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1679CS,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
170588,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
170858,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
17085M,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
170PUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
17CSI3,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
17CSI5,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
17CSI7,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
17MJPO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
185PUA,,QuikPlGd|QuikPlBd|QuikPlUw|QuikPlSt,,N,Y
196065,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
196085,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1960OL,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
1960PO,QuikPlBd|QuikPlGd|QuikPlSt|QuikPlUw,,QuikPlGp|QuikPlDb|QuikPlCv|QuikPlTv|QuikPlDv,Y,N
