LifePRO Plan,QLA Plan,Description,QuikPlCv MORT,QuikPlCv ETIMORT,QuikPlCv NFOINT,QuikPlCv INTMETHCV,QuikPlTv (all 5 fields),QuikCvs CV grid,QuikTvs RV grid,QuikTvs NP grid,QuikNff NF grid,WHAT WE NEED FROM CSO
10827 CSI3,17CSI3,CSI Life $3000,A1,C1,F (5.75%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
10827 CSI5,17CSI5,CSI Life $5000,A1,C1,F (5.75%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
10827 CSI7,17CSI7,CSI Life $7500,A1,C1,F (5.75%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
10827 MN5K,1CSIMN,CSI Life MN $5000,A1,C1,F (5.75%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
619 DT,7619DT,Decreasing Term,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,HAVE,HAVE,MISSING,Nothing - complete
621 END85,221END,Endowment at Age 85,N1,BLANK (no ETI table in source),2 (2.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
621 PUA,121PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
622 END85,222END,20 Pay Endowment at Age 85,N1,BLANK (no ETI table in source),2 (2.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
622 PUA,,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
646 ART,5646AT,Annual Renewable Term,O1,BLANK (no ETI table in source),2 (2.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
647 FLP,7647FP,Family Life Decreasing Term,O1,BLANK (no ETI table in source),2 (2.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),MISSING,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes; CV grid
658 CEN I,1658C1,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
658 CEN SD,1658CS,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
659 CEN II,1659C2,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,QuikPlTv 5 assumption codes
659 CEN SD,1659CS,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
659 CEN SR,1659CR,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
659 SR GD,1659SR,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
665 PUA,265PUA,,MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING (not in CSO crosswalk),MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,Full CV/TV assumption row (add to CSO crosswalk); RV (reserve) grid; NP grid
665 STME95,2665ST,Statesman Mod Endow at 95,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
666 WL,1666WL,Multiple Insureds Whole Life,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,NFOINT rate by issue year; QuikPlTv 5 assumption codes
667 ART,5667AT,Annual Renewable Term,N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A (no CV product),N/A,N/A,MISSING,HAVE,MISSING,Nothing - complete
668 SPWL,1668SP,Single Premium Whole Life,A1,BLANK (no ETI table in source),G (6.00%),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,MISSING,QuikPlTv 5 assumption codes
669 SR GD,1669SR,Interest-Sensitive Whole Life,A1,C1,A (4.50%),0,MISSING + no RV/NP grids delivered,HAVE,MISSING,MISSING,MISSING,RV (reserve) grid; NP grid
670 GL85-8,170858,Life Paid Up at 85/88,O1,Q1,MISSING - CRVM (need issue-year rate),0,MISSING (RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS),HAVE,HAVE,HAVE,HAVE,NFOINT rate by issue year; QuikPlTv 5 assumption codes
