table,status,expected_rows,actual_rows,missing_rows,extra_rows,duplicate_actual_keys,mismatched_cells,schema_status,note
QuikAint,PASS,2,2,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikAint.csv
QuikCoi,PASS,792,792,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikCoi.csv
QuikCvs,PASS,37999,37999,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikCvs.csv
QuikDbs,PASS,2513,2513,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikDbs.csv
QuikDvs,PASS,6452,6452,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikDvs.csv
QuikGcoi,PASS,198,198,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikGcoi.csv
QuikGps,PASS,11983,11983,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikGps.csv
QuikIssc,PASS,8,8,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikIssc.csv
QuikNff,PASS,20217,20217,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikNff.csv
QuikNps,PASS,52647,52647,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikNps.csv
QuikPlBd,PASS,129,129,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlBd.csv
QuikPlCv,PASS,236,236,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlCv.csv
QuikPlDb,PASS,215,215,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlDb.csv
QuikPlDv,PASS,215,215,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlDv.csv
QuikPlGd,PASS,217,217,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlGd.csv
QuikPlGp,PASS,287,287,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlGp.csv
QuikPlNb,PASS,129,129,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlNb.csv
QuikPlSt,PASS,129,129,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlSt.csv
QuikPlTv,PASS,286,286,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlTv.csv
QuikPlUw,PASS,187,187,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikPlUw.csv
QuikTvs,PASS,53970,53970,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikTvs.csv
QuikUint,PASS,32,32,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikUint.csv
QuikUwpo,PASS,5,5,0,0,0,0,PASS,QLA_Migration/Output/rates/QuikUwpo.csv
