table,status,expected_rows,actual_rows,missing_rows,extra_rows,duplicate_actual_keys,mismatched_cells,schema_status,note
QuikAint,PENDING,2,0,0,0,0,0,PASS,QLAdmin export not provided
QuikCoi,PENDING,792,0,0,0,0,0,PASS,QLAdmin export not provided
QuikCvs,PENDING,37999,0,0,0,0,0,PASS,QLAdmin export not provided
QuikDbs,PENDING,2513,0,0,0,0,0,PASS,QLAdmin export not provided
QuikDvs,PENDING,6452,0,0,0,0,0,PASS,QLAdmin export not provided
QuikGcoi,PENDING,198,0,0,0,0,0,PASS,QLAdmin export not provided
QuikGps,PENDING,11983,0,0,0,0,0,PASS,QLAdmin export not provided
QuikIssc,PENDING,8,0,0,0,0,0,PASS,QLAdmin export not provided
QuikNff,PENDING,20217,0,0,0,0,0,PASS,QLAdmin export not provided
QuikNps,PENDING,52647,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlBd,PENDING,129,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlCv,PENDING,236,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlDb,PENDING,215,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlDv,PENDING,215,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlGd,PENDING,217,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlGp,PENDING,287,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlNb,PENDING,129,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlSt,PENDING,129,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlTv,PENDING,286,0,0,0,0,0,PASS,QLAdmin export not provided
QuikPlUw,PENDING,187,0,0,0,0,0,PASS,QLAdmin export not provided
QuikTvs,PENDING,53970,0,0,0,0,0,PASS,QLAdmin export not provided
QuikUint,PENDING,32,0,0,0,0,0,PASS,QLAdmin export not provided
QuikUwpo,PENDING,5,0,0,0,0,0,PASS,QLAdmin export not provided
