,MNT,MTB,FNT,FTB
0,9.67,0,8.45,0
1,10,0,8.72,0
2,10.33,0,9,0
3,10.68,0,9.28,0
4,11.04,0,9.58,0
5,11.41,0,9.88,0
6,11.8,0,10.22,0
7,12.21,0,10.56,0
8,12.63,0,10.92,0
9,13.06,0,11.3,0
10,13.51,0,11.68,0
11,13.97,0,12.08,0
12,14.45,0,12.5,0
13,14.94,0,12.93,0
14,15.44,0,13.37,0
15,15.94,0,13.81,0
16,16.44,0,14.26,0
17,16.93,0,14.72,0
18,16.93,19.92,14.74,17.76
19,16.93,20.44,14.75,18.33
20,16.93,21,14.77,18.92
21,17.34,21.61,15.22,19.54
22,17.76,22.23,15.69,20.18
23,18.19,22.88,16.17,20.84
24,18.64,23.54,16.66,21.52
25,19.09,24.22,17.17,22.22
26,19.68,24.96,17.73,22.94
27,20.29,25.73,18.3,23.69
28,20.93,26.52,18.89,24.46
29,21.57,27.34,19.51,25.25
30,22.23,28.18,20.14,26.06
31,22.93,29.05,20.8,26.89
32,23.64,29.94,21.48,27.76
33,24.38,30.85,22.19,28.64
34,25.14,31.77,22.92,29.56
35,25.93,32.73,23.67,30.5
36,26.76,33.73,24.44,31.47
37,27.62,34.76,25.24,32.47
38,28.51,35.81,26.04,33.5
39,29.42,36.91,26.87,34.56
40,30.37,38.03,27.73,35.64
41,31.34,39.21,28.61,36.75
42,32.32,40.43,29.52,37.88
43,33.33,41.69,30.46,39.04
44,34.36,42.99,31.43,40.24
45,35.42,44.32,32.43,41.47
46,36.52,45.7,33.46,42.72
47,37.65,47.12,34.52,44.01
48,38.8,48.59,35.62,45.32
49,39.98,50.1,36.75,46.66
50,41.17,51.66,37.89,48.04
51,42.42,53.38,39.07,49.46
52,43.7,55.16,40.27,50.93
53,45.03,57,41.5,52.44
54,46.39,58.91,42.78,54
55,47.8,60.87,44.09,55.6
56,49.28,63.04,45.43,57.44
57,50.78,65.29,46.79,59.34
58,52.3,67.63,48.2,61.3
59,53.83,70.04,49.65,63.33
60,55.44,72.54,51.13,65.42
61,57.66,75.02,53.15,68.03
62,59.97,77.59,55.25,70.75
63,62.37,80.24,57.43,73.58
64,64.87,82.99,59.69,76.52
65,67.47,85.83,62.05,79.58
66,69.74,88.55,64.21,82.3
67,72.08,91.36,66.45,85.12
68,74.51,94.26,68.76,88.03
69,77.01,97.25,71.15,91.04
70,79.6,100.33,73.63,94.16
71,82.36,103.48,76.07,97.41
72,85.22,106.72,78.58,100.76
73,88.18,110.07,81.18,104.24
74,91.24,113.52,83.87,107.83
75,94.41,117.08,86.64,111.55
76,97.26,121.24,89.6,115.98
77,100.19,125.54,92.66,120.59
78,103.21,130,95.82,125.37
79,106.32,134.61,99.09,130.35
80,109.52,139.39,102.47,135.53
81,116,147.95,107.59,141.02
82,122.85,157.04,112.97,146.73
83,130.12,166.68,118.61,152.68
84,137.81,176.92,124.54,158.86
85,145.96,187.79,130.76,165.3
