csv_column_code,appears_in,draft_gender,draft_uwclass,draft_band,please_confirm_or_correct
MRN,"term-15/20/30",M,RN (residual non-smoker),from band header,
MRT,"term-15/20/30",M,RT (residual tobacco),from band header,
FRN,"term-15/20/30, yrt",F,RN,from band header,
FRT,"term-15/20/30, yrt",F,RT,from band header,
MSP,"term-15/20/30",M,SP (super preferred),from band header,
MPN,"term-15/20/30",M,PN (preferred non-smoker),from band header,
FSP,"term-15/20/30",F,SP,from band header,
FPN,"term-15/20/30",F,PN,from band header,
MN,"adb, wp",M,?? (00 for ADB / NT for WP?),00 or 00/MX,
MT,"adb, wp",M,?? (00 for ADB / TB for WP?),00 or 00/MX,
FN,"adb, wp",F,?? ,,
FT,"adb, wp",F,?? ,,
MNT,"10-pay, 20-pay",M,NT (non-tobacco) + JV for ages<18,00,
MTB,"10-pay, 20-pay",M,TB (tobacco),00,
FNT,"10-pay, 20-pay",F,NT + JV for ages<18,00,
FTB,"10-pay, 20-pay",F,TB,00,
B1MaleNonsmoker,ul,M,NS,01,
B1MaleSmoker,ul,M,SM,01,
B1FemaleNonsmoker,ul,F,NS,01,
B1FemaleSmoker,ul,F,SM,01,
B2MaleSuperPreferred,ul,M,SP,02,
B2MalePreferred,ul,M,PN,02,
B2MaleResidual,ul,M,RN or NS?,02,
B2MaleSmoker,ul,M,SM,02,
B2FemaleSuperPreferred,ul,F,SP,02,
B2FemalePreferred,ul,F,PN,02,
B2FemaleResidual,ul,F,RN or NS?,02,
B2FemaleSmoker,ul,F,SM,02,
"MSP B2 n (iswl/spul row prefix)","iswl, spul",from MSP=M+SP,SP,B2->02,note: iswl/spul are duration x age matrices - confirm these are PREMIUM not cash value,
