,30 Year Band 1,,,,30 Year Band 2,,,,,,,,30 Year Band 3,,,,,,,,30 Year Band 4,,,,,,,
,MRN,MRT,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT
18,1.66,3.00,1.15,1.95,0.94,1.05,1.32,2.60,0.82,0.88,0.96,1.94,0.75,0.87,1.10,2.21,0.63,0.69,0.78,1.65,0.59,0.70,0.96,0,0.47,0.54,0.65,1.35 
19,1.66,3.00,1.15,1.95,0.94,1.05,1.32,2.60,0.82,0.88,0.96,1.94,0.75,0.87,1.10,2.21,0.63,0.69,0.78,1.65,0.59,0.70,0.96,0,0.47,0.54,0.65,1.35 
20,1.66,3.00,1.15,1.95,0.94,1.05,1.32,2.60,0.82,0.88,0.96,1.94,0.75,0.87,1.10,2.21,0.63,0.69,0.78,1.65,0.59,0.70,0.96,0,0.47,0.54,0.65,1.35 
21,1.66,3.01,1.17,2.01,0.94,1.05,1.33,2.63,0.82,0.90,0.99,1.98,0.75,0.87,1.10,2.24,0.64,0.70,0.80,1.69,0.59,0.70,0.96,0,0.49,0.55,0.67,1.39 
22,1.66,3.02,1.19,2.07,0.94,1.05,1.33,2.65,0.82,0.91,1.01,2.02,0.75,0.87,1.10,2.26,0.64,0.71,0.81,1.73,0.59,0.70,0.96,0,0.50,0.57,0.69,1.43 
23,1.66,3.02,1.21,2.13,0.94,1.05,1.33,2.68,0.82,0.92,1.03,2.05,0.75,0.87,1.10,2.28,0.65,0.72,0.83,1.77,0.59,0.70,0.96,0,0.51,0.58,0.71,1.46 
24,1.66,3.03,1.23,2.19,0.94,1.05,1.33,2.70,0.82,0.93,1.05,2.09,0.75,0.87,1.10,2.30,0.65,0.73,0.84,1.81,0.59,0.70,0.96,0,0.52,0.59,0.73,1.50 
25,1.66,3.03,1.25,2.24,0.94,1.05,1.33,2.72,0.82,0.94,1.07,2.12,0.75,0.87,1.10,2.32,0.65,0.74,0.85,1.84,0.59,0.70,0.96,0,0.53,0.60,0.75,1.53 
26,1.68,3.16,1.28,2.35,0.95,1.09,1.39,2.81,0.83,0.96,1.12,2.18,0.77,0.90,1.16,2.41,0.67,0.76,0.90,1.89,0.62,0.73,1.02,0,0.54,0.63,0.79,1.61 
27,1.70,3.29,1.31,2.45,0.96,1.12,1.44,2.90,0.84,0.97,1.16,2.23,0.78,0.93,1.22,2.50,0.68,0.78,0.94,1.94,0.64,0.76,1.08,0,0.56,0.65,0.83,1.69 
28,1.72,3.42,1.33,2.55,0.97,1.16,1.49,2.98,0.84,0.98,1.20,2.28,0.80,0.95,1.28,2.59,0.69,0.79,0.99,1.99,0.66,0.79,1.14,0,0.57,0.68,0.88,1.77 
29,1.74,3.55,1.36,2.65,0.98,1.19,1.54,3.07,0.85,0.99,1.24,2.33,0.81,0.98,1.34,2.68,0.70,0.81,1.03,2.04,0.68,0.82,1.20,0,0.59,0.70,0.92,1.85 
30,1.76,3.67,1.38,2.75,0.98,1.22,1.59,3.15,0.85,1.00,1.28,2.38,0.82,1.00,1.39,2.77,0.71,0.82,1.07,2.08,0.70,0.85,1.25,0,0.60,0.72,0.96,1.92 
31,1.83,3.92,1.47,3.00,1.02,1.30,1.66,3.35,0.88,1.06,1.35,2.55,0.86,1.07,1.44,2.91,0.73,0.88,1.12,2.22,0.73,0.93,1.31,0,0.62,0.78,1.01,2.06 
32,1.90,4.17,1.56,3.24,1.05,1.37,1.72,3.55,0.91,1.12,1.41,2.72,0.89,1.14,1.49,3.04,0.75,0.94,1.17,2.35,0.75,1.01,1.36,0,0.64,0.82,1.06,2.20 
33,1.97,4.42,1.65,3.49,1.09,1.45,1.78,3.74,0.93,1.17,1.47,2.88,0.92,1.20,1.53,3.18,0.77,1.00,1.21,2.48,0.78,1.09,1.42,0,0.66,0.87,1.11,2.34 
34,2.04,4.67,1.74,3.73,1.12,1.52,1.84,3.94,0.96,1.23,1.53,3.05,0.95,1.27,1.58,3.31,0.79,1.06,1.26,2.61,0.80,1.17,1.47,0,0.68,0.92,1.16,2.48 
35,2.10,4.91,1.82,3.97,1.15,1.59,1.90,4.13,0.98,1.28,1.59,3.21,0.98,1.33,1.62,3.44,0.80,1.11,1.30,2.74,0.82,1.24,1.52,0,0.70,0.96,1.20,2.61 
36,2.28,5.49,1.98,4.42,1.27,1.72,2.11,4.44,1.08,1.39,1.75,3.49,1.07,1.46,1.80,3.79,0.88,1.21,1.43,3.03,0.91,1.35,1.65,0,0.77,1.07,1.31,2.88 
37,2.46,6.07,2.14,4.87,1.39,1.85,2.32,4.74,1.18,1.50,1.90,3.76,1.16,1.59,1.98,4.13,0.96,1.30,1.55,3.32,1.00,1.45,1.78,0,0.83,1.17,1.41,3.15 
38,2.63,6.65,2.30,5.31,1.50,1.98,2.52,5.04,1.28,1.60,2.05,4.04,1.25,1.71,2.16,4.47,1.04,1.40,1.68,3.60,1.09,1.56,1.91,0,0.89,1.28,1.51,3.42 
39,2.81,7.23,2.46,5.76,1.62,2.11,2.73,5.34,1.38,1.71,2.20,4.31,1.34,1.84,2.34,4.81,1.12,1.49,1.80,3.89,1.18,1.66,2.04,0,0.95,1.38,1.61,3.69 
40,3.28,8.62,2.85,6.9,1.91,2.45,3.24,6.28,1.59,2,2.55,5.12,1.62,2.17,2.74,5.77,1.33,1.74,2.11,4.67,1.45,1.97,2.44,0,1.14,1.63,1.92,4.47
41,3.58,9.43,3.07,7.59,2.08,2.67,3.54,6.91,1.71,2.19,2.75,5.65,1.8,2.38,2.97,6.39,1.47,1.89,2.29,5.16,1.64,2.17,2.71,0,1.27,1.78,2.13,4.97
42,3.87,10.24,3.29,8.28,2.26,2.88,3.85,7.54,1.83,2.37,2.95,6.18,1.99,2.59,3.19,7.01,1.61,2.05,2.48,5.65,1.82,2.37,2.98,0,1.4,1.93,2.34,5.47
43,4.17,11.05,3.51,8.97,2.43,3.1,4.15,8.17,1.95,2.56,3.15,6.71,2.17,2.8,3.42,7.63,1.75,2.2,2.66,6.14,2.01,2.57,3.25,0,1.53,2.08,2.55,5.97
44,4.46,11.86,3.73,9.66,2.6,3.31,4.45,8.8,2.06,2.74,3.35,7.24,2.35,3.01,3.64,8.24,1.89,2.35,2.84,6.63,2.19,2.77,3.52,0,1.66,2.22,2.75,6.47
45,5.06,13.05,4.26,10.64,2.92,3.71,4.95,9.68,2.31,3.02,3.79,7.95,2.63,3.38,4.07,9.09,2.1,2.64,3.22,7.27,2.46,3.11,3.98,0,1.86,2.45,3.05,7.14
46,5.66,14.23,4.79,11.62,3.24,4.11,5.44,10.56,2.56,3.29,4.22,8.65,2.91,3.75,4.5,9.93,2.31,2.93,3.59,7.9,2.73,3.45,4.43,0,2.05,2.68,3.35,7.8
47,6.26,15.42,5.31,12.6,3.55,4.5,5.94,11.44,2.8,3.56,4.65,9.36,3.19,4.12,4.93,10.78,2.51,3.21,3.96,8.54,3,3.79,4.88,0,2.25,2.91,3.65,8.47
48,6.86,16.6,5.84,13.58,3.87,4.9,6.43,12.32,3.05,3.83,5.08,10.06,3.47,4.49,5.36,11.62,2.72,3.5,4.33,9.17,3.27,4.13,5.33,0,2.44,3.14,3.95,9.13
49,7.46,17.78,6.36,14.55,4.18,5.29,6.92,13.2,3.29,4.1,5.51,10.76,3.75,4.86,5.79,12.46,2.92,3.78,4.7,9.8,3.54,4.46,5.78,0,2.63,3.37,4.25,9.79
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
