MPOLICY,MSPLIT_TOTAL
   018355C,200.0
   018721C,200.0
  018222BC,200.0
  018253AC,200.0
  018258CC,200.0
 01ML8195C,200.0
 01ML8251C,200.0
 01ML8678C,200.0
010143726C,200.0
010148272C,200.0
010148856C,200.0
010149295C,200.0
010149834C,200.0
010150740C,200.0
010157076C,200.0
010158001C,200.0
010165095C,200.0
010171334C,200.0
010235370C,200.0
010264207C,200.0
010310404C,200.0
010335038C,200.0
010335095C,200.0
010346921C,200.0
010348734C,200.0
010350577C,200.0
010367438C,200.0
010367704C,200.0
010367705C,200.0
010368703C,200.0
010371171C,200.0
010373918C,200.0
010374099C,200.0
010374779C,200.0
010377918C,200.0
010378485C,200.0
010378829C,200.0
010379477C,200.0
010379478C,200.0
010380049C,200.0
010380550C,200.0
010380625C,200.0
010380627C,200.0
010380808C,200.0
010381745C,200.0
010382448C,200.0
010382520C,200.0
010385491C,200.0
010385636C,200.0
010388767C,200.0
010390061C,200.0
010390251C,200.0
010391004C,200.0
010391228C,200.0
010391355C,200.0
010391359C,200.0
010391411C,200.0
010391422C,200.0
010391840C,200.0
010391841C,200.0
010392138C,200.0
010392930C,200.0
010393143C,200.0
010393181C,200.0
010393401C,200.0
010393899C,200.0
010393931C,200.0
010394249C,200.0
010394353C,200.0
010394662C,200.0
010395098C,200.0
010395211C,200.0
010395382C,200.0
010395411C,200.0
010395878C,200.0
010395879C,200.0
010396186C,200.0
010396425C,200.0
010397118C,200.0
010397493C,200.0
010397528C,200.0
010397583C,200.0
010397945C,200.0
010398475C,200.0
010399927C,200.0
010400462C,200.0
010401087C,200.0
010401181C,200.0
010401210C,200.0
010401534C,200.0
010401565C,200.0
010402014C,200.0
010402060C,200.0
010402061C,200.0
010402105C,200.0
010402899C,200.0
010403222C,200.0
010403516C,200.0
010403789C,200.0
010403872C,200.0
010403922C,200.0
010404600C,200.0
010404602C,200.0
010404604C,200.0
010404605C,200.0
010404857C,200.0
010405440C,200.0
010405642C,200.0
010405802C,200.0
010406576C,200.0
010406962C,200.0
010407237C,200.0
010407534C,200.0
010407925C,200.0
010410566C,200.0
010410616C,200.0
010411499C,200.0
010411577C,200.0
010411920C,200.0
010412522C,200.0
010412640C,200.0
010412641C,200.0
010413417C,200.0
010413421C,200.0
010413628C,200.0
010414235C,200.0
010418088C,200.0
010420853C,200.0
010420983C,200.0
010422033C,200.0
010422417C,200.0
010422722C,200.0
010422977C,200.0
010424185C,200.0
010425718C,200.0
010425944C,200.0
010426858C,200.0
010426859C,200.0
010426961C,200.0
010427442C,200.0
010427457C,200.0
010427723C,200.0
010428747C,200.0
010429417C,200.0
010429710C,200.0
010429711C,200.0
010429893C,200.0
010429958C,200.0
010430023C,200.0
010430295C,200.0
010430296C,200.0
010431510C,200.0
010432120C,200.0
010432414C,200.0
010432493C,200.0
010432494C,200.0
010433471C,200.0
010433630C,200.0
010434092C,200.0
010434418C,200.0
010434419C,200.0
010435244C,200.0
010435248C,200.0
010435466C,200.0
010435671C,200.0
010435672C,200.0
010435673C,200.0
010436028C,200.0
010436044C,200.0
010436085C,200.0
010436406C,200.0
010436541C,200.0
010436691C,200.0
010436712C,200.0
010436959C,200.0
010437076C,200.0
010437232C,200.0
010438028C,200.0
010438063C,200.0
010438073C,200.0
010438325C,200.0
010438523C,200.0
010438524C,200.0
010438820C,200.0
010438821C,200.0
010438861C,200.0
010438926C,200.0
010438942C,200.0
010439128C,200.0
010439156C,200.0
010439181C,200.0
010439277C,200.0
010439999C,200.0
010440631C,200.0
010441082C,200.0
010441085C,200.0
010441927C,200.0
010442222C,200.0
010442330C,200.0
010442332C,200.0
010442551C,200.0
010442552C,200.0
010442906C,200.0
010443109C,200.0
010443161C,200.0
010443816C,200.0
010444207C,200.0
010444283C,200.0
010445091C,200.0
010445275C,200.0
010446088C,200.0
010446237C,200.0
010446416C,200.0
010446638C,200.0
010446852C,200.0
010447475C,200.0
010447574C,200.0
010448181C,200.0
010448375C,200.0
010448609C,200.0
010448806C,200.0
010448810C,200.0
010448828C,200.0
010449013C,200.0
010449017C,200.0
010449050C,200.0
010449074C,200.0
010449075C,200.0
010449158C,200.0
010449333C,200.0
010449334C,200.0
010449417C,200.0
010449514C,200.0
010449532C,200.0
010450135C,200.0
010450174C,200.0
010450300C,200.0
010450809C,200.0
010450811C,200.0
010450906C,200.0
010451148C,200.0
010451149C,200.0
010451385C,200.0
010451453C,200.0
010451596C,200.0
010452304C,200.0
010452305C,200.0
010452575C,200.0
010454002C,200.0
010454003C,200.0
010455341C,200.0
010455884C,200.0
010456188C,200.0
010456751C,200.0
010456928C,200.0
010457291C,200.0
010457536C,200.0
010457537C,200.0
010457623C,200.0
010458190C,200.0
010458520C,200.0
010458525C,200.0
010458657C,200.0
010458663C,200.0
010459164C,200.0
010459336C,200.0
010459421C,200.0
010459723C,200.0
010459814C,200.0
010460406C,200.0
010460652C,200.0
010460886C,200.0
010461689C,200.0
010461753C,200.0
010462057C,200.0
010462630C,200.0
010462631C,200.0
010462759C,200.0
010463017C,200.0
010463190C,200.0
010463420C,200.0
010463537C,200.0
010464265C,200.0
010464590C,200.0
010464869C,200.0
010464870C,200.0
010465265C,200.0
010465331C,200.0
010466391C,200.0
010466392C,200.0
010466458C,200.0
010466471C,200.0
010466706C,200.0
010466978C,200.0
010467025C,200.0
010467061C,200.0
010467154C,200.0
010467173C,200.0
010467185C,200.0
010467190C,200.0
010467500C,200.0
010467771C,200.0
010468946C,200.0
010469081C,200.0
010469430C,200.0
010469579C,200.0
010469666C,200.0
010469728C,200.0
010469896C,200.0
010469985C,200.0
010470522C,200.0
010471046C,200.0
010471532C,200.0
010471534C,200.0
010471933C,200.0
010472182C,200.0
010472183C,200.0
010473866C,200.0
010473867C,200.0
010474317C,200.0
010474318C,200.0
010474519C,200.0
010474522C,200.0
010475571C,200.0
010475576C,200.0
010475850C,200.0
010477513C,200.0
010478048C,200.0
010478213C,200.0
010478214C,200.0
010478259C,200.0
010478260C,200.0
010478285C,200.0
010478890C,200.0
010479749C,200.0
010481459C,200.0
010483386C,200.0
010484578C,200.0
010484864C,200.0
010486919C,200.0
010486961C,200.0
010486964C,200.0
010487125C,200.0
010487886C,200.0
010487888C,200.0
010488274C,200.0
010488878C,200.0
010489508C,200.0
010494171C,200.0
010494229C,200.0
010495113C,200.0
010495120C,200.0
010495122C,200.0
010496486C,200.0
010497263C,200.0
010497264C,200.0
010497363C,200.0
010497768C,200.0
010498260C,200.0
010499702C,200.0
010500671C,200.0
010500769C,200.0
010501142C,200.0
010501836C,200.0
010502820C,200.0
010502995C,200.0
010502996C,200.0
010503560C,200.0
010505549C,200.0
010506408C,200.0
010506497C,200.0
010507004C,200.0
010507705C,200.0
010510553C,200.0
010510671C,200.0
010510979C,200.0
010511355C,200.0
010511795C,200.0
010512061C,200.0
010513607C,200.0
010513627C,200.0
010513711C,200.0
010513712C,200.0
010513848C,200.0
010513849C,200.0
010514051C,200.0
010514052C,200.0
010515598C,200.0
010516211C,200.0
010516466C,200.0
010518048C,200.0
010518049C,200.0
010518050C,200.0
010520217C,200.0
010520451C,200.0
010521160C,200.0
010521213C,200.0
010521651C,200.0
010521756C,200.0
010523097C,200.0
010524282C,200.0
010525250C,200.0
010526232C,200.0
010526522C,200.0
010527102C,200.0
010527336C,200.0
010529993C,200.0
010530033C,200.0
010532612C,200.0
010542288C,200.0
010544183C,200.0
010547892C,200.0
010555054C,200.0
010557142C,200.0
010560185C,200.0
010567983C,200.0
010578820C,200.0
010580464C,200.0
010586005C,200.0
010590419C,200.0
010615191C,200.0
010615192C,200.0
010713704C,200.0
010713705C,200.0
010713707C,200.0
010716973C,200.0
010716974C,200.0
010717447C,200.0
010718277C,200.0
010722345C,200.0
010722516C,200.0
010723387C,200.0
010726922C,200.0
010731277C,200.0
010731278C,200.0
010732270C,200.0
010732276C,200.0
010733564C,200.0
010734954C,200.0
010735918C,200.0
010736643C,200.0
010736703C,200.0
010736738C,200.0
010736935C,200.0
010737378C,200.0
010737619C,200.0
010738539C,200.0
010739212C,200.0
010739794C,200.0
010739795C,200.0
010740132C,200.0
010741234C,200.0
010741943C,200.0
010743074C,200.0
010743395C,200.0
010743638C,200.0
010743832C,200.0
010744412C,200.0
010744818C,200.0
010745456C,200.0
010745811C,200.0
010746005C,200.0
010746846C,200.0
010747243C,200.0
010747437C,200.0
010747438C,200.0
010748073C,200.0
010748253C,200.0
010748334C,200.0
010748335C,200.0
010749038C,200.0
010749942C,200.0
010749968C,200.0
010752138C,200.0
010752477C,200.0
010756020C,200.0
010756033C,200.0
010756540C,200.0
010756916C,200.0
010756934C,200.0
010756936C,200.0
010756939C,200.0
010756972C,200.0
010757042C,200.0
010757536C,200.0
010757561C,200.0
010757606C,200.0
010757607C,200.0
010758520C,200.0
010760296C,200.0
010760874C,200.0
010761554C,200.0
010761673C,200.0
010761870C,200.0
010762047C,200.0
010762319C,200.0
010762461C,200.0
010764158C,200.0
010764250C,200.0
010764368C,200.0
010764369C,200.0
010764684C,200.0
010764810C,200.0
010764818C,200.0
010765949C,200.0
010766554C,200.0
010766898C,200.0
010767172C,200.0
010767719C,200.0
010767768C,200.0
010767770C,200.0
010768802C,200.0
010769233C,200.0
010769606C,200.0
010769711C,200.0
010770571C,200.0
010770572C,200.0
010770844C,200.0
010771111C,200.0
010771349C,200.0
010771658C,200.0
010772683C,200.0
010772898C,200.0
010772919C,200.0
010772957C,200.0
010773243C,200.0
010773468C,200.0
010773575C,200.0
010774774C,200.0
010774793C,200.0
010774973C,200.0
010775240C,200.0
010775723C,200.0
010776027C,200.0
010776450C,200.0
010776672C,200.0
010776811C,200.0
010776814C,200.0
010777124C,200.0
010777133C,200.0
010777788C,200.0
010777793C,200.0
010778181C,200.0
010778263C,200.0
010779031C,200.0
010779034C,200.0
010779130C,200.0
010779456C,200.0
010779551C,200.0
010779552C,200.0
010779553C,200.0
010780403C,200.0
010780510C,200.0
010780526C,200.0
010780591C,200.0
010780791C,200.0
010781300C,200.0
010781775C,200.0
010781852C,200.0
010781853C,200.0
010782063C,200.0
010782332C,200.0
010782357C,200.0
010782592C,200.0
010782675C,200.0
010782676C,200.0
010783066C,200.0
010783269C,200.0
010783347C,200.0
010783785C,200.0
010783786C,200.0
010784372C,200.0
010784918C,200.0
010784936C,200.0
010784946C,200.0
010785049C,200.0
010785324C,200.0
010786015C,200.0
010786153C,200.0
010786237C,200.0
010786243C,200.0
010787390C,200.0
010787513C,200.0
010787669C,200.0
010788111C,200.0
010788188C,200.0
010789384C,200.0
010789525C,200.0
010789992C,200.0
010790543C,200.0
010790755C,200.0
010791176C,200.0
010791789C,200.0
010792296C,200.0
010792609C,200.0
010794372C,200.0
010794435C,200.0
010794514C,200.0
010794730C,200.0
010794751C,200.0
010795565C,200.0
010795609C,200.0
010795612C,200.0
010796325C,200.0
010796459C,200.0
010796535C,200.0
010796707C,200.0
010796767C,200.0
010796908C,200.0
010796912C,200.0
010797181C,200.0
010797765C,200.0
010797766C,200.0
010797831C,200.0
010797922C,200.0
010799083C,200.0
010799270C,200.0
010799590C,200.0
010800097C,200.0
010800286C,200.0
010800356C,200.0
010802188C,200.0
010802626C,200.0
010802649C,200.0
010803026C,200.0
010803044C,200.0
010803046C,200.0
010803048C,200.0
010803049C,200.0
010803051C,200.0
010803420C,200.0
010803421C,200.0
010803673C,200.0
010803770C,200.0
010803776C,200.0
010803782C,200.0
010803964C,200.0
010804489C,200.0
010804617C,200.0
010804711C,200.0
010805039C,200.0
010805048C,200.0
010806653C,200.0
010807378C,200.0
010807493C,200.0
010807516C,200.0
010807518C,200.0
010807604C,200.0
010808907C,200.0
010809294C,200.0
010809309C,200.0
010809361C,200.0
010810194C,200.0
010810272C,200.0
010810691C,200.0
010811250C,200.0
010811306C,200.0
010811998C,200.0
010813427C,200.0
010813955C,200.0
010814696C,200.0
010815003C,200.0
010815118C,200.0
010815236C,200.0
010815416C,200.0
010815417C,200.0
010816151C,200.0
010817091C,200.0
010817130C,200.0
010817132C,200.0
010817483C,200.0
010817500C,200.0
010817639C,200.0
010817808C,200.0
010818008C,200.0
010818531C,200.0
010819280C,200.0
010821322C,200.0
010821385C,200.0
010823866C,200.0
010823867C,200.0
010823868C,200.0
010823869C,200.0
010823870C,200.0
010823906C,200.0
010824561C,200.0
010825719C,200.0
010825968C,200.0
010826422C,200.0
010826810C,200.0
010827228C,200.0
010827434C,200.0
010827675C,200.0
010828599C,200.0
010829171C,200.0
010829627C,200.0
010830094C,200.0
010830145C,200.0
010831284C,200.0
010832626C,200.0
010832681C,200.0
010833378C,200.0
010834450C,200.0
010834451C,200.0
010834574C,200.0
010834575C,200.0
010835847C,200.0
010835891C,200.0
010836265C,200.0
010836582C,200.0
010836583C,200.0
010836584C,200.0
010838710C,200.0
010838863C,200.0
010839122C,200.0
010839784C,200.0
010839849C,200.0
010840477C,200.0
010841421C,200.0
010842026C,200.0
010842282C,200.0
010842315C,200.0
010842641C,200.0
010842786C,200.0
010842962C,200.0
010843137C,200.0
010843233C,200.0
010843553C,200.0
010844324C,200.0
010844499C,200.0
010845094C,200.0
010845099C,200.0
010845548C,200.0
010845862C,200.0
010845863C,200.0
010845864C,200.0
010846244C,200.0
010846781C,200.0
010847191C,200.0
010847466C,200.0
010847479C,200.0
010847480C,200.0
010848398C,200.0
010849699C,200.0
010849882C,200.0
010852368C,200.0
010853539C,200.0
010854307C,200.0
010855165C,200.0
010855995C,200.0
010857119C,200.0
010857637C,200.0
010858443C,200.0
010859282C,200.0
010859658C,200.0
010860471C,200.0
010862097C,200.0
010863334C,200.0
010863838C,200.0
010872324C,200.0
010872404C,200.0
010872406C,200.0
010872416C,200.0
010872417C,200.0
010872522C,200.0
010873154C,200.0
010873285C,200.0
010874688C,200.0
010875065C,200.0
010876417C,200.0
010877012C,200.0
010877072C,200.0
010877715C,200.0
010877890C,200.0
010878592C,200.0
010879082C,200.0
010879083C,200.0
010881975C,200.0
010883245C,200.0
010883246C,200.0
010885442C,200.0
010887617C,200.0
010887923C,200.0
010888941C,200.0
010891074C,200.0
010891079C,200.0
010891309C,200.0
010892327C,200.0
010892685C,200.0
010893908C,200.0
010893950C,200.0
010894743C,200.0
010895253C,200.0
010895938C,200.0
010896915C,200.0
010897303C,200.0
010898471C,200.0
010898542C,200.0
010900152C,200.0
010900154C,200.0
010900529C,200.0
010900530C,200.0
010901657C,200.0
010901775C,200.0
010901830C,200.0
010902903C,200.0
010904798C,200.0
010904802C,200.0
010904805C,200.0
010907385C,200.0
010911627C,200.0
010913059C,200.0
010913060C,200.0
010913551C,200.0
010914384C,200.0
010915620C,200.0
010916879C,200.0
010917172C,200.0
010917522C,200.0
010920785C,200.0
010927421C,200.0
010928498C,200.0
010928775C,200.0
010929982C,200.0
010933370C,200.0
010934017C,200.0
