Source_Field,Target_Field,Default_Value,Lookup_Table,Join_Key,Transformation_Note
COVERAGE_ID,PLAN,,,,Map to crosswalk via engine
POLICY_FORM_NUM,FORM,,,,
DESCRIPTION,DESCR,,,,
,PAR,0,,,
SEX_BASIS,SEX,,,,
,BASIS,,,,
,NFOINT,,,,
,LOANINT,0.00,,,
,LOANINTX,A,,,
,DEPINT,0.00,,,
,VARDB,4,,,
,VARGP,4,,,
MIN_ISSUE_AGE,LOAGE,0,,,
MAX_ISSUE_AGE,HIAGE,121,,,
,RENEW,N,,,
PREM_CEASE_POINT,PAYYRS,0,,,ROUTE_PAY_YRS
PREM_CEASE_POINT,PAYAGE,0,,,ROUTE_PAY_AGE
BEN_CEASE_POINT,INSYRS,0,,,ROUTE_INS_YRS
BEN_CEASE_POINT,INSAGE,0,,,ROUTE_INS_AGE
,ANNL,100.0000,,,
,SEMI,51.0000,,,
,QTRL,26.5000,,,
,MTHD,9.2500,,,
,MTHB,9.2500,,,
,ANNLFEE,0.0000,,,
,SEMIFEE,0.0000,,,
,QTRLFEE,0.0000,,,
,MTHDFEE,0.0000,,,
,MTHBFEE,0.0000,,,
,INITVAL,1000.00,,,
,MKTG,,,,
PRODUCT_TYPE,PRODUCT,,,,
,CALCADV,N,,,
,COMMID,,,,
MIN_ISSUE_AMT1,MINUNIT,0,PCOMP,COVERAGE_ID,TO_UNITS
MAX_ISSUE_AMT1,MAXUNIT,99,PCOMP,COVERAGE_ID,TO_UNITS
,BPOLFEE,,,,
,BACTIVE,N,,,
,RRULE,B,,,
,AGTRSV,0.00,,,
,AUTONFO,0,,,
,PLANTYPE,,,,
,INTMETHTV,,,,
,INTMETHCV,A,,,SKIP_TRANSLATION
,DEFICIENCY,N,,,SKIP_TRANSLATION
,HDEDMETHOD,,,,
,PLANVALOPT,Y,,,RATE_DERIVED_R7B_OVERRIDES
,GDVARYGP,0,,,RATE_DERIVED_R7B_OVERRIDES
,GDVARYDB,0,,,RATE_DERIVED_R7B_OVERRIDES
,GDVARYCV,,,,RATE_DERIVED_R7B_OVERRIDES
,GDVARYTV,,,,RATE_DERIVED_R7B_OVERRIDES
,GDVARYDV,,,,RATE_DERIVED_R7B_OVERRIDES
,UWVARYGP,,,,RATE_DERIVED_R7B_OVERRIDES
,UWVARYDB,,,,RATE_DERIVED_R7B_OVERRIDES
,UWVARYCV,,,,RATE_DERIVED_R7B_OVERRIDES
,UWVARYTV,,,,RATE_DERIVED_R7B_OVERRIDES
,UWVARYDV,,,,RATE_DERIVED_R7B_OVERRIDES
,BDVARYGP,,,,RATE_DERIVED_R7B_OVERRIDES
,BDVARYDB,,,,RATE_DERIVED_R7B_OVERRIDES
,BDVARYCV,,,,RATE_DERIVED_R7B_OVERRIDES
,BDVARYTV,,,,RATE_DERIVED_R7B_OVERRIDES
,BDVARYDV,,,,RATE_DERIVED_R7B_OVERRIDES
,STVARYGP,,,,RATE_DERIVED_R7B_OVERRIDES
,STVARYDB,,,,RATE_DERIVED_R7B_OVERRIDES
,STVARYCV,,,,RATE_DERIVED_R7B_OVERRIDES
,STVARYTV,,,,RATE_DERIVED_R7B_OVERRIDES
,STVARYDV,,,,RATE_DERIVED_R7B_OVERRIDES
,CONVCOMM,,,,
DESCRIPTION,PLANNAME,,,,
,HRENEW,,,,
,HLOB,,,,
,HCOMMIP,,,,
,HRIGPKEY,,,,
,SIMPLEINT,,,,
,MLAPSE,0,,,
,MNOTE10,,,,
,MNAICLOB,NAPLAN,,,
,MNFOANNV,,,,
,MGTDANNV,,,,
