MPOLICY,MBENTYP,MDATE,MBEN
010713707C,8,20180419,128.50
010713707C,8,20190418,128.50
010713707C,8,20200420,128.50
010713707C,8,20210419,128.50
010713707C,8,20220419,128.50
010713707C,8,20230419,128.50
010713707C,8,20240419,128.50
010713707C,8,20250421,128.50
010713707C,8,20260420,128.50
010715467C,8,20180514,1129.00
010715467C,8,20190514,1129.00
010715467C,8,20200514,1129.00
010715467C,8,20210514,1129.00
010715467C,8,20220516,1129.00
010715467C,8,20230515,1129.00
010715467C,8,20240514,1129.00
010715467C,8,20250514,1129.00
010715467C,8,20260514,1129.00
010716973C,8,20180510,263.00
010716973C,8,20190510,263.00
010716973C,8,20200511,263.00
010716973C,8,20210510,263.00
010716973C,8,20220510,263.00
010716973C,8,20230510,263.00
010716973C,8,20240510,263.00
010716973C,8,20250512,263.00
010716973C,8,20260511,263.00
010716974C,8,20180510,246.75
010716974C,8,20190510,246.75
010716974C,8,20200511,246.75
010717034C,8,20180511,320.20
010717034C,8,20190513,320.20
010717034C,8,20200511,320.20
010717034C,8,20210511,320.20
010717034C,8,20220511,320.20
010717034C,8,20230511,320.20
010717034C,8,20240513,320.20
010717034C,8,20250512,320.20
010717034C,8,20260511,320.20
010717447C,8,20230321,1242.00
010717447C,8,20240523,1242.00
010717447C,8,20250523,1242.00
010717447C,8,20260526,1242.00
010718276C,8,20180622,1634.00
010718276C,8,20190624,1634.00
010718276C,8,20200622,1634.00
010718276C,8,20210622,1634.00
010718276C,8,20220622,1634.00
010718276C,8,20230622,1634.00
010718276C,8,20240624,1634.00
010718276C,8,20250623,1634.00
010718277C,8,20180604,585.50
010718277C,8,20190604,585.50
010718277C,8,20200604,585.50
010718277C,8,20210604,585.50
010718277C,8,20220606,585.50
010718277C,8,20230605,585.50
010718277C,8,20240604,585.50
010718277C,8,20250604,585.50
010718495C,8,20180604,1095.75
010718495C,8,20190603,1095.75
010718495C,8,20200602,1095.75
010719553C,8,20180611,134.75
010719553C,8,20190611,134.75
010719553C,8,20200611,134.75
010719553C,8,20210611,134.75
010719553C,8,20220613,134.75
010719553C,8,20230612,134.75
